Year,Units,Time series,Sex,Area,Value
2010,Percentage,Material deprivation,,European Union,17.8
2011,Percentage,Material deprivation,,European Union,18.5
2012,Percentage,Material deprivation,,European Union,19.8
2013,Percentage,Material deprivation,,European Union,19.5
2014,Percentage,Material deprivation,,European Union,19.7
2015,Percentage,Material deprivation,,European Union,17.5
2016,Percentage,Material deprivation,,European Union,16.0
2017,Percentage,Material deprivation,,European Union,14.0
2018,Percentage,Material deprivation,,European Union,13.1
2019,Percentage,Material deprivation,,European Union,12.4
2020,Percentage,Material deprivation,,European Union,12.7
2021,Percentage,Material deprivation,,European Union,11.9
2010,Percentage,Material deprivation,,European Union,17.8
2011,Percentage,Material deprivation,,European Union,18.5
2012,Percentage,Material deprivation,,European Union,19.8
2013,Percentage,Material deprivation,,European Union,19.5
2014,Percentage,Material deprivation,,European Union,19.7
2015,Percentage,Material deprivation,,European Union,17.5
2016,Percentage,Material deprivation,,European Union,16.0
2017,Percentage,Material deprivation,,European Union,14.0
2018,Percentage,Material deprivation,,European Union,13.1
2019,Percentage,Material deprivation,,European Union,12.4
2020,Percentage,Material deprivation,,European Union,12.7
2010,Percentage,Material deprivation,Female,European Union,18.4
2011,Percentage,Material deprivation,Female,European Union,19.1
2012,Percentage,Material deprivation,Female,European Union,20.3
2013,Percentage,Material deprivation,Female,European Union,20.1
2014,Percentage,Material deprivation,Female,European Union,20.5
2015,Percentage,Material deprivation,Female,European Union,18.3
2016,Percentage,Material deprivation,Female,European Union,16.9
2017,Percentage,Material deprivation,Female,European Union,14.9
2018,Percentage,Material deprivation,Female,European Union,13.9
2019,Percentage,Material deprivation,Female,European Union,13.2
2020,Percentage,Material deprivation,Female,European Union,13.3
2021,Percentage,Material deprivation,Female,European Union,12.3
2010,Percentage,Material deprivation,Female,European Union,18.4
2011,Percentage,Material deprivation,Female,European Union,19.1
2012,Percentage,Material deprivation,Female,European Union,20.3
2013,Percentage,Material deprivation,Female,European Union,20.1
2014,Percentage,Material deprivation,Female,European Union,20.5
2015,Percentage,Material deprivation,Female,European Union,18.3
2016,Percentage,Material deprivation,Female,European Union,16.9
2017,Percentage,Material deprivation,Female,European Union,14.9
2018,Percentage,Material deprivation,Female,European Union,13.9
2019,Percentage,Material deprivation,Female,European Union,13.2
2020,Percentage,Material deprivation,Female,European Union,13.3
2010,Percentage,Material deprivation,Male,European Union,17.2
2011,Percentage,Material deprivation,Male,European Union,17.8
2012,Percentage,Material deprivation,Male,European Union,19.1
2013,Percentage,Material deprivation,Male,European Union,18.9
2014,Percentage,Material deprivation,Male,European Union,18.8
2015,Percentage,Material deprivation,Male,European Union,16.5
2016,Percentage,Material deprivation,Male,European Union,15.1
2017,Percentage,Material deprivation,Male,European Union,13.2
2018,Percentage,Material deprivation,Male,European Union,12.1
2019,Percentage,Material deprivation,Male,European Union,11.5
2020,Percentage,Material deprivation,Male,European Union,12.0
2021,Percentage,Material deprivation,Male,European Union,11.4
2010,Percentage,Material deprivation,Male,European Union,17.2
2011,Percentage,Material deprivation,Male,European Union,17.8
2012,Percentage,Material deprivation,Male,European Union,19.1
2013,Percentage,Material deprivation,Male,European Union,18.9
2014,Percentage,Material deprivation,Male,European Union,18.8
2015,Percentage,Material deprivation,Male,European Union,16.5
2016,Percentage,Material deprivation,Male,European Union,15.1
2017,Percentage,Material deprivation,Male,European Union,13.2
2018,Percentage,Material deprivation,Male,European Union,12.1
2019,Percentage,Material deprivation,Male,European Union,11.5
2020,Percentage,Material deprivation,Male,European Union,12.0
2010,Percentage,Material deprivation,,Germany,11.1
2011,Percentage,Material deprivation,,Germany,12.4
2012,Percentage,Material deprivation,,Germany,11.3
2013,Percentage,Material deprivation,,Germany,11.6
2014,Percentage,Material deprivation,,Germany,12.3
2015,Percentage,Material deprivation,,Germany,11.2
2016,Percentage,Material deprivation,,Germany,9.6
2017,Percentage,Material deprivation,,Germany,8.3
2018,Percentage,Material deprivation,,Germany,7.6
2019,Percentage,Material deprivation,,Germany,6.8
2020,Percentage,Material deprivation,,Germany,9.1
2021,Percentage,Material deprivation,,Germany,8.8
2010,Percentage,Material deprivation,,Germany,11.1
2011,Percentage,Material deprivation,,Germany,12.4
2012,Percentage,Material deprivation,,Germany,11.3
2013,Percentage,Material deprivation,,Germany,11.6
2014,Percentage,Material deprivation,,Germany,12.3
2015,Percentage,Material deprivation,,Germany,11.2
2016,Percentage,Material deprivation,,Germany,9.6
2017,Percentage,Material deprivation,,Germany,8.3
2018,Percentage,Material deprivation,,Germany,7.6
2019,Percentage,Material deprivation,,Germany,6.8
2020,Percentage,Material deprivation,,Germany,9.1
2010,Percentage,Material deprivation,Female,Germany,11.5
2011,Percentage,Material deprivation,Female,Germany,13.3
2012,Percentage,Material deprivation,Female,Germany,12.2
2013,Percentage,Material deprivation,Female,Germany,12.5
2014,Percentage,Material deprivation,Female,Germany,13.3
2015,Percentage,Material deprivation,Female,Germany,12.2
2016,Percentage,Material deprivation,Female,Germany,10.5
2017,Percentage,Material deprivation,Female,Germany,9.0
2018,Percentage,Material deprivation,Female,Germany,8.2
2019,Percentage,Material deprivation,Female,Germany,7.2
2020,Percentage,Material deprivation,Female,Germany,9.3
2021,Percentage,Material deprivation,Female,Germany,8.8
2010,Percentage,Material deprivation,Female,Germany,11.5
2011,Percentage,Material deprivation,Female,Germany,13.3
2012,Percentage,Material deprivation,Female,Germany,12.2
2013,Percentage,Material deprivation,Female,Germany,12.5
2014,Percentage,Material deprivation,Female,Germany,13.3
2015,Percentage,Material deprivation,Female,Germany,12.2
2016,Percentage,Material deprivation,Female,Germany,10.5
2017,Percentage,Material deprivation,Female,Germany,9.0
2018,Percentage,Material deprivation,Female,Germany,8.2
2019,Percentage,Material deprivation,Female,Germany,7.2
2020,Percentage,Material deprivation,Female,Germany,9.3
2010,Percentage,Material deprivation,Male,Germany,10.6
2011,Percentage,Material deprivation,Male,Germany,11.5
2012,Percentage,Material deprivation,Male,Germany,10.5
2013,Percentage,Material deprivation,Male,Germany,10.7
2014,Percentage,Material deprivation,Male,Germany,11.3
2015,Percentage,Material deprivation,Male,Germany,10.2
2016,Percentage,Material deprivation,Male,Germany,8.6
2017,Percentage,Material deprivation,Male,Germany,7.6
2018,Percentage,Material deprivation,Male,Germany,7.0
2019,Percentage,Material deprivation,Male,Germany,6.4
2020,Percentage,Material deprivation,Male,Germany,8.9
2021,Percentage,Material deprivation,Male,Germany,8.8
2010,Percentage,Material deprivation,Male,Germany,10.6
2011,Percentage,Material deprivation,Male,Germany,11.5
2012,Percentage,Material deprivation,Male,Germany,10.5
2013,Percentage,Material deprivation,Male,Germany,10.7
2014,Percentage,Material deprivation,Male,Germany,11.3
2015,Percentage,Material deprivation,Male,Germany,10.2
2016,Percentage,Material deprivation,Male,Germany,8.6
2017,Percentage,Material deprivation,Male,Germany,7.6
2018,Percentage,Material deprivation,Male,Germany,7.0
2019,Percentage,Material deprivation,Male,Germany,6.4
2020,Percentage,Material deprivation,Male,Germany,8.9
2010,Percentage,Severe material deprivation,,European Union,8.4
2011,Percentage,Severe material deprivation,,European Union,8.8
2012,Percentage,Severe material deprivation,,European Union,9.9
2013,Percentage,Severe material deprivation,,European Union,9.6
2014,Percentage,Severe material deprivation,,European Union,8.9
2015,Percentage,Severe material deprivation,,European Union,8.1
2016,Percentage,Severe material deprivation,,European Union,7.5
2017,Percentage,Severe material deprivation,,European Union,6.6
2018,Percentage,Severe material deprivation,,European Union,5.9
2019,Percentage,Severe material deprivation,,European Union,5.3
2020,Percentage,Severe material deprivation,,European Union,5.9
2021,Percentage,Severe material deprivation,,European Union,
2010,Percentage,Severe material deprivation,,European Union,8.4
2011,Percentage,Severe material deprivation,,European Union,8.8
2012,Percentage,Severe material deprivation,,European Union,9.9
2013,Percentage,Severe material deprivation,,European Union,9.6
2014,Percentage,Severe material deprivation,,European Union,8.9
2015,Percentage,Severe material deprivation,,European Union,8.1
2016,Percentage,Severe material deprivation,,European Union,7.5
2017,Percentage,Severe material deprivation,,European Union,6.6
2018,Percentage,Severe material deprivation,,European Union,5.9
2019,Percentage,Severe material deprivation,,European Union,5.3
2020,Percentage,Severe material deprivation,,European Union,5.9
2010,Percentage,Severe material deprivation,Female,European Union,
