Year,Units,Time series,Sex,Federal state,GeoCode,Value
1996,Percentage,Foreigns,,,,80.35
1997,Percentage,Foreigns,,,,80.57
1998,Percentage,Foreigns,,,,80.51
1999,Percentage,Foreigns,,,,80.69
2000,Percentage,Foreigns,,,,80.1
2001,Percentage,Foreigns,,,,79.83
2002,Percentage,Foreigns,,,,80.55
2003,Percentage,Foreigns,,,,80.9
2004,Percentage,Foreigns,,,,81.91
2005,Percentage,Foreigns,,,,82.6
2006,Percentage,Foreigns,,,,83.23
2007,Percentage,Foreigns,,,,84.0
2008,Percentage,Foreigns,,,,85.0
2009,Percentage,Foreigns,,,,86.2
2010,Percentage,Foreigns,,,,87.19
2011,Percentage,Foreigns,,,,88.22
2012,Percentage,Foreigns,,,,88.61
2013,Percentage,Foreigns,,,,89.29
2014,Percentage,Foreigns,,,,88.06
2015,Percentage,Foreigns,,,,88.2
2016,Percentage,Foreigns,,,,85.83
2017,Percentage,Foreigns,,,,81.81
2018,Percentage,Foreigns,,,,81.8
2019,Percentage,Foreigns,,,,82.37
2020,Percentage,Foreigns,,,,85.35
1996,Percentage,Foreigns,Female,,,84.47
1997,Percentage,Foreigns,Female,,,84.73
1998,Percentage,Foreigns,Female,,,84.53
1999,Percentage,Foreigns,Female,,,85.23
2000,Percentage,Foreigns,Female,,,84.33
2001,Percentage,Foreigns,Female,,,84.19
2002,Percentage,Foreigns,Female,,,84.42
2003,Percentage,Foreigns,Female,,,84.59
2004,Percentage,Foreigns,Female,,,85.81
2005,Percentage,Foreigns,Female,,,86.42
2006,Percentage,Foreigns,Female,,,86.53
2007,Percentage,Foreigns,Female,,,87.04
2008,Percentage,Foreigns,Female,,,87.92
2009,Percentage,Foreigns,Female,,,88.54
2010,Percentage,Foreigns,Female,,,89.47
2011,Percentage,Foreigns,Female,,,90.34
2012,Percentage,Foreigns,Female,,,90.59
2013,Percentage,Foreigns,Female,,,91.07
2014,Percentage,Foreigns,Female,,,89.41
2015,Percentage,Foreigns,Female,,,90.3
2016,Percentage,Foreigns,Female,,,89.1
2017,Percentage,Foreigns,Female,,,86.35
2018,Percentage,Foreigns,Female,,,85.57
2019,Percentage,Foreigns,Female,,,85.83
2020,Percentage,Foreigns,Female,,,88.02
1996,Percentage,Foreigns,Male,,,76.66
1997,Percentage,Foreigns,Male,,,76.83
1998,Percentage,Foreigns,Male,,,76.9
1999,Percentage,Foreigns,Male,,,77.49
2000,Percentage,Foreigns,Male,,,76.21
2001,Percentage,Foreigns,Male,,,75.63
2002,Percentage,Foreigns,Male,,,76.89
2003,Percentage,Foreigns,Male,,,77.42
2004,Percentage,Foreigns,Male,,,78.31
2005,Percentage,Foreigns,Male,,,79.14
2006,Percentage,Foreigns,Male,,,80.18
2007,Percentage,Foreigns,Male,,,81.21
2008,Percentage,Foreigns,Male,,,82.28
2009,Percentage,Foreigns,Male,,,83.85
2010,Percentage,Foreigns,Male,,,84.97
2011,Percentage,Foreigns,Male,,,86.17
2012,Percentage,Foreigns,Male,,,86.69
2013,Percentage,Foreigns,Male,,,87.56
2014,Percentage,Foreigns,Male,,,86.76
2015,Percentage,Foreigns,Male,,,86.2
2016,Percentage,Foreigns,Male,,,82.9
2017,Percentage,Foreigns,Male,,,77.98
2018,Percentage,Foreigns,Male,,,78.77
2019,Percentage,Foreigns,Male,,,79.49
2020,Percentage,Foreigns,Male,,,83.01
1996,Percentage,Germans,,,,92.28
1997,Percentage,Germans,,,,92.29
1998,Percentage,Germans,,,,92.06
1999,Percentage,Germans,,,,92.0
2000,Percentage,Germans,,,,91.69
2001,Percentage,Germans,,,,91.35
2002,Percentage,Germans,,,,91.8
2003,Percentage,Germans,,,,92.07
2004,Percentage,Germans,,,,92.58
2005,Percentage,Germans,,,,92.76
2006,Percentage,Germans,,,,93.05
2007,Percentage,Germans,,,,93.6
2008,Percentage,Germans,,,,93.8
2009,Percentage,Germans,,,,94.23
2010,Percentage,Germans,,,,94.57
2011,Percentage,Germans,,,,95.01
