Year,Units,Time series,Federal state,GeoCode,Value
2012,Minutes,For the medium-sized and major cities of the year in question,,,23.49
2016,Minutes,For the medium-sized and major cities of the year in question,,,22.41
2018,Minutes,For the medium-sized and major cities of the year in question,,,21.86
2020,Minutes,For the medium-sized and major cities of the year in question,,,20.59
2013,Minutes,For the medium-sized and major cities of the year in question,,,
2014,Minutes,For the medium-sized and major cities of the year in question,,,
2015,Minutes,For the medium-sized and major cities of the year in question,,,
2017,Minutes,For the medium-sized and major cities of the year in question,,,
2019,Minutes,For the medium-sized and major cities of the year in question,,,
2012,Minutes,For the medium-sized and major cities of 2012,,,23.5
2016,Minutes,For the medium-sized and major cities of 2012,,,22.75
2018,Minutes,For the medium-sized and major cities of 2012,,,22.5
2020,Minutes,For the medium-sized and major cities of 2012,,,21.3
2013,Minutes,For the medium-sized and major cities of 2012,,,
2014,Minutes,For the medium-sized and major cities of 2012,,,
2015,Minutes,For the medium-sized and major cities of 2012,,,
2017,Minutes,For the medium-sized and major cities of 2012,,,
2019,Minutes,For the medium-sized and major cities of 2012,,,
2012,Minutes,For the medium-sized and major cities of the year in question,Baden-Wuerttemberg,code08,22.8
2016,Minutes,For the medium-sized and major cities of the year in question,Baden-Wuerttemberg,code08,21.85
2018,Minutes,For the medium-sized and major cities of the year in question,Baden-Wuerttemberg,code08,21.61
2020,Minutes,For the medium-sized and major cities of the year in question,Baden-Wuerttemberg,code08,20.47
2013,Minutes,For the medium-sized and major cities of the year in question,Baden-Wuerttemberg,code08,
2014,Minutes,For the medium-sized and major cities of the year in question,Baden-Wuerttemberg,code08,
2015,Minutes,For the medium-sized and major cities of the year in question,Baden-Wuerttemberg,code08,
2017,Minutes,For the medium-sized and major cities of the year in question,Baden-Wuerttemberg,code08,
2019,Minutes,For the medium-sized and major cities of the year in question,Baden-Wuerttemberg,code08,
2012,Minutes,For the medium-sized and major cities of the year in question,Bavaria,code09,23.67
2016,Minutes,For the medium-sized and major cities of the year in question,Bavaria,code09,22.42
2018,Minutes,For the medium-sized and major cities of the year in question,Bavaria,code09,20.86
2020,Minutes,For the medium-sized and major cities of the year in question,Bavaria,code09,19.24
2013,Minutes,For the medium-sized and major cities of the year in question,Bavaria,code09,
2014,Minutes,For the medium-sized and major cities of the year in question,Bavaria,code09,
2015,Minutes,For the medium-sized and major cities of the year in question,Bavaria,code09,
2017,Minutes,For the medium-sized and major cities of the year in question,Bavaria,code09,
2019,Minutes,For the medium-sized and major cities of the year in question,Bavaria,code09,
2012,Minutes,For the medium-sized and major cities of the year in question,Berlin,code11,27.19
2016,Minutes,For the medium-sized and major cities of the year in question,Berlin,code11,24.87
2018,Minutes,For the medium-sized and major cities of the year in question,Berlin,code11,24.4
2020,Minutes,For the medium-sized and major cities of the year in question,Berlin,code11,23.39
2013,Minutes,For the medium-sized and major cities of the year in question,Berlin,code11,
2014,Minutes,For the medium-sized and major cities of the year in question,Berlin,code11,
2015,Minutes,For the medium-sized and major cities of the year in question,Berlin,code11,
2017,Minutes,For the medium-sized and major cities of the year in question,Berlin,code11,
2019,Minutes,For the medium-sized and major cities of the year in question,Berlin,code11,
2012,Minutes,For the medium-sized and major cities of the year in question,Brandenburg,code12,24.59
2016,Minutes,For the medium-sized and major cities of the year in question,Brandenburg,code12,22.27
2018,Minutes,For the medium-sized and major cities of the year in question,Brandenburg,code12,21.48
2020,Minutes,For the medium-sized and major cities of the year in question,Brandenburg,code12,19.25
2013,Minutes,For the medium-sized and major cities of the year in question,Brandenburg,code12,
2014,Minutes,For the medium-sized and major cities of the year in question,Brandenburg,code12,
2015,Minutes,For the medium-sized and major cities of the year in question,Brandenburg,code12,
2017,Minutes,For the medium-sized and major cities of the year in question,Brandenburg,code12,
2019,Minutes,For the medium-sized and major cities of the year in question,Brandenburg,code12,
2012,Minutes,For the medium-sized and major cities of the year in question,Bremen,code04,24.54
2016,Minutes,For the medium-sized and major cities of the year in question,Bremen,code04,22.52
2018,Minutes,For the medium-sized and major cities of the year in question,Bremen,code04,21.83
2020,Minutes,For the medium-sized and major cities of the year in question,Bremen,code04,20.65
2013,Minutes,For the medium-sized and major cities of the year in question,Bremen,code04,
2014,Minutes,For the medium-sized and major cities of the year in question,Bremen,code04,
2015,Minutes,For the medium-sized and major cities of the year in question,Bremen,code04,
2017,Minutes,For the medium-sized and major cities of the year in question,Bremen,code04,
2019,Minutes,For the medium-sized and major cities of the year in question,Bremen,code04,
2012,Minutes,For the medium-sized and major cities of the year in question,Hamburg,code02,23.55
2016,Minutes,For the medium-sized and major cities of the year in question,Hamburg,code02,25.81
2018,Minutes,For the medium-sized and major cities of the year in question,Hamburg,code02,25.87
2020,Minutes,For the medium-sized and major cities of the year in question,Hamburg,code02,25.91
2013,Minutes,For the medium-sized and major cities of the year in question,Hamburg,code02,
2014,Minutes,For the medium-sized and major cities of the year in question,Hamburg,code02,
2015,Minutes,For the medium-sized and major cities of the year in question,Hamburg,code02,
2017,Minutes,For the medium-sized and major cities of the year in question,Hamburg,code02,
2019,Minutes,For the medium-sized and major cities of the year in question,Hamburg,code02,
2012,Minutes,For the medium-sized and major cities of the year in question,Hesse,code06,20.2
2016,Minutes,For the medium-sized and major cities of the year in question,Hesse,code06,19.26
2018,Minutes,For the medium-sized and major cities of the year in question,Hesse,code06,18.93
2020,Minutes,For the medium-sized and major cities of the year in question,Hesse,code06,17.53
2013,Minutes,For the medium-sized and major cities of the year in question,Hesse,code06,
2014,Minutes,For the medium-sized and major cities of the year in question,Hesse,code06,
2015,Minutes,For the medium-sized and major cities of the year in question,Hesse,code06,
2017,Minutes,For the medium-sized and major cities of the year in question,Hesse,code06,
2019,Minutes,For the medium-sized and major cities of the year in question,Hesse,code06,
2012,Minutes,For the medium-sized and major cities of the year in question,Mecklenburg Western Pomerania,code13,32.31
2016,Minutes,For the medium-sized and major cities of the year in question,Mecklenburg Western Pomerania,code13,30.67
2018,Minutes,For the medium-sized and major cities of the year in question,Mecklenburg Western Pomerania,code13,30.6
2020,Minutes,For the medium-sized and major cities of the year in question,Mecklenburg Western Pomerania,code13,28.34
2013,Minutes,For the medium-sized and major cities of the year in question,Mecklenburg Western Pomerania,code13,
2014,Minutes,For the medium-sized and major cities of the year in question,Mecklenburg Western Pomerania,code13,
2015,Minutes,For the medium-sized and major cities of the year in question,Mecklenburg Western Pomerania,code13,
2017,Minutes,For the medium-sized and major cities of the year in question,Mecklenburg Western Pomerania,code13,
2019,Minutes,For the medium-sized and major cities of the year in question,Mecklenburg Western Pomerania,code13,
2012,Minutes,For the medium-sized and major cities of the year in question,Lower Saxony,code03,27.44
2016,Minutes,For the medium-sized and major cities of the year in question,Lower Saxony,code03,25.6
2018,Minutes,For the medium-sized and major cities of the year in question,Lower Saxony,code03,24.89
2020,Minutes,For the medium-sized and major cities of the year in question,Lower Saxony,code03,23.91
2013,Minutes,For the medium-sized and major cities of the year in question,Lower Saxony,code03,
2014,Minutes,For the medium-sized and major cities of the year in question,Lower Saxony,code03,
2015,Minutes,For the medium-sized and major cities of the year in question,Lower Saxony,code03,
2017,Minutes,For the medium-sized and major cities of the year in question,Lower Saxony,code03,
2019,Minutes,For the medium-sized and major cities of the year in question,Lower Saxony,code03,
2012,Minutes,For the medium-sized and major cities of the year in question,North Rhine-Westphalia,code05,19.4
2016,Minutes,For the medium-sized and major cities of the year in question,North Rhine-Westphalia,code05,19.29
2018,Minutes,For the medium-sized and major cities of the year in question,North Rhine-Westphalia,code05,18.98
2020,Minutes,For the medium-sized and major cities of the year in question,North Rhine-Westphalia,code05,17.8
2013,Minutes,For the medium-sized and major cities of the year in question,North Rhine-Westphalia,code05,
2014,Minutes,For the medium-sized and major cities of the year in question,North Rhine-Westphalia,code05,
2015,Minutes,For the medium-sized and major cities of the year in question,North Rhine-Westphalia,code05,
2017,Minutes,For the medium-sized and major cities of the year in question,North Rhine-Westphalia,code05,
2019,Minutes,For the medium-sized and major cities of the year in question,North Rhine-Westphalia,code05,
2012,Minutes,For the medium-sized and major cities of the year in question,Rhineland Palatinate,code07,22.95
2016,Minutes,For the medium-sized and major cities of the year in question,Rhineland Palatinate,code07,20.94
2018,Minutes,For the medium-sized and major cities of the year in question,Rhineland Palatinate,code07,20.56
2020,Minutes,For the medium-sized and major cities of the year in question,Rhineland Palatinate,code07,19.67
2013,Minutes,For the medium-sized and major cities of the year in question,Rhineland Palatinate,code07,
2014,Minutes,For the medium-sized and major cities of the year in question,Rhineland Palatinate,code07,
