Year,Units,Display,Time series,Value
2014.1,Millions,Time series,Total objects,7.9
2014.2,Millions,Time series,Total objects,11.2
2015.1,Millions,Time series,Total objects,15.1
2015.2,Millions,Time series,Total objects,18.2
2016.1,Millions,Time series,Total objects,19.7
2016.2,Millions,Time series,Total objects,20.4
2017.1,Millions,Time series,Total objects,22.5
2017.2,Millions,Time series,Total objects,23.7
2018.1,Millions,Time series,Total objects,24.2
2018.2,Millions,Time series,Total objects,24.2
2019.1,Millions,Time series,Total objects,26.4
2019.2,Millions,Time series,Total objects,32.1
2020.1,Millions,Time series,Total objects,33.0
2030.0,Millions,Target,Total objects,50.0
2016.1,Millions,Time series,objects with digitalisat,6.2
2016.2,Millions,Time series,objects with digitalisat,6.5
2017.1,Millions,Time series,objects with digitalisat,7.4
2017.2,Millions,Time series,objects with digitalisat,7.9
2018.1,Millions,Time series,objects with digitalisat,7.9
2018.2,Millions,Time series,objects with digitalisat,7.9
2019.1,Millions,Time series,objects with digitalisat,10.2
2019.2,Millions,Time series,objects with digitalisat,11.3
2020.1,Millions,Time series,objects with digitalisat,11.3
