Year,Units,Display,Sea,Value
1995,Milligrams per litre,Time series,North sea,4.73
1996,Milligrams per litre,Time series,North sea,4.71
1997,Milligrams per litre,Time series,North sea,4.49
1998,Milligrams per litre,Time series,North sea,4.3
1999,Milligrams per litre,Time series,North sea,4.14
2000,Milligrams per litre,Time series,North sea,4.03
2001,Milligrams per litre,Time series,North sea,3.85
2002,Milligrams per litre,Time series,North sea,3.78
2003,Milligrams per litre,Time series,North sea,3.63
2004,Milligrams per litre,Time series,North sea,3.6
2005,Milligrams per litre,Time series,North sea,3.57
2006,Milligrams per litre,Time series,North sea,3.57
2007,Milligrams per litre,Time series,North sea,3.49
2008,Milligrams per litre,Time series,North sea,3.46
2009,Milligrams per litre,Time series,North sea,3.39
2010,Milligrams per litre,Time series,North sea,3.4
2011,Milligrams per litre,Time series,North sea,3.31
2012,Milligrams per litre,Time series,North sea,3.18
2013,Milligrams per litre,Time series,North sea,3.17
2014,Milligrams per litre,Time series,North sea,3.1
2015,Milligrams per litre,Time series,North sea,2.99
2016,Milligrams per litre,Time series,North sea,2.93
2017,Milligrams per litre,Time series,North sea,2.99
1995,Milligrams per litre,Target,North sea,2.8
1996,Milligrams per litre,Target,North sea,2.8
1997,Milligrams per litre,Target,North sea,2.8
1998,Milligrams per litre,Target,North sea,2.8
1999,Milligrams per litre,Target,North sea,2.8
2000,Milligrams per litre,Target,North sea,2.8
2001,Milligrams per litre,Target,North sea,2.8
2002,Milligrams per litre,Target,North sea,2.8
2003,Milligrams per litre,Target,North sea,2.8
2004,Milligrams per litre,Target,North sea,2.8
2005,Milligrams per litre,Target,North sea,2.8
2006,Milligrams per litre,Target,North sea,2.8
2007,Milligrams per litre,Target,North sea,2.8
2008,Milligrams per litre,Target,North sea,2.8
2009,Milligrams per litre,Target,North sea,2.8
2010,Milligrams per litre,Target,North sea,2.8
2011,Milligrams per litre,Target,North sea,2.8
2012,Milligrams per litre,Target,North sea,2.8
2013,Milligrams per litre,Target,North sea,2.8
2014,Milligrams per litre,Target,North sea,2.8
2015,Milligrams per litre,Target,North sea,2.8
2016,Milligrams per litre,Target,North sea,2.8
2017,Milligrams per litre,Target,North sea,2.8
2018,Milligrams per litre,Target,North sea,2.8
2019,Milligrams per litre,Target,North sea,2.8
1998,Milligrams per litre,Time series,Baltic sea,4.17
1999,Milligrams per litre,Time series,Baltic sea,3.92
2000,Milligrams per litre,Time series,Baltic sea,3.83
2001,Milligrams per litre,Time series,Baltic sea,3.96
2002,Milligrams per litre,Time series,Baltic sea,4.18
2003,Milligrams per litre,Time series,Baltic sea,3.74
2004,Milligrams per litre,Time series,Baltic sea,3.58
2005,Milligrams per litre,Time series,Baltic sea,3.58
2006,Milligrams per litre,Time series,Baltic sea,3.52
2007,Milligrams per litre,Time series,Baltic sea,3.52
2008,Milligrams per litre,Time series,Baltic sea,3.69
2009,Milligrams per litre,Time series,Baltic sea,3.6
2010,Milligrams per litre,Time series,Baltic sea,3.75
2011,Milligrams per litre,Time series,Baltic sea,3.78
2012,Milligrams per litre,Time series,Baltic sea,3.45
2013,Milligrams per litre,Time series,Baltic sea,3.41
2014,Milligrams per litre,Time series,Baltic sea,3.35
2015,Milligrams per litre,Time series,Baltic sea,3.15
2016,Milligrams per litre,Time series,Baltic sea,2.95
2017,Milligrams per litre,Time series,Baltic sea,3.19
2018,Milligrams per litre,Time series,Baltic sea,3.14
2019,Milligrams per litre,Time series,Baltic sea,3.17
1995,Milligrams per litre,Target,Baltic sea,2.6
1996,Milligrams per litre,Target,Baltic sea,2.6
1997,Milligrams per litre,Target,Baltic sea,2.6
1998,Milligrams per litre,Target,Baltic sea,2.6
1999,Milligrams per litre,Target,Baltic sea,2.6
2000,Milligrams per litre,Target,Baltic sea,2.6
2001,Milligrams per litre,Target,Baltic sea,2.6
2002,Milligrams per litre,Target,Baltic sea,2.6
2003,Milligrams per litre,Target,Baltic sea,2.6
2004,Milligrams per litre,Target,Baltic sea,2.6
2005,Milligrams per litre,Target,Baltic sea,2.6
2006,Milligrams per litre,Target,Baltic sea,2.6
2007,Milligrams per litre,Target,Baltic sea,2.6
2008,Milligrams per litre,Target,Baltic sea,2.6
2009,Milligrams per litre,Target,Baltic sea,2.6
2010,Milligrams per litre,Target,Baltic sea,2.6
2011,Milligrams per litre,Target,Baltic sea,2.6
2012,Milligrams per litre,Target,Baltic sea,2.6
2013,Milligrams per litre,Target,Baltic sea,2.6
2014,Milligrams per litre,Target,Baltic sea,2.6
2015,Milligrams per litre,Target,Baltic sea,2.6
2016,Milligrams per litre,Target,Baltic sea,2.6
2017,Milligrams per litre,Target,Baltic sea,2.6
2018,Milligrams per litre,Target,Baltic sea,2.6
2019,Milligrams per litre,Target,Baltic sea,2.6
