Year,Units,Display,Time series,Sea,Value
2003,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,,31.0
2004,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,,20.7
2005,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,,20.7
2006,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,,13.8
2007,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,,17.2
2008,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,,24.1
2009,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,,27.6
2010,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,,34.5
2011,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,,37.9
2012,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,,44.8
2013,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,,41.4
2014,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,,41.4
2015,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,,41.4
2016,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,,44.8
2017,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,,44.8
2018,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,,51.7
2020,Percentage,Target,Proportion of sustainable managed stocks in all MSY examined stocks,,100.0
2003,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,North sea,40.9
2004,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,North sea,22.7
2005,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,North sea,22.7
2006,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,North sea,13.6
2007,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,North sea,18.2
2008,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,North sea,22.7
2009,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,North sea,31.8
2010,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,North sea,40.9
2011,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,North sea,40.9
2012,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,North sea,45.5
2013,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,North sea,40.9
2014,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,North sea,40.9
2015,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,North sea,50.0
2016,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,North sea,54.5
2017,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,North sea,54.5
2018,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,North sea,63.6
2003,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,Baltic sea,0.0
2004,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,Baltic sea,14.3
2005,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,Baltic sea,14.3
2006,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,Baltic sea,14.3
2007,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,Baltic sea,14.3
2008,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,Baltic sea,28.6
2009,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,Baltic sea,14.3
2010,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,Baltic sea,14.3
2011,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,Baltic sea,28.6
2012,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,Baltic sea,42.9
2013,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,Baltic sea,42.9
2014,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,Baltic sea,42.9
2015,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,Baltic sea,14.3
2016,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,Baltic sea,14.3
2017,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,Baltic sea,14.3
2018,Percentage,Time series,Proportion of sustainable managed stocks in all MSY examined stocks,Baltic sea,14.3
2003,Percentage,Time series,Proportion of MSY examined in all managed stocks,,37.2
2004,Percentage,Time series,Proportion of MSY examined in all managed stocks,,37.2
2005,Percentage,Time series,Proportion of MSY examined in all managed stocks,,37.2
2006,Percentage,Time series,Proportion of MSY examined in all managed stocks,,37.2
2007,Percentage,Time series,Proportion of MSY examined in all managed stocks,,37.2
2008,Percentage,Time series,Proportion of MSY examined in all managed stocks,,37.2
2009,Percentage,Time series,Proportion of MSY examined in all managed stocks,,37.2
2010,Percentage,Time series,Proportion of MSY examined in all managed stocks,,37.2
2011,Percentage,Time series,Proportion of MSY examined in all managed stocks,,37.2
2012,Percentage,Time series,Proportion of MSY examined in all managed stocks,,37.2
2013,Percentage,Time series,Proportion of MSY examined in all managed stocks,,37.2
2014,Percentage,Time series,Proportion of MSY examined in all managed stocks,,37.2
2015,Percentage,Time series,Proportion of MSY examined in all managed stocks,,37.2
2016,Percentage,Time series,Proportion of MSY examined in all managed stocks,,37.2
2017,Percentage,Time series,Proportion of MSY examined in all managed stocks,,37.2
2018,Percentage,Time series,Proportion of MSY examined in all managed stocks,,37.2
