Year,Units,Criminal offences,Value
1993,"Per 100,000 inhabitants",,8354.095
1994,"Per 100,000 inhabitants",,8062.642
1995,"Per 100,000 inhabitants",,8211.891
1996,"Per 100,000 inhabitants",,8165.843
1997,"Per 100,000 inhabitants",,8078.662
1998,"Per 100,000 inhabitants",,7923.243
1999,"Per 100,000 inhabitants",,7742.636
2000,"Per 100,000 inhabitants",,7691.754
2001,"Per 100,000 inhabitants",,7811.684
2002,"Per 100,000 inhabitants",,7977.821
2003,"Per 100,000 inhabitants",,8055.254
2004,"Per 100,000 inhabitants",,8137.919
2005,"Per 100,000 inhabitants",,7851.874
2006,"Per 100,000 inhabitants",,7757.168
2007,"Per 100,000 inhabitants",,7751.507
2008,"Per 100,000 inhabitants",,7556.892
2009,"Per 100,000 inhabitants",,7509.802
2010,"Per 100,000 inhabitants",,7384.652
2011,"Per 100,000 inhabitants",,7467.62
2012,"Per 100,000 inhabitants",,7465.7
2013,"Per 100,000 inhabitants",,7403.6
2014,"Per 100,000 inhabitants",,7530.3
2015,"Per 100,000 inhabitants",,7796.6
2016,"Per 100,000 inhabitants",,7754.8
2017,"Per 100,000 inhabitants",,6982.4
2018,"Per 100,000 inhabitants",,6710.185
2019,"Per 100,000 inhabitants",,6548.365
2020,"Per 100,000 inhabitants",,6385.513
2021,"Per 100,000 inhabitants",,6070.42
2022,"Per 100,000 inhabitants",,6762.108
2023,"Per 100,000 inhabitants",,7042.139
2030,"Per 100,000 inhabitants",,
1993,"Per 100,000 inhabitants",Dangerous and serious bodily injury,108.635
1994,"Per 100,000 inhabitants",Dangerous and serious bodily injury,108.571
1995,"Per 100,000 inhabitants",Dangerous and serious bodily injury,117.918
1996,"Per 100,000 inhabitants",Dangerous and serious bodily injury,124.476
1997,"Per 100,000 inhabitants",Dangerous and serious bodily injury,130.293
1998,"Per 100,000 inhabitants",Dangerous and serious bodily injury,135.319
1999,"Per 100,000 inhabitants",Dangerous and serious bodily injury,140.687
2000,"Per 100,000 inhabitants",Dangerous and serious bodily injury,143.543
2001,"Per 100,000 inhabitants",Dangerous and serious bodily injury,147.724
2002,"Per 100,000 inhabitants",Dangerous and serious bodily injury,155.614
2003,"Per 100,000 inhabitants",Dangerous and serious bodily injury,162.542
2004,"Per 100,000 inhabitants",Dangerous and serious bodily injury,171.451
2005,"Per 100,000 inhabitants",Dangerous and serious bodily injury,180.731
2006,"Per 100,000 inhabitants",Dangerous and serious bodily injury,185.646
2007,"Per 100,000 inhabitants",Dangerous and serious bodily injury,190.991
2008,"Per 100,000 inhabitants",Dangerous and serious bodily injury,186.889
2009,"Per 100,000 inhabitants",Dangerous and serious bodily injury,185.193
2010,"Per 100,000 inhabitants",Dangerous and serious bodily injury,177.859
2011,"Per 100,000 inhabitants",Dangerous and serious bodily injury,173.382
2012,"Per 100,000 inhabitants",Dangerous and serious bodily injury,169.402
2013,"Per 100,000 inhabitants",Dangerous and serious bodily injury,158.8
2014,"Per 100,000 inhabitants",Dangerous and serious bodily injury,155.7
2015,"Per 100,000 inhabitants",Dangerous and serious bodily injury,156.9
2016,"Per 100,000 inhabitants",Dangerous and serious bodily injury,170.4
2017,"Per 100,000 inhabitants",Dangerous and serious bodily injury,166.1
2018,"Per 100,000 inhabitants",Dangerous and serious bodily injury,165.144
2019,"Per 100,000 inhabitants",Dangerous and serious bodily injury,160.305
2020,"Per 100,000 inhabitants",Dangerous and serious bodily injury,156.857
2021,"Per 100,000 inhabitants",Dangerous and serious bodily injury,147.124
2022,"Per 100,000 inhabitants",Dangerous and serious bodily injury,173.796
2023,"Per 100,000 inhabitants",Dangerous and serious bodily injury,183.195
1993,"Per 100,000 inhabitants",Fraud,653.924
1994,"Per 100,000 inhabitants",Fraud,724.436
1995,"Per 100,000 inhabitants",Fraud,767.389
1996,"Per 100,000 inhabitants",Fraud,796.795
1997,"Per 100,000 inhabitants",Fraud,822.866
1998,"Per 100,000 inhabitants",Fraud,865.74
1999,"Per 100,000 inhabitants",Fraud,881.271
2000,"Per 100,000 inhabitants",Fraud,947.075
2001,"Per 100,000 inhabitants",Fraud,973.907
2002,"Per 100,000 inhabitants",Fraud,966.313
2003,"Per 100,000 inhabitants",Fraud,1073.724
2004,"Per 100,000 inhabitants",Fraud,1155.524
2005,"Per 100,000 inhabitants",Fraud,1166.926
2006,"Per 100,000 inhabitants",Fraud,1174.211
2007,"Per 100,000 inhabitants",Fraud,1125.97
2008,"Per 100,000 inhabitants",Fraud,1097.427
2009,"Per 100,000 inhabitants",Fraud,1185.581
2010,"Per 100,000 inhabitants",Fraud,1204.99
2011,"Per 100,000 inhabitants",Fraud,1165.368
2012,"Per 100,000 inhabitants",Fraud,1193.253
2013,"Per 100,000 inhabitants",Fraud,1164.7
2014,"Per 100,000 inhabitants",Fraud,1199.6
2015,"Per 100,000 inhabitants",Fraud,1190.1
2016,"Per 100,000 inhabitants",Fraud,1094.0
2017,"Per 100,000 inhabitants",Fraud,1103.2
2018,"Per 100,000 inhabitants",Fraud,1015.532
2019,"Per 100,000 inhabitants",Fraud,1003.341
2020,"Per 100,000 inhabitants",Fraud,971.632
2021,"Per 100,000 inhabitants",Fraud,954.388
2022,"Per 100,000 inhabitants",Fraud,962.806
2023,"Per 100,000 inhabitants",Fraud,894.38
1993,"Per 100,000 inhabitants",Domestic burglary,281.031
1994,"Per 100,000 inhabitants",Domestic burglary,260.192
1995,"Per 100,000 inhabitants",Domestic burglary,260.099
1996,"Per 100,000 inhabitants",Domestic burglary,240.52
1997,"Per 100,000 inhabitants",Domestic burglary,223.254
1998,"Per 100,000 inhabitants",Domestic burglary,204.606
1999,"Per 100,000 inhabitants",Domestic burglary,183.106
2000,"Per 100,000 inhabitants",Domestic burglary,171.909
2001,"Per 100,000 inhabitants",Domestic burglary,164.145
2002,"Per 100,000 inhabitants",Domestic burglary,159.443
2003,"Per 100,000 inhabitants",Domestic burglary,151.1
2004,"Per 100,000 inhabitants",Domestic burglary,152.32
2005,"Per 100,000 inhabitants",Domestic burglary,134.805
2006,"Per 100,000 inhabitants",Domestic burglary,130.562
2007,"Per 100,000 inhabitants",Domestic burglary,134.599
2008,"Per 100,000 inhabitants",Domestic burglary,133.836
2009,"Per 100,000 inhabitants",Domestic burglary,141.158
2010,"Per 100,000 inhabitants",Domestic burglary,151.03
2011,"Per 100,000 inhabitants",Domestic burglary,165.285
2012,"Per 100,000 inhabitants",Domestic burglary,179.411
2013,"Per 100,000 inhabitants",Domestic burglary,185.7
2014,"Per 100,000 inhabitants",Domestic burglary,188.3
2015,"Per 100,000 inhabitants",Domestic burglary,205.8
2016,"Per 100,000 inhabitants",Domestic burglary,184.1
2017,"Per 100,000 inhabitants",Domestic burglary,141.2
2018,"Per 100,000 inhabitants",Domestic burglary,117.769
2019,"Per 100,000 inhabitants",Domestic burglary,104.97
2020,"Per 100,000 inhabitants",Domestic burglary,90.208
2021,"Per 100,000 inhabitants",Domestic burglary,65.223
2022,"Per 100,000 inhabitants",Domestic burglary,79.181
2023,"Per 100,000 inhabitants",Domestic burglary,92.248
1993,"Per 100,000 inhabitants",Other offences,7310.504
