Year,Series,Units,Value
2012,Corruption Perceptions Index in Germany,,79.0
2013,Corruption Perceptions Index in Germany,,78.0
2014,Corruption Perceptions Index in Germany,,79.0
2015,Corruption Perceptions Index in Germany,,81.0
2016,Corruption Perceptions Index in Germany,,81.0
2017,Corruption Perceptions Index in Germany,,81.0
2018,Corruption Perceptions Index in Germany,,80.0
2019,Corruption Perceptions Index in Germany,,80.0
2020,Corruption Perceptions Index in Germany,,80.0
2021,Corruption Perceptions Index in Germany,,80.0
2012,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012,Number,
2013,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012,Number,20.0
2014,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012,Number,40.0
2015,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012,Number,43.0
2016,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012,Number,45.0
2017,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012,Number,45.0
2018,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012,Number,44.0
2019,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012,Number,45.0
2020,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012,Number,47.0
2021,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012,Number,48.0
