Year,Units,Time series,Sex,Value
2003,Percentage,Adolescents,,22.5
2004,Percentage,Adolescents,,23.5
2005,Percentage,Adolescents,,20.0
2007,Percentage,Adolescents,,17.7
2008,Percentage,Adolescents,,15.4
2009,Percentage,Adolescents,,
2010,Percentage,Adolescents,,12.9
2011,Percentage,Adolescents,,11.7
2012,Percentage,Adolescents,,12.0
2013,Percentage,Adolescents,,
2014,Percentage,Adolescents,,9.7
2015,Percentage,Adolescents,,9.6
2016,Percentage,Adolescents,,8.3
2017,Percentage,Adolescents,,
2018,Percentage,Adolescents,,8.7
2019,Percentage,Adolescents,,7.2
2021,Percentage,Adolescents,,6.1
2023,Percentage,Adolescents,,6.8
2006,Percentage,Adolescents,,
2020,Percentage,Adolescents,,
2022,Percentage,Adolescents,,
2030,Percentage,Adolescents,,
2003,Percentage,Adolescents,Female,23.2
2004,Percentage,Adolescents,Female,22.7
2005,Percentage,Adolescents,Female,19.3
2007,Percentage,Adolescents,Female,17.5
2008,Percentage,Adolescents,Female,16.2
2009,Percentage,Adolescents,Female,
2010,Percentage,Adolescents,Female,11.5
2011,Percentage,Adolescents,Female,12.4
2012,Percentage,Adolescents,Female,12.6
2013,Percentage,Adolescents,Female,
2014,Percentage,Adolescents,Female,8.9
2015,Percentage,Adolescents,Female,10.0
2016,Percentage,Adolescents,Female,6.1
2017,Percentage,Adolescents,Female,
2018,Percentage,Adolescents,Female,8.3
2019,Percentage,Adolescents,Female,6.3
2021,Percentage,Adolescents,Female,6.8
2023,Percentage,Adolescents,Female,6.4
2006,Percentage,Adolescents,Female,
2020,Percentage,Adolescents,Female,
2022,Percentage,Adolescents,Female,
2003,Percentage,Adolescents,Male,21.9
2004,Percentage,Adolescents,Male,24.2
2005,Percentage,Adolescents,Male,20.7
2007,Percentage,Adolescents,Male,17.8
2008,Percentage,Adolescents,Male,14.7
2009,Percentage,Adolescents,Male,
2010,Percentage,Adolescents,Male,14.2
2011,Percentage,Adolescents,Male,11.1
2012,Percentage,Adolescents,Male,11.5
2013,Percentage,Adolescents,Male,
2014,Percentage,Adolescents,Male,10.5
2015,Percentage,Adolescents,Male,9.3
2016,Percentage,Adolescents,Male,10.5
2017,Percentage,Adolescents,Male,
2018,Percentage,Adolescents,Male,9.1
2019,Percentage,Adolescents,Male,8.0
2021,Percentage,Adolescents,Male,5.5
2023,Percentage,Adolescents,Male,7.2
2006,Percentage,Adolescents,Male,
2020,Percentage,Adolescents,Male,
2022,Percentage,Adolescents,Male,
2003,Percentage,Adults,,27.4
2004,Percentage,Adults,,
2005,Percentage,Adults,,27.2
2007,Percentage,Adults,,
2008,Percentage,Adults,,
2009,Percentage,Adults,,25.7
2010,Percentage,Adults,,
2011,Percentage,Adults,,
2012,Percentage,Adults,,
2013,Percentage,Adults,,24.5
2014,Percentage,Adults,,
2015,Percentage,Adults,,
2016,Percentage,Adults,,
2017,Percentage,Adults,,22.4
2018,Percentage,Adults,,
2019,Percentage,Adults,,
2021,Percentage,Adults,,18.9
2023,Percentage,Adults,,
2006,Percentage,Adults,,
2020,Percentage,Adults,,
2022,Percentage,Adults,,
2030,Percentage,Adults,,
2003,Percentage,Adults,Female,22.1
2004,Percentage,Adults,Female,
2005,Percentage,Adults,Female,22.4
2007,Percentage,Adults,Female,
2008,Percentage,Adults,Female,
2009,Percentage,Adults,Female,21.2
2010,Percentage,Adults,Female,
2011,Percentage,Adults,Female,
2012,Percentage,Adults,Female,
2013,Percentage,Adults,Female,20.3
2014,Percentage,Adults,Female,
2015,Percentage,Adults,Female,
2016,Percentage,Adults,Female,
2017,Percentage,Adults,Female,18.6
2018,Percentage,Adults,Female,
2019,Percentage,Adults,Female,
2021,Percentage,Adults,Female,15.7
2023,Percentage,Adults,Female,
2006,Percentage,Adults,Female,
2020,Percentage,Adults,Female,
2022,Percentage,Adults,Female,
2003,Percentage,Adults,Male,33.2
2004,Percentage,Adults,Male,
2005,Percentage,Adults,Male,32.2
2007,Percentage,Adults,Male,
2008,Percentage,Adults,Male,
2009,Percentage,Adults,Male,30.5
2010,Percentage,Adults,Male,
2011,Percentage,Adults,Male,
2012,Percentage,Adults,Male,
2013,Percentage,Adults,Male,29.0
2014,Percentage,Adults,Male,
2015,Percentage,Adults,Male,
2016,Percentage,Adults,Male,
2017,Percentage,Adults,Male,26.4
2018,Percentage,Adults,Male,
2019,Percentage,Adults,Male,
2021,Percentage,Adults,Male,22.3
2023,Percentage,Adults,Male,
2006,Percentage,Adults,Male,
2020,Percentage,Adults,Male,
2022,Percentage,Adults,Male,
