Year,Units,Federal state,GeoCode,Age group,Sex,Value
1999,Percentage,,,,,10.7
2003,Percentage,,,,,11.7
2005,Percentage,,,,,12.5
2009,Percentage,,,,,13.3
2013,Percentage,,,,,14.1
2017,Percentage,,,,,14.789
1999,Percentage,Baden-Wuerttemberg,code08,,,9.78
2003,Percentage,Baden-Wuerttemberg,code08,,,10.913
2005,Percentage,Baden-Wuerttemberg,code08,,,11.371
2009,Percentage,Baden-Wuerttemberg,code08,,,12.259
2013,Percentage,Baden-Wuerttemberg,code08,,,12.923
2017,Percentage,Baden-Wuerttemberg,code08,,,13.774
1999,Percentage,Bavaria,code09,,,10.73
2003,Percentage,Bavaria,code09,,,11.668
2005,Percentage,Bavaria,code09,,,11.83
2009,Percentage,Bavaria,code09,,,12.784
2013,Percentage,Bavaria,code09,,,13.255
2017,Percentage,Bavaria,code09,,,13.728
1999,Percentage,Berlin,code11,,,9.206
2003,Percentage,Berlin,code11,,,10.185
2005,Percentage,Berlin,code11,,,11.228
2009,Percentage,Berlin,code11,,,11.187
2013,Percentage,Berlin,code11,,,11.727
2017,Percentage,Berlin,code11,,,11.913
1999,Percentage,Brandenburg,code12,,,13.054
2003,Percentage,Brandenburg,code12,,,13.122
2005,Percentage,Brandenburg,code12,,,13.811
2009,Percentage,Brandenburg,code12,,,14.843
2013,Percentage,Brandenburg,code12,,,14.925
2017,Percentage,Brandenburg,code12,,,15.47
1999,Percentage,Bremen,code04,,,8.863
2003,Percentage,Bremen,code04,,,10.82
2005,Percentage,Bremen,code04,,,10.152
2009,Percentage,Bremen,code04,,,11.745
2013,Percentage,Bremen,code04,,,13.546
2017,Percentage,Bremen,code04,,,16.937
1999,Percentage,Hamburg,code02,,,8.318
2003,Percentage,Hamburg,code02,,,9.04
2005,Percentage,Hamburg,code02,,,9.702
2009,Percentage,Hamburg,code02,,,9.909
2013,Percentage,Hamburg,code02,,,10.515
2017,Percentage,Hamburg,code02,,,11.483
1999,Percentage,Hesse,code06,,,10.812
2003,Percentage,Hesse,code06,,,11.599
2005,Percentage,Hesse,code06,,,11.943
2009,Percentage,Hesse,code06,,,13.288
2013,Percentage,Hesse,code06,,,14.233
2017,Percentage,Hesse,code06,,,14.898
1999,Percentage,Mecklenburg Western Pomerania,code13,,,13.848
