Year,Units,Value
2007.0,Millions,29.659
2008.0,Millions,21.016
2009.0,Millions,31.126
2010.0,Millions,34.611
2011.0,Millions,36.372
2012.0,Millions,12.507
2013.0,Millions,17.184
2014.0,Millions,11.904
2015.0,Millions,4.987
2016.0,Millions,3.842
2017.0,Millions,2.539
2018.0,Millions,2.9
2019.0,Millions,0.2
2020.0,Millions,0.04
2007.0,Millions,29.659
2008.0,Millions,21.016
2009.0,Millions,31.126
2010.0,Millions,34.611
2011.0,Millions,36.372
2012.0,Millions,12.507
2013.0,Millions,17.184
2014.0,Millions,11.904
2015.0,Millions,4.987
2016.0,Millions,3.842
2017.0,Millions,2.539
2018.0,Millions,2.9
2019.0,Millions,0.2
2030.0,Millions,
