Year,Units,Time series,Sex,Federal state,GeoCode,Value
1999,Percentage,Total,,,,33.35
2000,Percentage,Total,,,,33.0
2001,Percentage,Total,,,,33.17
2002,Percentage,Total,,,,33.28
2003,Percentage,Total,,,,33.89
2004,Percentage,Total,,,,36.22
2005,Percentage,Total,,,,35.99
2006,Percentage,Total,,,,36.5
2007,Percentage,Total,,,,37.63
2008,Percentage,Total,,,,38.77
2009,Percentage,Total,,,,40.71
2010,Percentage,Total,,,,41.31
2011,Percentage,Total,,,,42.22
2012,Percentage,Total,,,,43.43
2013,Percentage,Total,,,,44.48
2014,Percentage,Total,,,,45.67
2015,Percentage,Total,,,,46.77
2016,Percentage,Total,,,,47.88
2017,Percentage,Total,,,,48.84
2018,Percentage,Total,,,,49.83
2019,Percentage,Total,,,,50.49
2020,Percentage,Total,,,,52.3
1999,Percentage,Total,Female,,,31.39
2000,Percentage,Total,Female,,,30.88
2001,Percentage,Total,Female,,,31.09
2002,Percentage,Total,Female,,,31.25
2003,Percentage,Total,Female,,,32.19
2004,Percentage,Total,Female,,,34.65
2005,Percentage,Total,Female,,,35.0
2006,Percentage,Total,Female,,,36.48
2007,Percentage,Total,Female,,,38.03
2008,Percentage,Total,Female,,,39.68
2009,Percentage,Total,Female,,,42.21
2010,Percentage,Total,Female,,,42.68
2011,Percentage,Total,Female,,,44.42
2012,Percentage,Total,Female,,,46.04
2013,Percentage,Total,Female,,,46.8
2014,Percentage,Total,Female,,,48.42
2015,Percentage,Total,Female,,,50.52
2016,Percentage,Total,Female,,,51.3
2017,Percentage,Total,Female,,,52.64
2018,Percentage,Total,Female,,,53.83
2019,Percentage,Total,Female,,,54.41
2020,Percentage,Total,Female,,,56.63
1999,Percentage,Total,Male,,,35.22
2000,Percentage,Total,Male,,,35.05
2001,Percentage,Total,Male,,,35.2
2002,Percentage,Total,Male,,,35.22
2003,Percentage,Total,Male,,,35.49
2004,Percentage,Total,Male,,,37.72
2005,Percentage,Total,Male,,,36.95
2006,Percentage,Total,Male,,,36.52
2007,Percentage,Total,Male,,,37.25
2008,Percentage,Total,Male,,,37.86
2009,Percentage,Total,Male,,,39.23
2010,Percentage,Total,Male,,,39.97
2011,Percentage,Total,Male,,,40.07
2012,Percentage,Total,Male,,,40.88
2013,Percentage,Total,Male,,,42.2
2014,Percentage,Total,Male,,,42.94
2015,Percentage,Total,Male,,,43.11
2016,Percentage,Total,Male,,,44.57
2017,Percentage,Total,Male,,,45.19
2018,Percentage,Total,Male,,,46.02
2019,Percentage,Total,Male,,,46.76
2020,Percentage,Total,Male,,,48.26
2005,Percentage,Total,,Baden-Wuerttemberg,code08,36.88
2006,Percentage,Total,,Baden-Wuerttemberg,code08,36.9
2007,Percentage,Total,,Baden-Wuerttemberg,code08,37.6
2008,Percentage,Total,,Baden-Wuerttemberg,code08,37.8
2009,Percentage,Total,,Baden-Wuerttemberg,code08,41.9
2010,Percentage,Total,,Baden-Wuerttemberg,code08,42.28
2011,Percentage,Total,,Baden-Wuerttemberg,code08,43.36
2012,Percentage,Total,,Baden-Wuerttemberg,code08,44.92
2013,Percentage,Total,,Baden-Wuerttemberg,code08,47.29
2014,Percentage,Total,,Baden-Wuerttemberg,code08,47.35
2015,Percentage,Total,,Baden-Wuerttemberg,code08,48.37
2016,Percentage,Total,,Baden-Wuerttemberg,code08,50.18
2017,Percentage,Total,,Baden-Wuerttemberg,code08,50.69
2018,Percentage,Total,,Baden-Wuerttemberg,code08,51.4
2019,Percentage,Total,,Baden-Wuerttemberg,code08,53.92
2020,Percentage,Total,,Baden-Wuerttemberg,code08,54.11
2005,Percentage,Total,Female,Baden-Wuerttemberg,code08,33.1
2006,Percentage,Total,Female,Baden-Wuerttemberg,code08,34.2
2007,Percentage,Total,Female,Baden-Wuerttemberg,code08,35.7
2008,Percentage,Total,Female,Baden-Wuerttemberg,code08,36.0
2009,Percentage,Total,Female,Baden-Wuerttemberg,code08,41.0
2010,Percentage,Total,Female,Baden-Wuerttemberg,code08,40.7
2011,Percentage,Total,Female,Baden-Wuerttemberg,code08,41.9
2012,Percentage,Total,Female,Baden-Wuerttemberg,code08,44.4
2013,Percentage,Total,Female,Baden-Wuerttemberg,code08,46.1
2014,Percentage,Total,Female,Baden-Wuerttemberg,code08,48.1
2015,Percentage,Total,Female,Baden-Wuerttemberg,code08,49.6
2016,Percentage,Total,Female,Baden-Wuerttemberg,code08,50.9
2017,Percentage,Total,Female,Baden-Wuerttemberg,code08,51.5
