Year,Units,Display,Region,GeoCode,Value
1995,Percentage,Time series,Germany,,21.0
1996,Percentage,Time series,Germany,,21.0
1997,Percentage,Time series,Germany,,21.0
1998,Percentage,Time series,Germany,,22.0
1999,Percentage,Time series,Germany,,19.0
2000,Percentage,Time series,Germany,,21.0
2001,Percentage,Time series,Germany,,21.0
2002,Percentage,Time series,Germany,,22.0
2003,Percentage,Time series,Germany,,23.0
2004,Percentage,Time series,Germany,,23.0
2005,Percentage,Time series,Germany,,22.0
2006,Percentage,Time series,Germany,,23.0
2007,Percentage,Time series,Germany,,23.0
2008,Percentage,Time series,Germany,,23.0
2009,Percentage,Time series,Germany,,23.0
2010,Percentage,Time series,Germany,,22.0
2011,Percentage,Time series,Germany,,22.0
2012,Percentage,Time series,Germany,,23.0
2013,Percentage,Time series,Germany,,22.0
2014,Percentage,Time series,Germany,,22.0
2015,Percentage,Time series,Germany,,22.0
2016,Percentage,Time series,Germany,,21.0
2017,Percentage,Time series,Germany,,20.0
2018,Percentage,Time series,Germany,,20.0
2019,Percentage,Time series,Germany,,19.0
2020,Percentage,Time series,Germany,,18.0
2020,Percentage,Target,Germany,,10.0
2030,Percentage,Target,Germany,,10.0
2006,Percentage,Time series,Baden-Wuerttemberg,code08,28.0
2007,Percentage,Time series,Baden-Wuerttemberg,code08,28.0
2008,Percentage,Time series,Baden-Wuerttemberg,code08,28.0
2009,Percentage,Time series,Baden-Wuerttemberg,code08,27.0
2010,Percentage,Time series,Baden-Wuerttemberg,code08,27.0
2011,Percentage,Time series,Baden-Wuerttemberg,code08,27.0
2012,Percentage,Time series,Baden-Wuerttemberg,code08,27.0
2013,Percentage,Time series,Baden-Wuerttemberg,code08,27.0
2014,Percentage,Time series,Baden-Wuerttemberg,code08,27.0
2015,Percentage,Time series,Baden-Wuerttemberg,code08,26.0
2016,Percentage,Time series,Baden-Wuerttemberg,code08,26.0
2017,Percentage,Time series,Baden-Wuerttemberg,code08,25.0
2018,Percentage,Time series,Baden-Wuerttemberg,code08,24.0
2019,Percentage,Time series,Baden-Wuerttemberg,code08,23.0
2020,Percentage,Time series,Baden-Wuerttemberg,code08,23.0
2006,Percentage,Time series,Bavaria,code09,23.0
2007,Percentage,Time series,Bavaria,code09,24.0
2008,Percentage,Time series,Bavaria,code09,25.0
2009,Percentage,Time series,Bavaria,code09,25.0
2010,Percentage,Time series,Bavaria,code09,26.0
2011,Percentage,Time series,Bavaria,code09,25.0
2012,Percentage,Time series,Bavaria,code09,25.0
2013,Percentage,Time series,Bavaria,code09,25.0
2014,Percentage,Time series,Bavaria,code09,25.0
2015,Percentage,Time series,Bavaria,code09,24.0
2016,Percentage,Time series,Bavaria,code09,24.0
2017,Percentage,Time series,Bavaria,code09,24.0
2018,Percentage,Time series,Bavaria,code09,24.0
2019,Percentage,Time series,Bavaria,code09,23.0
2020,Percentage,Time series,Bavaria,code09,22.0
2006,Percentage,Time series,Berlin,code11,14.0
2007,Percentage,Time series,Berlin,code11,14.0
2008,Percentage,Time series,Berlin,code11,16.0
2009,Percentage,Time series,Berlin,code11,15.0
2010,Percentage,Time series,Berlin,code11,14.0
2011,Percentage,Time series,Berlin,code11,15.0
2012,Percentage,Time series,Berlin,code11,15.0
2013,Percentage,Time series,Berlin,code11,14.0
2014,Percentage,Time series,Berlin,code11,14.0
2015,Percentage,Time series,Berlin,code11,14.0
2016,Percentage,Time series,Berlin,code11,12.0
2017,Percentage,Time series,Berlin,code11,10.0
2018,Percentage,Time series,Berlin,code11,10.0
2019,Percentage,Time series,Berlin,code11,10.0
2020,Percentage,Time series,Berlin,code11,10.0
2006,Percentage,Time series,Brandenburg,code12,6.0
2007,Percentage,Time series,Brandenburg,code12,7.0
2008,Percentage,Time series,Brandenburg,code12,7.0
2009,Percentage,Time series,Brandenburg,code12,7.0
2010,Percentage,Time series,Brandenburg,code12,7.0
2011,Percentage,Time series,Brandenburg,code12,6.0
2012,Percentage,Time series,Brandenburg,code12,7.0
2013,Percentage,Time series,Brandenburg,code12,5.0
2014,Percentage,Time series,Brandenburg,code12,7.0
