Year,Units,Federal state,GeoCode,Value
2008,Percentage,,,21.2
2009,Percentage,,,24.0
2010,Percentage,,,25.9
2011,Percentage,,,28.0
2012,Percentage,,,30.0
2013,Percentage,,,32.6
2014,Percentage,,,34.8
2015,Percentage,,,36.9
2016,Percentage,,,38.8
2017,Percentage,,,40.4
2018,Percentage,,,42.1
2019,Percentage,,,43.5
2008,Percentage,Baden-Wuerttemberg,code08,20.6
2009,Percentage,,,24.6
2010,Percentage,,,27.4
2011,Percentage,,,30.5
2012,Percentage,,,33.4
2013,Percentage,,,36.7
2014,Percentage,,,39.2
2015,Percentage,,,40.9
2016,Percentage,,,42.2
2017,Percentage,,,43.7
2018,Percentage,,,45.4
2019,Percentage,,,46.7
2008,Percentage,,,27.4
2009,Percentage,,,30.7
2010,Percentage,,,33.5
2011,Percentage,,,36.5
2012,Percentage,,,38.6
2013,Percentage,,,40.5
2014,Percentage,,,42.2
2015,Percentage,,,44.8
2016,Percentage,,,46.5
2017,Percentage,,,47.7
2018,Percentage,,,49.3
2019,Percentage,,,50.7
2008,Percentage,,,27.5
2009,Percentage,,,30.7
2010,Percentage,,,32.2
2011,Percentage,,,33.7
2012,Percentage,,,35.5
2013,Percentage,,,37.9
2014,Percentage,,,39.7
2015,Percentage,,,40.9
2016,Percentage,,,42.9
2017,Percentage,,,43.8
2018,Percentage,,,45.2
2019,Percentage,,,46.1
2008,Percentage,,,25.5
2009,Percentage,,,27.3
2010,Percentage,,,28.1
2011,Percentage,,,30.2
2012,Percentage,,,32.4
2013,Percentage,,,34.8
2014,Percentage,,,36.6
2015,Percentage,,,40.0
2016,Percentage,,,42.5
2017,Percentage,,,44.9
2018,Percentage,,,45.8
2019,Percentage,,,48.4
2008,Percentage,,,18.3
2009,Percentage,,,19.9
2010,Percentage,,,19.3
2011,Percentage,,,21.7
2012,Percentage,,,22.9
2013,Percentage,,,25.8
2014,Percentage,,,27.1
2015,Percentage,,,28.1
2016,Percentage,,,31.0
2017,Percentage,,,33.4
2018,Percentage,,,35.0
2019,Percentage,,,36.3
2008,Percentage,,,22.9
2009,Percentage,,,27.4
2010,Percentage,,,28.5
2011,Percentage,,,31.1
2012,Percentage,,,33.7
2013,Percentage,,,36.2
2014,Percentage,,,38.0
2015,Percentage,,,40.2
2016,Percentage,,,41.0
2017,Percentage,,,42.5
2018,Percentage,,,44.8
2019,Percentage,,,45.9
2008,Percentage,,,20.3
2009,Percentage,,,23.3
2010,Percentage,,,25.3
2011,Percentage,,,27.2
2012,Percentage,,,29.4
2013,Percentage,,,30.8
2014,Percentage,,,33.1
2015,Percentage,,,34.4
2016,Percentage,,,35.8
2017,Percentage,,,37.3
2018,Percentage,,,38.5
2019,Percentage,,,38.9
2008,Percentage,,,20.5
2009,Percentage,,,23.3
2010,Percentage,,,23.5
2011,Percentage,,,21.3
2012,Percentage,,,25.3
2013,Percentage,,,26.5
2014,Percentage,,,28.0
2015,Percentage,,,31.2
2016,Percentage,,,35.2
2017,Percentage,,,36.5
2018,Percentage,,,38.4
2019,Percentage,,,39.9
2008,Percentage,,,19.5
2009,Percentage,,,21.6
2010,Percentage,,,23.2
2011,Percentage,,,25.3
2012,Percentage,,,26.9
2013,Percentage,,,29.3
2014,Percentage,,,31.5
2015,Percentage,,,34.5
2016,Percentage,,,36.7
2017,Percentage,,,38.4
2018,Percentage,,,40.6
2019,Percentage,,,42.9
2008,Percentage,,,16.8
2009,Percentage,,,18.5
2010,Percentage,,,19.7
2011,Percentage,,,20.9
2012,Percentage,,,22.0
2013,Percentage,,,25.6
2014,Percentage,,,27.5
2015,Percentage,,,29.4
2016,Percentage,,,31.7
2017,Percentage,,,33.4
2018,Percentage,,,35.3
2019,Percentage,,,36.7
2008,Percentage,,,17.5
2009,Percentage,,,20.1
2010,Percentage,,,21.7
2011,Percentage,,,23.6
2012,Percentage,,,25.0
2013,Percentage,,,27.3
2014,Percentage,,,30.3
2015,Percentage,,,31.9
2016,Percentage,,,33.5
2017,Percentage,,,35.0
2018,Percentage,,,37.0
2019,Percentage,,,39.4
2008,Percentage,,,12.9
2009,Percentage,,,14.6
2010,Percentage,,,16.4
2011,Percentage,,,18.8
2012,Percentage,,,19.1
2013,Percentage,,,21.0
2014,Percentage,,,24.1
2015,Percentage,,,25.3
2016,Percentage,,,28.5
2017,Percentage,,,28.4
2018,Percentage,,,29.2
2019,Percentage,,,32.2
2008,Percentage,,,26.9
2009,Percentage,,,31.0
2010,Percentage,,,33.0
2011,Percentage,,,36.0
2012,Percentage,,,38.5
2013,Percentage,,,41.1
2014,Percentage,,,44.7
2015,Percentage,,,47.5
2016,Percentage,,,49.1
2017,Percentage,,,51.9
2018,Percentage,,,53.5
2019,Percentage,,,54.8
2008,Percentage,,,17.6
2009,Percentage,,,17.9
2010,Percentage,,,20.1
2011,Percentage,,,22.2
2012,Percentage,,,23.2
2013,Percentage,,,25.9
2014,Percentage,,,28.6
2015,Percentage,,,31.7
2016,Percentage,,,35.1
2017,Percentage,,,36.8
2018,Percentage,,,38.8
2019,Percentage,,,40.1
2008,Percentage,,,18.4
2009,Percentage,,,19.9
2010,Percentage,,,22.0
2011,Percentage,,,24.0
2012,Percentage,,,24.7
2013,Percentage,,,27.0
2014,Percentage,,,29.4
2015,Percentage,,,30.8
2016,Percentage,,,33.4
2017,Percentage,,,34.6
2018,Percentage,,,36.5
2019,Percentage,,,37.9
2008,Percentage,,,25.0
2009,Percentage,,,28.4
2010,Percentage,,,29.4
2011,Percentage,,,32.1
2012,Percentage,,,34.6
2013,Percentage,,,37.0
2014,Percentage,,,40.6
2015,Percentage,,,43.3
2016,Percentage,,,45.2
2017,Percentage,,,47.6
2018,Percentage,,,49.1
2019,Percentage,,,50.2
