Year,Units,Display,Region,GeoCode,Value
2008,Percentage,Time series,Germany,,81.8
2009,Percentage,Time series,Germany,,82.5
2010,Percentage,Time series,Germany,,81.7
2011,Percentage,Time series,Germany,,82.0
2012,Percentage,Time series,Germany,,81.0
2013,Percentage,Time series,Germany,,81.4
2014,Percentage,Time series,Germany,,81.8
2015,Percentage,Time series,Germany,,81.0
2016,Percentage,Time series,Germany,,81.8
2017,Percentage,Time series,Germany,,83.1
2018,Percentage,Time series,Germany,,82.7
2019,Percentage,Time series,Germany,,84.2
2008,Percentage,Target,Germany,,100.0
2009,Percentage,Target,Germany,,100.0
2010,Percentage,Target,Germany,,100.0
2011,Percentage,Target,Germany,,100.0
2012,Percentage,Target,Germany,,100.0
2013,Percentage,Target,Germany,,100.0
2014,Percentage,Target,Germany,,100.0
2015,Percentage,Target,Germany,,100.0
2016,Percentage,Target,Germany,,100.0
2017,Percentage,Target,Germany,,100.0
2018,Percentage,Target,Germany,,100.0
2019,Percentage,Target,Germany,,100.0
2008,Percentage,Time series,Baden-Wuerttemberg,code08,89.2
2009,Percentage,Time series,Baden-Wuerttemberg,code08,88.3
2010,Percentage,Time series,Baden-Wuerttemberg,code08,89.2
2011,Percentage,Time series,Baden-Wuerttemberg,code08,89.9
2012,Percentage,Time series,Baden-Wuerttemberg,code08,90.8
2013,Percentage,Time series,Baden-Wuerttemberg,code08,90.8
2014,Percentage,Time series,Baden-Wuerttemberg,code08,91.7
2015,Percentage,Time series,Baden-Wuerttemberg,code08,90.8
2016,Percentage,Time series,Baden-Wuerttemberg,code08,91.7
2017,Percentage,Time series,Baden-Wuerttemberg,code08,92.5
2018,Percentage,Time series,Baden-Wuerttemberg,code08,93.3
2008,Percentage,Time series,Bavaria,code09,93.6
2009,Percentage,Time series,Bavaria,code09,94.5
2010,Percentage,Time series,Bavaria,code09,94.9
2011,Percentage,Time series,Bavaria,code09,93.6
2012,Percentage,Time series,Bavaria,code09,94.0
2013,Percentage,Time series,Bavaria,code09,94.1
2014,Percentage,Time series,Bavaria,code09,94.5
2015,Percentage,Time series,Bavaria,code09,94.4
2016,Percentage,Time series,Bavaria,code09,94.5
2017,Percentage,Time series,Bavaria,code09,92.7
2018,Percentage,Time series,Bavaria,code09,93.6
2008,Percentage,Time series,Brandenburg,code12,84.7
2009,Percentage,Time series,Brandenburg,code12,85.7
2010,Percentage,Time series,Brandenburg,code12,84.7
2011,Percentage,Time series,Brandenburg,code12,83.7
2012,Percentage,Time series,Brandenburg,code12,83.7
2013,Percentage,Time series,Brandenburg,code12,84.7
2014,Percentage,Time series,Brandenburg,code12,86.7
2015,Percentage,Time series,Brandenburg,code12,85.7
2016,Percentage,Time series,Brandenburg,code12,85.7
2017,Percentage,Time series,Brandenburg,code12,86.7
2018,Percentage,Time series,Brandenburg,code12,88.8
2008,Percentage,Time series,Hesse,code06,87.9
2009,Percentage,Time series,Hesse,code06,86.4
2010,Percentage,Time series,Hesse,code06,83.6
2011,Percentage,Time series,Hesse,code06,87.0
2012,Percentage,Time series,Hesse,code06,82.3
2013,Percentage,Time series,Hesse,code06,80.9
