Year,Units,Federal state,GeoCodes,Value
2005,Percentage,,,7.1
2006,Percentage,,,8.4
2007,Percentage,,,10.2
2008,Percentage,,,10.1
2009,Percentage,,,10.7
2010,Percentage,,,11.4
2011,Percentage,,,12.5
2012,Percentage,,,13.6
2013,Percentage,,,13.8
2014,Percentage,,,14.3
2015,Percentage,,,15.2
2016,Percentage,,,14.9
2017,Percentage,,,16.0
2018,Percentage,,,16.8
2019,Percentage,,,17.7
2020,Percentage,,,19.7
2021,Percentage,,,19.2
2005,Percentage,Baden-Wuerttemberg,code08,6.9
2006,Percentage,Baden-Wuerttemberg,code08,8.4
2007,Percentage,Baden-Wuerttemberg,code08,9.7
2008,Percentage,Baden-Wuerttemberg,code08,9.4
2009,Percentage,Baden-Wuerttemberg,code08,9.9
2010,Percentage,Baden-Wuerttemberg,code08,11.3
2011,Percentage,Baden-Wuerttemberg,code08,11.4
2012,Percentage,Baden-Wuerttemberg,code08,12.5
2013,Percentage,Baden-Wuerttemberg,code08,12.6
2014,Percentage,Baden-Wuerttemberg,code08,13.1
2015,Percentage,Baden-Wuerttemberg,code08,13.0
2016,Percentage,Baden-Wuerttemberg,code08,13.4
2017,Percentage,Baden-Wuerttemberg,code08,13.7
2018,Percentage,Baden-Wuerttemberg,code08,15.6
2019,Percentage,Baden-Wuerttemberg,code08,15.6
2005,Percentage,Bavaria,code09,8.6
2006,Percentage,Bavaria,code09,9.5
2007,Percentage,Bavaria,code09,10.5
2008,Percentage,Bavaria,code09,10.1
2009,Percentage,Bavaria,code09,10.8
2010,Percentage,Bavaria,code09,14.6
2011,Percentage,Bavaria,code09,15.5
2012,Percentage,Bavaria,code09,17.8
2013,Percentage,Bavaria,code09,18.3
2014,Percentage,Bavaria,code09,18.4
2015,Percentage,Bavaria,code09,19.1
2016,Percentage,Bavaria,code09,19.8
2017,Percentage,Bavaria,code09,20.3
2018,Percentage,Bavaria,code09,21.2
2019,Percentage,Bavaria,code09,20.7
2005,Percentage,Berlin,code11,1.2
2006,Percentage,Berlin,code11,1.9
2007,Percentage,Berlin,code11,2.3
2008,Percentage,Berlin,code11,1.6
2009,Percentage,Berlin,code11,2.2
2010,Percentage,Berlin,code11,2.8
2011,Percentage,Berlin,code11,3.3
2012,Percentage,Berlin,code11,3.4
2013,Percentage,Berlin,code11,3.6
2014,Percentage,Berlin,code11,3.4
2015,Percentage,Berlin,code11,3.6
2016,Percentage,Berlin,code11,3.5
2017,Percentage,Berlin,code11,3.7
2018,Percentage,Berlin,code11,4.1
2005,Percentage,Brandenburg,code12,9.8
2006,Percentage,Brandenburg,code12,16.3
2007,Percentage,Brandenburg,code12,21.0
2008,Percentage,Brandenburg,code12,21.0
2009,Percentage,Brandenburg,code12,22.3
2010,Percentage,Brandenburg,code12,23.6
2011,Percentage,Brandenburg,code12,26.2
2012,Percentage,Brandenburg,code12,22.2
2013,Percentage,Brandenburg,code12,22.9
2014,Percentage,Brandenburg,code12,23.7
2015,Percentage,Brandenburg,code12,25.9
2016,Percentage,Brandenburg,code12,24.4
2017,Percentage,Brandenburg,code12,27.2
2018,Percentage,Brandenburg,code12,28.0
2005,Percentage,Bremen,code04,2.1
2006,Percentage,Bremen,code04,2.6
2007,Percentage,Bremen,code04,2.7
2008,Percentage,Bremen,code04,2.7
2009,Percentage,Bremen,code04,2.9
2010,Percentage,Bremen,code04,3.2
2011,Percentage,Bremen,code04,3.5
2012,Percentage,Bremen,code04,3.7
2013,Percentage,Bremen,code04,4.3
2014,Percentage,Bremen,code04,5.1
2015,Percentage,Bremen,code04,4.6
2016,Percentage,Bremen,code04,4.2
2017,Percentage,Bremen,code04,4.5
2018,Percentage,Bremen,code04,5.2
2019,Percentage,Bremen,code04,5.4
2005,Percentage,Hamburg,code02,2.3
2006,Percentage,Hamburg,code02,3.9
2007,Percentage,Hamburg,code02,4.6
2008,Percentage,Hamburg,code02,4.1
2009,Percentage,Hamburg,code02,4.6
2010,Percentage,Hamburg,code02,4.2
2011,Percentage,Hamburg,code02,4.5
2012,Percentage,Hamburg,code02,4.6
2013,Percentage,Hamburg,code02,4.5
2014,Percentage,Hamburg,code02,4.9
2015,Percentage,Hamburg,code02,4.9
2016,Percentage,Hamburg,code02,4.7
2017,Percentage,Hamburg,code02,4.9
2018,Percentage,Hamburg,code02,5.6
2005,Percentage,Hesse,code06,4.3
2006,Percentage,Hesse,code06,5.3
2007,Percentage,Hesse,code06,6.1
2008,Percentage,Hesse,code06,5.8
2009,Percentage,Hesse,code06,6.3
2010,Percentage,Hesse,code06,7.5
2011,Percentage,Hesse,code06,8.1
2012,Percentage,Hesse,code06,8.3
2013,Percentage,Hesse,code06,8.7
2014,Percentage,Hesse,code06,8.7
2015,Percentage,Hesse,code06,9.5
2016,Percentage,Hesse,code06,9.6
2017,Percentage,Hesse,code06,10.2
2018,Percentage,Hesse,code06,11.5
2019,Percentage,Hesse,code06,11.5
2006,Percentage,Lower Saxony,code03,8.7
2008,Percentage,Lower Saxony,code03,10.9
2009,Percentage,Lower Saxony,code03,11.4
2010,Percentage,Lower Saxony,code03,12.3
2011,Percentage,Lower Saxony,code03,13.8
2012,Percentage,Lower Saxony,code03,15.6
2013,Percentage,Lower Saxony,code03,15.6
