Year,Units,Federal state,GeoCode,Value
2005,Percentage,,,10.3
2006,Percentage,,,11.7
2007,Percentage,,,14.3
2008,Percentage,,,15.2
2009,Percentage,,,16.5
2010,Percentage,,,17.1
2011,Percentage,,,20.4
2012,Percentage,,,23.6
2013,Percentage,,,25.1
2014,Percentage,,,27.3
2015,Percentage,,,31.4
2016,Percentage,,,31.6
2017,Percentage,,,36.0
2018,Percentage,,,37.6
2019,Percentage,,,41.9
2020,Percentage,,,45.2
2021,Percentage,,,41.1
2005,Percentage,Baden-Wuerttemberg,code08,8.77
2006,Percentage,,,10.26
2007,Percentage,,,11.48
2008,Percentage,,,11.63
2009,Percentage,,,12.33
2010,Percentage,,,13.95
2011,Percentage,,,15.47
2012,Percentage,,,18.3
2013,Percentage,,,19.12
2014,Percentage,,,19.99
2015,Percentage,,,20.14
2016,Percentage,,,21.37
2017,Percentage,,,22.72
2018,Percentage,,,23.01
2019,Percentage,,,24.59
2020,Percentage,,,27.39
2021,Percentage,,,
2005,Percentage,,,18.45
2006,Percentage,,,20.05
2007,Percentage,,,22.14
2008,Percentage,,,22.64
2009,Percentage,,,24.65
2010,Percentage,,,26.42
2011,Percentage,,,27.67
2012,Percentage,,,35.25
2013,Percentage,,,37.1
2014,Percentage,,,38.37
2015,Percentage,,,40.33
2016,Percentage,,,42.26
2017,Percentage,,,44.36
2018,Percentage,,,42.29
2019,Percentage,,,45.78
2020,Percentage,,,
2021,Percentage,,,
2005,Percentage,,,0.74
2006,Percentage,,,0.81
2007,Percentage,,,0.83
2008,Percentage,,,
2009,Percentage,,,
2010,Percentage,,,2.35
2011,Percentage,,,2.39
2012,Percentage,,,1.7
2013,Percentage,,,1.89
2014,Percentage,,,2.17
2015,Percentage,,,2.47
2016,Percentage,,,2.47
2017,Percentage,,,2.72
2018,Percentage,,,2.7
2019,Percentage,,,2.73
2020,Percentage,,,
2021,Percentage,,,
2005,Percentage,,,22.21
2006,Percentage,,,28.18
2007,Percentage,,,38.86
2008,Percentage,,,37.65
2009,Percentage,,,40.99
2010,Percentage,,,48.26
2011,Percentage,,,54.48
2012,Percentage,,,55.82
2013,Percentage,,,59.34
2014,Percentage,,,62.18
2015,Percentage,,,68.97
2016,Percentage,,,69.93
2017,Percentage,,,82.26
2018,Percentage,,,84.48
2019,Percentage,,,94.96
2020,Percentage,,,
2021,Percentage,,,
2005,Percentage,,,3.91
2006,Percentage,,,4.2
2007,Percentage,,,5.02
2008,Percentage,,,5.8
2009,Percentage,,,6.07
2010,Percentage,,,7.1
2011,Percentage,,,8.8
2012,Percentage,,,9.94
2013,Percentage,,,13.16
2014,Percentage,,,13.92
2015,Percentage,,,15.08
2016,Percentage,,,13.94
2017,Percentage,,,14.8
2018,Percentage,,,14.72
2019,Percentage,,,16.28
2020,Percentage,,,17.97
2021,Percentage,,,
2005,Percentage,,,1.32
2006,Percentage,,,2.74
2007,Percentage,,,2.68
2008,Percentage,,,2.73
2009,Percentage,,,2.91
2010,Percentage,,,2.63
2011,Percentage,,,2.82
2012,Percentage,,,2.94
2013,Percentage,,,2.81
2014,Percentage,,,3.68
2015,Percentage,,,3.83
2016,Percentage,,,3.3
2017,Percentage,,,3.73
2018,Percentage,,,4.51
2019,Percentage,,,4.82
2020,Percentage,,,4.88
2021,Percentage,,,
2005,Percentage,,,3.79
2006,Percentage,,,4.22
2007,Percentage,,,5.4
2008,Percentage,,,5.53
2009,Percentage,,,6.71
2010,Percentage,,,7.86
2011,Percentage,,,9.68
2012,Percentage,,,11.07
2013,Percentage,,,12.52
2014,Percentage,,,14.18
2015,Percentage,,,16.38
2016,Percentage,,,16.9
2017,Percentage,,,19.47
2018,Percentage,,,22.3
2019,Percentage,,,22.72
2020,Percentage,,,24.81
2021,Percentage,,,
2005,Percentage,,,
2006,Percentage,,,
2007,Percentage,,,
2008,Percentage,,,
2009,Percentage,,,
2010,Percentage,,,56.67
2011,Percentage,,,72.87
2012,Percentage,,,90.19
2013,Percentage,,,61.07
2014,Percentage,,,63.33
2015,Percentage,,,
2016,Percentage,,,
2017,Percentage,,,
2018,Percentage,,,
2019,Percentage,,,
2020,Percentage,,,
2021,Percentage,,,
2005,Percentage,,,
2006,Percentage,,,18.63
2007,Percentage,,,
2008,Percentage,,,26.25
2009,Percentage,,,26.6
2010,Percentage,,,27.23
2011,Percentage,,,33.84
2012,Percentage,,,39.51
2013,Percentage,,,40.3
2014,Percentage,,,44.83
2015,Percentage,,,54.28
2016,Percentage,,,55.72
2017,Percentage,,,68.11
2018,Percentage,,,72.53
2019,Percentage,,,82.9
2020,Percentage,,,92.04
2021,Percentage,,,
2005,Percentage,,,5.7
2006,Percentage,,,5.85
2007,Percentage,,,6.14
2008,Percentage,,,4.71
2009,Percentage,,,8.03
2010,Percentage,,,7.88
2011,Percentage,,,8.9
2012,Percentage,,,10.84
2013,Percentage,,,10.15
2014,Percentage,,,10.47
2015,Percentage,,,12.58
2016,Percentage,,,12.29
2017,Percentage,,,13.75
2018,Percentage,,,14.18
2019,Percentage,,,16.7
2020,Percentage,,,
2021,Percentage,,,
2005,Percentage,,,7.91
2006,Percentage,,,10.16
2007,Percentage,,,12.58
2008,Percentage,,,13.02
2009,Percentage,,,14.52
2010,Percentage,,,15.29
2011,Percentage,,,16.81
2012,Percentage,,,20.59
2013,Percentage,,,23.1
2014,Percentage,,,25.43
2015,Percentage,,,30.73
2016,Percentage,,,31.23
2017,Percentage,,,33.94
2018,Percentage,,,34.94
2019,Percentage,,,38.12
2020,Percentage,,,41.25
2021,Percentage,,,
2005,Percentage,,,3.23
2006,Percentage,,,4.22
2007,Percentage,,,5.3
2008,Percentage,,,4.66
2009,Percentage,,,4.92
2010,Percentage,,,5.66
2011,Percentage,,,6.53
2012,Percentage,,,6.6
2013,Percentage,,,7.61
2014,Percentage,,,10.22
2015,Percentage,,,13.08
2016,Percentage,,,
2017,Percentage,,,
2018,Percentage,,,
2019,Percentage,,,
2020,Percentage,,,
2021,Percentage,,,
2005,Percentage,,,7.87
2006,Percentage,,,8.51
2007,Percentage,,,11.53
2008,Percentage,,,11.99
2009,Percentage,,,12.92
2010,Percentage,,,12.71
2011,Percentage,,,15.29
2012,Percentage,,,16.08
2013,Percentage,,,17.28
2014,Percentage,,,18.28
2015,Percentage,,,20.7
2016,Percentage,,,19.76
2017,Percentage,,,21.37
2018,Percentage,,,21.2
2019,Percentage,,,22.78
2020,Percentage,,,
2021,Percentage,,,
2005,Percentage,,,18.95
2006,Percentage,,,22.89
2007,Percentage,,,34.35
2008,Percentage,,,38.97
2009,Percentage,,,42.29
2010,Percentage,,,41.95
2011,Percentage,,,49.6
2012,Percentage,,,53.88
2013,Percentage,,,57.08
2014,Percentage,,,62.21
2015,Percentage,,,71.93
2016,Percentage,,,61.92
2017,Percentage,,,70.98
2018,Percentage,,,67.77
2019,Percentage,,,76.22
2020,Percentage,,,
2021,Percentage,,,
2005,Percentage,,,22.72
2006,Percentage,,,23.45
2007,Percentage,,,31.16
2008,Percentage,,,36.45
2009,Percentage,,,39.21
2010,Percentage,,,42.21
2011,Percentage,,,54.15
2012,Percentage,,,61.87
2013,Percentage,,,62.9
2014,Percentage,,,75.77
2015,Percentage,,,110.66
2016,Percentage,,,121.4
2017,Percentage,,,147.89
2018,Percentage,,,137.57
2019,Percentage,,,150.06
2020,Percentage,,,155.68
2021,Percentage,,,
2005,Percentage,,,11.08
2006,Percentage,,,12.29
2007,Percentage,,,17.81
2008,Percentage,,,17.97
2009,Percentage,,,19.81
2010,Percentage,,,19.53
2011,Percentage,,,23.57
2012,Percentage,,,25.62
2013,Percentage,,,28.91
2014,Percentage,,,30.13
2015,Percentage,,,33.98
2016,Percentage,,,34.26
2017,Percentage,,,39.74
2018,Percentage,,,39.46
2019,Percentage,,,42.44
2020,Percentage,,,
2021,Percentage,,,
