Year,Units,Time series,Value
2010,2010 = 100,Raw material input productivity,100.0
2011,2010 = 100,Raw material input productivity,98.0
2012,2010 = 100,Raw material input productivity,102.0
2013,2010 = 100,Raw material input productivity,102.0
2014,2010 = 100,Raw material input productivity,103.0
2015,2010 = 100,Raw material input productivity,107.0
2016,2010 = 100,Raw material input productivity,106.0
2017,2010 = 100,Raw material input productivity,109.0
2018,2010 = 100,Raw material input productivity,110.0
2019,2010 = 100,Raw material input productivity,113.0
2020,2010 = 100,Raw material input productivity,112.0
2021,2010 = 100,Raw material input productivity,115.0
2030,2010 = 100,Raw material input productivity,
2010,2010 = 100,"Raw material input for consumption, investment and exports",100.0
2011,2010 = 100,"Raw material input for consumption, investment and exports",107.0
2012,2010 = 100,"Raw material input for consumption, investment and exports",103.0
2013,2010 = 100,"Raw material input for consumption, investment and exports",104.0
2014,2010 = 100,"Raw material input for consumption, investment and exports",106.0
2015,2010 = 100,"Raw material input for consumption, investment and exports",105.0
2016,2010 = 100,"Raw material input for consumption, investment and exports",109.0
2017,2010 = 100,"Raw material input for consumption, investment and exports",109.0
2018,2010 = 100,"Raw material input for consumption, investment and exports",111.0
2019,2010 = 100,"Raw material input for consumption, investment and exports",109.0
2020,2010 = 100,"Raw material input for consumption, investment and exports",105.0
2021,2010 = 100,"Raw material input for consumption, investment and exports",107.0
2030,2010 = 100,"Raw material input for consumption, investment and exports",
2010,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",100.0
2011,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",105.0
2012,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",105.0
2013,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",106.0
2014,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",109.0
2015,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",112.0
2016,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",115.0
2017,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",119.0
2018,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",121.0
2019,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",124.0
2020,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",117.0
2021,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",123.0
2030,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",
