Year,Units,Time series,Value
1991,Percentage,Government deficit,-3.19
1992,Percentage,Government deficit,-2.61
1993,Percentage,Government deficit,-3.09
1994,Percentage,Government deficit,-2.52
1995,Percentage,Government deficit,-9.43
1996,Percentage,Government deficit,-3.57
1997,Percentage,Government deficit,-2.94
1998,Percentage,Government deficit,-2.57
1999,Percentage,Government deficit,-1.72
2000,Percentage,Government deficit,-1.58
2001,Percentage,Government deficit,-3.03
2002,Percentage,Government deficit,-3.87
2003,Percentage,Government deficit,-3.7
2004,Percentage,Government deficit,-3.33
2005,Percentage,Government deficit,-3.32
2006,Percentage,Government deficit,-1.65
2007,Percentage,Government deficit,0.26
2008,Percentage,Government deficit,-0.12
2009,Percentage,Government deficit,-3.15
2010,Percentage,Government deficit,-4.38
2011,Percentage,Government deficit,-0.88
2012,Percentage,Government deficit,0.01
2013,Percentage,Government deficit,0.04
2014,Percentage,Government deficit,0.58
2015,Percentage,Government deficit,0.96
2016,Percentage,Government deficit,1.16
2017,Percentage,Government deficit,1.34
2018,Percentage,Government deficit,1.91
2019,Percentage,Government deficit,1.47
2020,Percentage,Government deficit,-4.31
2021,Percentage,Government deficit,-3.71
2005,Percentage,Structural deficit,-2.2
2006,Percentage,Structural deficit,-1.8
2007,Percentage,Structural deficit,-0.7
2008,Percentage,Structural deficit,-0.6
2009,Percentage,Structural deficit,-0.5
2010,Percentage,Structural deficit,-2.1
2011,Percentage,Structural deficit,-1.2
2012,Percentage,Structural deficit,0.1
2013,Percentage,Structural deficit,0.6
2014,Percentage,Structural deficit,0.9
2015,Percentage,Structural deficit,1.1
2016,Percentage,Structural deficit,1.0
2017,Percentage,Structural deficit,0.7
2018,Percentage,Structural deficit,1.3
2019,Percentage,Structural deficit,0.8
2020,Percentage,Structural deficit,-2.0
2021,Percentage,Structural deficit,-2.1
1992,Percentage,Change of gross domestic product (price-adjusted),1.92
1993,Percentage,Change of gross domestic product (price-adjusted),-0.98
1994,Percentage,Change of gross domestic product (price-adjusted),2.39
1995,Percentage,Change of gross domestic product (price-adjusted),1.54
1996,Percentage,Change of gross domestic product (price-adjusted),0.81
1997,Percentage,Change of gross domestic product (price-adjusted),1.79
1998,Percentage,Change of gross domestic product (price-adjusted),2.01
1999,Percentage,Change of gross domestic product (price-adjusted),1.89
2000,Percentage,Change of gross domestic product (price-adjusted),2.91
2001,Percentage,Change of gross domestic product (price-adjusted),1.68
2002,Percentage,Change of gross domestic product (price-adjusted),-0.2
2003,Percentage,Change of gross domestic product (price-adjusted),-0.7
2004,Percentage,Change of gross domestic product (price-adjusted),1.18
2005,Percentage,Change of gross domestic product (price-adjusted),0.73
2006,Percentage,Change of gross domestic product (price-adjusted),3.82
2007,Percentage,Change of gross domestic product (price-adjusted),2.98
2008,Percentage,Change of gross domestic product (price-adjusted),0.96
2009,Percentage,Change of gross domestic product (price-adjusted),-5.69
2010,Percentage,Change of gross domestic product (price-adjusted),4.18
2011,Percentage,Change of gross domestic product (price-adjusted),3.93
2012,Percentage,Change of gross domestic product (price-adjusted),0.42
2013,Percentage,Change of gross domestic product (price-adjusted),0.44
2014,Percentage,Change of gross domestic product (price-adjusted),2.21
2015,Percentage,Change of gross domestic product (price-adjusted),1.49
2016,Percentage,Change of gross domestic product (price-adjusted),2.23
2017,Percentage,Change of gross domestic product (price-adjusted),2.68
2018,Percentage,Change of gross domestic product (price-adjusted),1.09
2019,Percentage,Change of gross domestic product (price-adjusted),1.06
2020,Percentage,Change of gross domestic product (price-adjusted),-4.57
2021,Percentage,Change of gross domestic product (price-adjusted),2.89
