Year,Units,Federal state,GeoCode,Value
1991,Percentage,,,39.0
1992,Percentage,,,41.5
1993,Percentage,,,45.1
1994,Percentage,,,47.5
1995,Percentage,,,54.9
1996,Percentage,,,57.8
1997,Percentage,,,58.9
1998,Percentage,,,59.5
1999,Percentage,,,60.4
2000,Percentage,,,59.3
2001,Percentage,,,58.2
2002,Percentage,,,59.9
2003,Percentage,,,63.5
2004,Percentage,,,65.2
2005,Percentage,,,67.5
2006,Percentage,,,66.9
2007,Percentage,,,64.2
2008,Percentage,,,65.7
2009,Percentage,,,73.2
2010,Percentage,,,82.0
2011,Percentage,,,79.4
2012,Percentage,,,80.7
2013,Percentage,,,78.3
2014,Percentage,,,75.3
2015,Percentage,,,71.9
2016,Percentage,,,69.0
2017,Percentage,,,64.6
2018,Percentage,,,61.2
2019,Percentage,,,58.9
2020,Percentage,,,68.7
2021,Percentage,,,69.3
1991,Percentage,Lower Saxony,code03,20.8
1992,Percentage,,,20.7
1993,Percentage,,,20.3
1994,Percentage,,,21.1
1995,Percentage,,,22.1
1996,Percentage,,,23.0
1997,Percentage,,,23.5
1998,Percentage,,,23.6
1999,Percentage,,,23.5
2000,Percentage,,,22.8
2001,Percentage,,,22.6
2002,Percentage,,,24.1
2003,Percentage,,,25.6
2004,Percentage,,,26.7
2005,Percentage,,,27.7
2006,Percentage,,,27.3
2007,Percentage,,,26.4
2008,Percentage,,,25.9
2009,Percentage,,,27.8
2010,Percentage,,,29.7
2011,Percentage,,,29.0
2012,Percentage,,,28.0
2013,Percentage,,,27.8
2014,Percentage,,,26.9
2015,Percentage,,,28.0
2016,Percentage,,,26.0
2017,Percentage,,,25.3
2018,Percentage,,,24.1
2019,Percentage,,,22.9
2020,Percentage,,,26.1
2021,Percentage,,,24.9
1991,Percentage,,,19.8
1992,Percentage,,,19.4
1993,Percentage,,,19.3
1994,Percentage,,,19.8
1995,Percentage,,,19.6
1996,Percentage,,,20.8
1997,Percentage,,,21.1
1998,Percentage,,,21.6
1999,Percentage,,,22.1
2000,Percentage,,,22.2
2001,Percentage,,,22.1
2002,Percentage,,,23.1
2003,Percentage,,,24.1
2004,Percentage,,,25.0
2005,Percentage,,,26.1
2006,Percentage,,,26.4
2007,Percentage,,,25.0
2008,Percentage,,,24.3
2009,Percentage,,,26.9
2010,Percentage,,,39.6
2011,Percentage,,,39.5
2012,Percentage,,,44.3
2013,Percentage,,,40.4
2014,Percentage,,,38.6
2015,Percentage,,,37.7
2016,Percentage,,,36.3
2017,Percentage,,,33.5
2018,Percentage,,,31.2
2019,Percentage,,,31.0
2020,Percentage,,,33.1
2021,Percentage,,,31.6
1991,Percentage,,,19.6
1992,Percentage,,,19.8
1993,Percentage,,,19.8
1994,Percentage,,,20.0
1995,Percentage,,,20.3
1996,Percentage,,,20.9
1997,Percentage,,,21.6
1998,Percentage,,,22.7
