Year,Units,Region,GeoCode,Value
1991,Percentage,Germany,,24.9
1992,Percentage,Germany,,25.2
1993,Percentage,Germany,,24.1
1994,Percentage,Germany,,24.1
1995,Percentage,Germany,,23.5
1996,Percentage,Germany,,23.0
1997,Percentage,Germany,,22.7
1998,Percentage,Germany,,22.8
1999,Percentage,Germany,,23.0
2000,Percentage,Germany,,23.1
2001,Percentage,Germany,,21.8
2002,Percentage,Germany,,20.1
2003,Percentage,Germany,,19.5
2004,Percentage,Germany,,19.1
2005,Percentage,Germany,,19.1
2006,Percentage,Germany,,19.8
2007,Percentage,Germany,,20.1
2008,Percentage,Germany,,20.3
2009,Percentage,Germany,,19.3
2010,Percentage,Germany,,19.5
2011,Percentage,Germany,,20.4
2012,Percentage,Germany,,20.3
2013,Percentage,Germany,,19.9
2014,Percentage,Germany,,20.0
2015,Percentage,Germany,,20.0
2016,Percentage,Germany,,20.3
2017,Percentage,Germany,,20.4
2018,Percentage,Germany,,21.1
2019,Percentage,Germany,,21.7
2020,Percentage,Germany,,22.0
1991,Percentage,Baden-Wuerttemberg,code08,24.7
1992,Percentage,Baden-Wuerttemberg,code08,24.3
1993,Percentage,Baden-Wuerttemberg,code08,23.1
1994,Percentage,Baden-Wuerttemberg,code08,21.8
1995,Percentage,Baden-Wuerttemberg,code08,20.4
1996,Percentage,Baden-Wuerttemberg,code08,20.3
1997,Percentage,Baden-Wuerttemberg,code08,19.6
1998,Percentage,Baden-Wuerttemberg,code08,20.1
1999,Percentage,Baden-Wuerttemberg,code08,20.3
2000,Percentage,Baden-Wuerttemberg,code08,21.2
2001,Percentage,Baden-Wuerttemberg,code08,21.6
2002,Percentage,Baden-Wuerttemberg,code08,20.5
2003,Percentage,Baden-Wuerttemberg,code08,19.3
2004,Percentage,Baden-Wuerttemberg,code08,19.8
2005,Percentage,Baden-Wuerttemberg,code08,19.2
2006,Percentage,Baden-Wuerttemberg,code08,20.2
2007,Percentage,Baden-Wuerttemberg,code08,20.4
2008,Percentage,Baden-Wuerttemberg,code08,21.2
2009,Percentage,Baden-Wuerttemberg,code08,20.6
2010,Percentage,Baden-Wuerttemberg,code08,19.8
2011,Percentage,Baden-Wuerttemberg,code08,20.6
2012,Percentage,Baden-Wuerttemberg,code08,21.7
2013,Percentage,Baden-Wuerttemberg,code08,20.9
2014,Percentage,Baden-Wuerttemberg,code08,20.5
2015,Percentage,Baden-Wuerttemberg,code08,20.8
2016,Percentage,Baden-Wuerttemberg,code08,21.0
2017,Percentage,Baden-Wuerttemberg,code08,21.9
1991,Percentage,Bavaria,code09,28.1
1992,Percentage,Bavaria,code09,27.4
1993,Percentage,Bavaria,code09,24.6
1994,Percentage,Bavaria,code09,25.3
1995,Percentage,Bavaria,code09,24.8
1996,Percentage,Bavaria,code09,24.4
1997,Percentage,Bavaria,code09,22.9
1998,Percentage,Bavaria,code09,23.7
1999,Percentage,Bavaria,code09,23.5
2000,Percentage,Bavaria,code09,24.3
2001,Percentage,Bavaria,code09,23.0
2002,Percentage,Bavaria,code09,21.7
2003,Percentage,Bavaria,code09,22.4
2004,Percentage,Bavaria,code09,21.3
2005,Percentage,Bavaria,code09,20.4
2006,Percentage,Bavaria,code09,23.7
2007,Percentage,Bavaria,code09,22.9
2008,Percentage,Bavaria,code09,23.2
2009,Percentage,Bavaria,code09,21.5
2010,Percentage,Bavaria,code09,21.6
2011,Percentage,Bavaria,code09,23.2
2012,Percentage,Bavaria,code09,22.9
2013,Percentage,Bavaria,code09,22.7
2014,Percentage,Bavaria,code09,23.0
2015,Percentage,Bavaria,code09,23.1
2016,Percentage,Bavaria,code09,23.0
2017,Percentage,Bavaria,code09,23.6
1991,Percentage,Berlin,code11,22.5
1992,Percentage,Berlin,code11,23.0
1993,Percentage,Berlin,code11,21.9
