Year,Units,Federal state,GeoCode,Value
1991,Percentage,,,24.891
1992,Percentage,,,25.201
1993,Percentage,,,24.056
1994,Percentage,,,24.141
1995,Percentage,,,23.539
1996,Percentage,,,23.027
1997,Percentage,,,22.651
1998,Percentage,,,22.798
1999,Percentage,,,23.039
2000,Percentage,,,23.114
2001,Percentage,,,21.778
2002,Percentage,,,20.122
2003,Percentage,,,19.523
2004,Percentage,,,19.091
2005,Percentage,,,19.077
2006,Percentage,,,19.803
2007,Percentage,,,20.057
2008,Percentage,,,20.303
2009,Percentage,,,19.268
2010,Percentage,,,19.543
2011,Percentage,,,20.371
2012,Percentage,,,20.321
2013,Percentage,,,19.901
2014,Percentage,,,20.04
2015,Percentage,,,20.02
2016,Percentage,,,20.298
2017,Percentage,,,20.411
2018,Percentage,,,21.065
2019,Percentage,,,21.374
2020,Percentage,,,21.617
2021,Percentage,,,21.762
1991,Percentage,Baden-Wuerttemberg,code08,24.71
1992,Percentage,,,24.33
1993,Percentage,,,23.07
1994,Percentage,,,21.77
1995,Percentage,,,20.41
1996,Percentage,,,20.32
1997,Percentage,,,19.56
1998,Percentage,,,20.07
1999,Percentage,,,20.33
2000,Percentage,,,21.21
2001,Percentage,,,21.57
2002,Percentage,,,20.47
2003,Percentage,,,19.27
2004,Percentage,,,19.84
2005,Percentage,,,19.23
2006,Percentage,,,20.17
2007,Percentage,,,20.37
2008,Percentage,,,21.17
2009,Percentage,,,20.64
2010,Percentage,,,19.83
2011,Percentage,,,20.63
2012,Percentage,,,21.71
2013,Percentage,,,20.89
2014,Percentage,,,20.53
2015,Percentage,,,20.81
2016,Percentage,,,20.98
2017,Percentage,,,21.85
2018,Percentage,,,22.9
2019,Percentage,,,23.44
2020,Percentage,,,
2021,Percentage,,,
1991,Percentage,,,28.11
1992,Percentage,,,27.4
1993,Percentage,,,24.58
1994,Percentage,,,25.28
1995,Percentage,,,24.78
1996,Percentage,,,24.41
1997,Percentage,,,22.89
1998,Percentage,,,23.71
1999,Percentage,,,23.51
2000,Percentage,,,24.27
2001,Percentage,,,23.04
2002,Percentage,,,21.68
2003,Percentage,,,22.35
2004,Percentage,,,21.33
2005,Percentage,,,20.43
2006,Percentage,,,23.7
2007,Percentage,,,22.94
2008,Percentage,,,23.15
2009,Percentage,,,21.52
2010,Percentage,,,21.6
2011,Percentage,,,23.16
2012,Percentage,,,22.92
2013,Percentage,,,22.66
2014,Percentage,,,23.02
2015,Percentage,,,23.14
2016,Percentage,,,22.95
2017,Percentage,,,23.51
2018,Percentage,,,24.38
2019,Percentage,,,24.48
2020,Percentage,,,
2021,Percentage,,,
1991,Percentage,,,22.48
1992,Percentage,,,23.05
1993,Percentage,,,21.86
1994,Percentage,,,20.36
1995,Percentage,,,20.46
1996,Percentage,,,24.5
1997,Percentage,,,28.1
1998,Percentage,,,22.95
1999,Percentage,,,22.32
2000,Percentage,,,20.85
2001,Percentage,,,19.1
2002,Percentage,,,16.37
2003,Percentage,,,14.58
2004,Percentage,,,15.74
2005,Percentage,,,17.68
2006,Percentage,,,17.27
2007,Percentage,,,17.79
2008,Percentage,,,17.26
2009,Percentage,,,16.8
2010,Percentage,,,17.02
2011,Percentage,,,16.36
2012,Percentage,,,18.61
2013,Percentage,,,18.28
2014,Percentage,,,19.31
2015,Percentage,,,19.77
2016,Percentage,,,19.35
2017,Percentage,,,18.49
2018,Percentage,,,19.09
2019,Percentage,,,17.96
2020,Percentage,,,
2021,Percentage,,,
1991,Percentage,,,41.35
