Year,Units,Value
1991,Percentage,2.4
1992,Percentage,2.28
1993,Percentage,2.21
1994,Percentage,2.13
1995,Percentage,2.13
1996,Percentage,2.15
1997,Percentage,2.18
1998,Percentage,2.25
1999,Percentage,2.33
2000,Percentage,2.39
2001,Percentage,2.38
2002,Percentage,2.41
2003,Percentage,2.44
2004,Percentage,2.4
2005,Percentage,2.4
2006,Percentage,2.43
2007,Percentage,2.42
2008,Percentage,2.57
2009,Percentage,2.69
2010,Percentage,2.68
2011,Percentage,2.75
2012,Percentage,2.82
2013,Percentage,2.78
2014,Percentage,2.82
2015,Percentage,2.88
2016,Percentage,2.88
2017,Percentage,2.99
2018,Percentage,3.05
2019,Percentage,3.11
2020,Percentage,3.09
2021,Percentage,3.08
2022,Percentage,3.07
2025,Percentage,
