Year,Units,Time series,Value
2/2015,Percentage,All wired technologies,
1/2016,Percentage,All wired technologies,
2/2016,Percentage,All wired technologies,
1/2017,Percentage,All wired technologies,
2/2017,Percentage,All wired technologies,
1/2018,Percentage,All wired technologies,
2/2018,Percentage,All wired technologies,27.3
1/2019,Percentage,All wired technologies,34.1
2/2019,Percentage,All wired technologies,43.2
1/2020,Percentage,All wired technologies,55.9
2/2020,Percentage,All wired technologies,59.2
1/2021,Percentage,All wired technologies,62.1
2/2015,Percentage,Fully fibre-optic networks (FTTB/H),6.7
1/2016,Percentage,Fully fibre-optic networks (FTTB/H),7.1
2/2016,Percentage,Fully fibre-optic networks (FTTB/H),7.1
1/2017,Percentage,Fully fibre-optic networks (FTTB/H),7.3
2/2017,Percentage,Fully fibre-optic networks (FTTB/H),8.0
1/2018,Percentage,Fully fibre-optic networks (FTTB/H),8.5
2/2018,Percentage,Fully fibre-optic networks (FTTB/H),9.0
1/2019,Percentage,Fully fibre-optic networks (FTTB/H),10.5
2/2019,Percentage,Fully fibre-optic networks (FTTB/H),11.8
1/2020,Percentage,Fully fibre-optic networks (FTTB/H),13.8
2/2020,Percentage,Fully fibre-optic networks (FTTB/H),14.5
1/2021,Percentage,Fully fibre-optic networks (FTTB/H),15.4
2/2015,Percentage,Cable television (CATV),
1/2016,Percentage,Cable television (CATV),
2/2016,Percentage,Cable television (CATV),
1/2017,Percentage,Cable television (CATV),
2/2017,Percentage,Cable television (CATV),
1/2018,Percentage,Cable television (CATV),
2/2018,Percentage,Cable television (CATV),23.7
1/2019,Percentage,Cable television (CATV),29.3
2/2019,Percentage,Cable television (CATV),37.8
1/2020,Percentage,Cable television (CATV),50.2
2/2020,Percentage,Cable television (CATV),53.5
1/2021,Percentage,Cable television (CATV),56.5
