Year,Units,Series,Federal state,GeoCode,Value
2005,1 000,Employees in EMAS organisations,,,961.0
2006,1 000,Employees in EMAS organisations,,,926.0
2007,1 000,Employees in EMAS organisations,,,860.0
2008,1 000,Employees in EMAS organisations,,,840.0
2009,1 000,Employees in EMAS organisations,,,803.0
2010,1 000,Employees in EMAS organisations,,,781.0
2011,1 000,Employees in EMAS organisations,,,765.0
2012,1 000,Employees in EMAS organisations,,,773.0
2013,1 000,Employees in EMAS organisations,,,788.0
2014,1 000,Employees in EMAS organisations,,,785.0
2015,1 000,Employees in EMAS organisations,,,801.0
2016,1 000,Employees in EMAS organisations,,,842.0
2017,1 000,Employees in EMAS organisations,,,985.0
2018,1 000,Employees in EMAS organisations,,,929.0
2019,1 000,Employees in EMAS organisations,,,988.0
2020,1 000,Employees in EMAS organisations,,,860.0
2021,1 000,Employees in EMAS organisations,,,911.0
2005,Number,Locations of organisation registered with EMAS,,,1958.0
2006,Number,Locations of organisation registered with EMAS,,,1985.0
2007,Number,Locations of organisation registered with EMAS,,,1956.0
2008,Number,Locations of organisation registered with EMAS,,,1917.0
2009,Number,Locations of organisation registered with EMAS,,,1906.0
2010,Number,Locations of organisation registered with EMAS,,,1913.0
2011,Number,Locations of organisation registered with EMAS,,,1909.0
2012,Number,Locations of organisation registered with EMAS,,,1828.0
2013,Number,Locations of organisation registered with EMAS,,,1862.0
2014,Number,Locations of organisation registered with EMAS,,,1906.0
2015,Number,Locations of organisation registered with EMAS,,,2004.0
2016,Number,Locations of organisation registered with EMAS,,,2073.0
2017,Number,Locations of organisation registered with EMAS,,,2182.0
2018,Number,Locations of organisation registered with EMAS,,,2167.0
2019,Number,Locations of organisation registered with EMAS,,,2176.0
2020,Number,Locations of organisation registered with EMAS,,,2184.0
2021,Number,Locations of organisation registered with EMAS,,,2290.0
2005,Number,Locations of organisation registered with EMAS,Baden-Wuerttemberg,code08,
2006,Number,Locations of organisation registered with EMAS,,,
2007,Number,Locations of organisation registered with EMAS,,,
2008,Number,Locations of organisation registered with EMAS,,,
2009,Number,Locations of organisation registered with EMAS,,,
2010,Number,Locations of organisation registered with EMAS,,,493.0
2011,Number,Locations of organisation registered with EMAS,,,498.0
2012,Number,Locations of organisation registered with EMAS,,,508.0
2013,Number,Locations of organisation registered with EMAS,,,522.0
2014,Number,Locations of organisation registered with EMAS,,,538.0
2015,Number,Locations of organisation registered with EMAS,,,578.0
2016,Number,Locations of organisation registered with EMAS,,,582.0
2017,Number,Locations of organisation registered with EMAS,,,574.0
2018,Number,Locations of organisation registered with EMAS,,,591.0
2019,Number,Locations of organisation registered with EMAS,,,594.0
2020,Number,Locations of organisation registered with EMAS,,,597.0
2021,Number,Locations of organisation registered with EMAS,,,667.0
2005,Number,Locations of organisation registered with EMAS,,,
2006,Number,Locations of organisation registered with EMAS,,,
2007,Number,Locations of organisation registered with EMAS,,,
2008,Number,Locations of organisation registered with EMAS,,,
2009,Number,Locations of organisation registered with EMAS,,,
2010,Number,Locations of organisation registered with EMAS,,,385.0
2011,Number,Locations of organisation registered with EMAS,,,391.0
2012,Number,Locations of organisation registered with EMAS,,,388.0
2013,Number,Locations of organisation registered with EMAS,,,391.0
2014,Number,Locations of organisation registered with EMAS,,,421.0
2015,Number,Locations of organisation registered with EMAS,,,466.0
2016,Number,Locations of organisation registered with EMAS,,,475.0
2017,Number,Locations of organisation registered with EMAS,,,524.0
2018,Number,Locations of organisation registered with EMAS,,,502.0
2019,Number,Locations of organisation registered with EMAS,,,478.0
2020,Number,Locations of organisation registered with EMAS,,,502.0
2021,Number,Locations of organisation registered with EMAS,,,638.0
2005,Number,Locations of organisation registered with EMAS,,,
2006,Number,Locations of organisation registered with EMAS,,,
2007,Number,Locations of organisation registered with EMAS,,,
2008,Number,Locations of organisation registered with EMAS,,,
2009,Number,Locations of organisation registered with EMAS,,,
2010,Number,Locations of organisation registered with EMAS,,,53.0
2011,Number,Locations of organisation registered with EMAS,,,53.0
2012,Number,Locations of organisation registered with EMAS,,,48.0
2013,Number,Locations of organisation registered with EMAS,,,56.0
2014,Number,Locations of organisation registered with EMAS,,,50.0
2015,Number,Locations of organisation registered with EMAS,,,52.0
2016,Number,Locations of organisation registered with EMAS,,,57.0
2017,Number,Locations of organisation registered with EMAS,,,61.0
2018,Number,Locations of organisation registered with EMAS,,,63.0
2019,Number,Locations of organisation registered with EMAS,,,65.0
2020,Number,Locations of organisation registered with EMAS,,,68.0
2021,Number,Locations of organisation registered with EMAS,,,66.0
2005,Number,Locations of organisation registered with EMAS,,,
2006,Number,Locations of organisation registered with EMAS,,,
2007,Number,Locations of organisation registered with EMAS,,,
2008,Number,Locations of organisation registered with EMAS,,,
2009,Number,Locations of organisation registered with EMAS,,,
2010,Number,Locations of organisation registered with EMAS,,,52.0
2011,Number,Locations of organisation registered with EMAS,,,47.0
2012,Number,Locations of organisation registered with EMAS,,,36.0
2013,Number,Locations of organisation registered with EMAS,,,40.0
2014,Number,Locations of organisation registered with EMAS,,,39.0
2015,Number,Locations of organisation registered with EMAS,,,39.0
2016,Number,Locations of organisation registered with EMAS,,,47.0
2017,Number,Locations of organisation registered with EMAS,,,60.0
2018,Number,Locations of organisation registered with EMAS,,,61.0
2019,Number,Locations of organisation registered with EMAS,,,64.0
2020,Number,Locations of organisation registered with EMAS,,,64.0
2021,Number,Locations of organisation registered with EMAS,,,57.0
2005,Number,Locations of organisation registered with EMAS,,,
