Year,Units,Series,Value
2015,Percentage,Anteil nachhaltiger Vergabeverfahren,
2016,Percentage,Anteil nachhaltiger Vergabeverfahren,
2017,Percentage,Anteil nachhaltiger Vergabeverfahren,
2018,Percentage,Anteil nachhaltiger Vergabeverfahren,
2019,Percentage,Anteil nachhaltiger Vergabeverfahren,
2020,Percentage,Anteil nachhaltiger Vergabeverfahren,
2021,Percentage,Anteil nachhaltiger Vergabeverfahren,12.6
2022,Percentage,Anteil nachhaltiger Vergabeverfahren,12.8
2024,Percentage,Anteil nachhaltiger Vergabeverfahren,
2023,Percentage,Anteil nachhaltiger Vergabeverfahren,
2026,Percentage,Anteil nachhaltiger Vergabeverfahren,
2015,2015 = 100,CO₂ emissions of commercially available vehicles in the public sector,100.0
2016,2015 = 100,CO₂ emissions of commercially available vehicles in the public sector,99.954
2017,2015 = 100,CO₂ emissions of commercially available vehicles in the public sector,99.679
2018,2015 = 100,CO₂ emissions of commercially available vehicles in the public sector,99.854
2019,2015 = 100,CO₂ emissions of commercially available vehicles in the public sector,100.427
2020,2015 = 100,CO₂ emissions of commercially available vehicles in the public sector,101.93
2021,2015 = 100,CO₂ emissions of commercially available vehicles in the public sector,102.998
2022,2015 = 100,CO₂ emissions of commercially available vehicles in the public sector,101.606
2024,2015 = 100,CO₂ emissions of commercially available vehicles in the public sector,
2023,2015 = 100,CO₂ emissions of commercially available vehicles in the public sector,
2026,2015 = 100,CO₂ emissions of commercially available vehicles in the public sector,
2015,Percentage,XXXNachhaltige Textilbeschaffung,
2016,Percentage,XXXNachhaltige Textilbeschaffung,
2017,Percentage,XXXNachhaltige Textilbeschaffung,
2018,Percentage,XXXNachhaltige Textilbeschaffung,
2019,Percentage,XXXNachhaltige Textilbeschaffung,
2020,Percentage,XXXNachhaltige Textilbeschaffung,
2021,Percentage,XXXNachhaltige Textilbeschaffung,
2022,Percentage,XXXNachhaltige Textilbeschaffung,
2024,Percentage,XXXNachhaltige Textilbeschaffung,99.999
2023,Percentage,XXXNachhaltige Textilbeschaffung,
2026,Percentage,XXXNachhaltige Textilbeschaffung,
