Year,Units,Sub index,Value
1990,2030 = 100,Settlements sub-index,76.571
1991,2030 = 100,Settlements sub-index,72.271
1992,2030 = 100,Settlements sub-index,71.288
1993,2030 = 100,Settlements sub-index,73.097
1994,2030 = 100,Settlements sub-index,76.604
1995,2030 = 100,Settlements sub-index,73.082
1996,2030 = 100,Settlements sub-index,76.048
1997,2030 = 100,Settlements sub-index,72.785
1998,2030 = 100,Settlements sub-index,70.136
1999,2030 = 100,Settlements sub-index,74.822
2000,2030 = 100,Settlements sub-index,71.864
2001,2030 = 100,Settlements sub-index,71.115
2002,2030 = 100,Settlements sub-index,69.744
2003,2030 = 100,Settlements sub-index,69.809
2004,2030 = 100,Settlements sub-index,72.457
2005,2030 = 100,Settlements sub-index,70.991
2006,2030 = 100,Settlements sub-index,70.212
2007,2030 = 100,Settlements sub-index,70.06
2008,2030 = 100,Settlements sub-index,70.34
2009,2030 = 100,Settlements sub-index,67.219
2010,2030 = 100,Settlements sub-index,67.973
2011,2030 = 100,Settlements sub-index,66.195
2012,2030 = 100,Settlements sub-index,70.411
2013,2030 = 100,Settlements sub-index,67.814
2014,2030 = 100,Settlements sub-index,67.006
2015,2030 = 100,Settlements sub-index,69.773
2016,2030 = 100,Settlements sub-index,70.502
1990,2030 = 100,Farmland sub-index,81.624
1991,2030 = 100,Farmland sub-index,77.149
1992,2030 = 100,Farmland sub-index,76.79
1993,2030 = 100,Farmland sub-index,77.784
1994,2030 = 100,Farmland sub-index,80.786
1995,2030 = 100,Farmland sub-index,70.721
1996,2030 = 100,Farmland sub-index,77.961
1997,2030 = 100,Farmland sub-index,76.731
1998,2030 = 100,Farmland sub-index,70.613
1999,2030 = 100,Farmland sub-index,75.525
2000,2030 = 100,Farmland sub-index,73.416
2001,2030 = 100,Farmland sub-index,74.815
2002,2030 = 100,Farmland sub-index,74.307
2003,2030 = 100,Farmland sub-index,78.529
2004,2030 = 100,Farmland sub-index,79.188
2005,2030 = 100,Farmland sub-index,79.598
2006,2030 = 100,Farmland sub-index,78.604
2007,2030 = 100,Farmland sub-index,75.276
2008,2030 = 100,Farmland sub-index,81.808
2009,2030 = 100,Farmland sub-index,73.269
2010,2030 = 100,Farmland sub-index,79.536
2011,2030 = 100,Farmland sub-index,80.187
2012,2030 = 100,Farmland sub-index,86.987
2013,2030 = 100,Farmland sub-index,87.071
2014,2030 = 100,Farmland sub-index,84.293
2015,2030 = 100,Farmland sub-index,90.834
2016,2030 = 100,Farmland sub-index,87.507
1990,2030 = 100,Inland waters sub-index,80.76
1991,2030 = 100,Inland waters sub-index,73.731
1992,2030 = 100,Inland waters sub-index,68.36
1993,2030 = 100,Inland waters sub-index,75.142
1994,2030 = 100,Inland waters sub-index,71.935
1995,2030 = 100,Inland waters sub-index,75.152
1996,2030 = 100,Inland waters sub-index,85.294
1997,2030 = 100,Inland waters sub-index,77.357
1998,2030 = 100,Inland waters sub-index,75.51
1999,2030 = 100,Inland waters sub-index,74.896
2000,2030 = 100,Inland waters sub-index,69.777
2001,2030 = 100,Inland waters sub-index,69.65
2002,2030 = 100,Inland waters sub-index,63.368
2003,2030 = 100,Inland waters sub-index,59.161
2004,2030 = 100,Inland waters sub-index,66.464
2005,2030 = 100,Inland waters sub-index,66.47
2006,2030 = 100,Inland waters sub-index,65.079
2007,2030 = 100,Inland waters sub-index,66.038
2008,2030 = 100,Inland waters sub-index,63.192
2009,2030 = 100,Inland waters sub-index,63.825
2010,2030 = 100,Inland waters sub-index,66.525
2011,2030 = 100,Inland waters sub-index,70.467
2012,2030 = 100,Inland waters sub-index,70.703
2013,2030 = 100,Inland waters sub-index,67.524
2014,2030 = 100,Inland waters sub-index,69.622
2015,2030 = 100,Inland waters sub-index,72.21
2016,2030 = 100,Inland waters sub-index,75.503
1990,2030 = 100,Coasts and seas sub-index,74.22
1991,2030 = 100,Coasts and seas sub-index,71.237
1992,2030 = 100,Coasts and seas sub-index,70.112
1993,2030 = 100,Coasts and seas sub-index,70.86
1994,2030 = 100,Coasts and seas sub-index,75.741
1995,2030 = 100,Coasts and seas sub-index,73.848
1996,2030 = 100,Coasts and seas sub-index,75.223
1997,2030 = 100,Coasts and seas sub-index,71.121
1998,2030 = 100,Coasts and seas sub-index,69.144
1999,2030 = 100,Coasts and seas sub-index,75.183
2000,2030 = 100,Coasts and seas sub-index,71.696
2001,2030 = 100,Coasts and seas sub-index,68.57
2002,2030 = 100,Coasts and seas sub-index,68.841
2003,2030 = 100,Coasts and seas sub-index,67.827
2004,2030 = 100,Coasts and seas sub-index,70.668
2005,2030 = 100,Coasts and seas sub-index,67.966
2006,2030 = 100,Coasts and seas sub-index,68.001
2007,2030 = 100,Coasts and seas sub-index,68.025
2008,2030 = 100,Coasts and seas sub-index,65.792
2009,2030 = 100,Coasts and seas sub-index,64.74
2010,2030 = 100,Coasts and seas sub-index,62.36
2011,2030 = 100,Coasts and seas sub-index,57.594
2012,2030 = 100,Coasts and seas sub-index,62.05
2013,2030 = 100,Coasts and seas sub-index,57.559
2014,2030 = 100,Coasts and seas sub-index,56.985
2015,2030 = 100,Coasts and seas sub-index,58.049
2016,2030 = 100,Coasts and seas sub-index,60.492
