Year,Units,Display,Value
2000,Percentage,Time series,79.0
2001,Percentage,Time series,77.1
2002,Percentage,Time series,76.4
2003,Percentage,Time series,72.3
2004,Percentage,Time series,74.7
2005,Percentage,Time series,76.9
2006,Percentage,Time series,75.4
2007,Percentage,Time series,74.7
2008,Percentage,Time series,71.7
2009,Percentage,Time series,72.4
2010,Percentage,Time series,73.2
2011,Percentage,Time series,68.3
2012,Percentage,Time series,69.5
2013,Percentage,Time series,70.3
2014,Percentage,Time series,69.0
2015,Percentage,Time series,68.0
2030,Percentage,Target,50.0
