Year,Units,Federal state,GeoCode,Criminal offences,Value
1993,"Per 100,000 inhabitants",,,,8354.095
1994,"Per 100,000 inhabitants",,,,8062.642
1995,"Per 100,000 inhabitants",,,,8211.891
1996,"Per 100,000 inhabitants",,,,8165.843
1997,"Per 100,000 inhabitants",,,,8078.662
1998,"Per 100,000 inhabitants",,,,7923.243
1999,"Per 100,000 inhabitants",,,,7742.636
2000,"Per 100,000 inhabitants",,,,7691.754
2001,"Per 100,000 inhabitants",,,,7811.684
2002,"Per 100,000 inhabitants",,,,7977.821
2003,"Per 100,000 inhabitants",,,,8055.254
2004,"Per 100,000 inhabitants",,,,8137.919
2005,"Per 100,000 inhabitants",,,,7851.874
2006,"Per 100,000 inhabitants",,,,7757.168
2007,"Per 100,000 inhabitants",,,,7751.507
2008,"Per 100,000 inhabitants",,,,7556.892
2009,"Per 100,000 inhabitants",,,,7509.802
2010,"Per 100,000 inhabitants",,,,7384.652
2011,"Per 100,000 inhabitants",,,,7467.62
2012,"Per 100,000 inhabitants",,,,7465.7
2013,"Per 100,000 inhabitants",,,,7403.6
2014,"Per 100,000 inhabitants",,,,7530.3
2015,"Per 100,000 inhabitants",,,,7796.6
2016,"Per 100,000 inhabitants",,,,7754.759
2017,"Per 100,000 inhabitants",,,,6982.4
2018,"Per 100,000 inhabitants",,,,6710.185
2019,"Per 100,000 inhabitants",,,,6548.365
2020,"Per 100,000 inhabitants",,,,6385.513
2021,"Per 100,000 inhabitants",,,,6070.42
1993,"Per 100,000 inhabitants",Baden-Wuerttemberg,code08,,6123.163
1994,"Per 100,000 inhabitants",,,,5729.469
1995,"Per 100,000 inhabitants",,,,5675.863
1996,"Per 100,000 inhabitants",,,,5763.052
1997,"Per 100,000 inhabitants",,,,5822.949
1998,"Per 100,000 inhabitants",,,,5611.139
1999,"Per 100,000 inhabitants",,,,5508.378
2000,"Per 100,000 inhabitants",,,,5458.928
2001,"Per 100,000 inhabitants",,,,5551.18
2002,"Per 100,000 inhabitants",,,,5730.474
2003,"Per 100,000 inhabitants",,,,5547.172
2004,"Per 100,000 inhabitants",,,,6220.291
2005,"Per 100,000 inhabitants",,,,5883.028
2006,"Per 100,000 inhabitants",,,,5794.919
2007,"Per 100,000 inhabitants",,,,5815.19
2008,"Per 100,000 inhabitants",,,,5628.669
2009,"Per 100,000 inhabitants",,,,5515.582
2010,"Per 100,000 inhabitants",,,,5457.241
2011,"Per 100,000 inhabitants",,,,5562.282
2012,"Per 100,000 inhabitants",,,,5455.051
2013,"Per 100,000 inhabitants",,,,5450.5
2014,"Per 100,000 inhabitants",,,,5592.3
2015,"Per 100,000 inhabitants",,,,5760.805
2016,"Per 100,000 inhabitants",,,,5598.845
2017,"Per 100,000 inhabitants",,,,5295.459
2018,"Per 100,000 inhabitants",,,,5190.519
2019,"Per 100,000 inhabitants",,,,5183.715
2020,"Per 100,000 inhabitants",,,,4851.774
2021,"Per 100,000 inhabitants",,,,4380.16
1993,"Per 100,000 inhabitants",,,,5698.936
1994,"Per 100,000 inhabitants",,,,5755.526
1995,"Per 100,000 inhabitants",,,,5659.312
1996,"Per 100,000 inhabitants",,,,5792.028
1997,"Per 100,000 inhabitants",,,,5840.88
1998,"Per 100,000 inhabitants",,,,5729.465
1999,"Per 100,000 inhabitants",,,,5712.341
2000,"Per 100,000 inhabitants",,,,5654.849
2001,"Per 100,000 inhabitants",,,,5789.82
2002,"Per 100,000 inhabitants",,,,5671.818
2003,"Per 100,000 inhabitants",,,,5754.791
2004,"Per 100,000 inhabitants",,,,5801.895
2005,"Per 100,000 inhabitants",,,,5532.8
2006,"Per 100,000 inhabitants",,,,5455.26
2007,"Per 100,000 inhabitants",,,,5392.219
2008,"Per 100,000 inhabitants",,,,5199.994
2009,"Per 100,000 inhabitants",,,,5130.388
2010,"Per 100,000 inhabitants",,,,5017.309
2011,"Per 100,000 inhabitants",,,,5031.799
2012,"Per 100,000 inhabitants",,,,5037.742
2013,"Per 100,000 inhabitants",,,,5073.1
2014,"Per 100,000 inhabitants",,,,5163.9
2015,"Per 100,000 inhabitants",,,,6350.003
2016,"Per 100,000 inhabitants",,,,6870.962
2017,"Per 100,000 inhabitants",,,,4868.333
2018,"Per 100,000 inhabitants",,,,4888.905
2019,"Per 100,000 inhabitants",,,,4614.796
2020,"Per 100,000 inhabitants",,,,4527.656
2021,"Per 100,000 inhabitants",,,,4137.538
1993,"Per 100,000 inhabitants",,,,16398.424
1994,"Per 100,000 inhabitants",,,,15960.884
1995,"Per 100,000 inhabitants",,,,16889.159
1996,"Per 100,000 inhabitants",,,,17332.703
1997,"Per 100,000 inhabitants",,,,17392.654
1998,"Per 100,000 inhabitants",,,,17432.102
1999,"Per 100,000 inhabitants",,,,17205.543
2000,"Per 100,000 inhabitants",,,,16849.007
2001,"Per 100,000 inhabitants",,,,17384.991
2002,"Per 100,000 inhabitants",,,,17758.228
2003,"Per 100,000 inhabitants",,,,17173.732
2004,"Per 100,000 inhabitants",,,,16500.48
2005,"Per 100,000 inhabitants",,,,15613.554
2006,"Per 100,000 inhabitants",,,,15240.121
2007,"Per 100,000 inhabitants",,,,15220.406
2008,"Per 100,000 inhabitants",,,,14796.442
2009,"Per 100,000 inhabitants",,,,15188.32
2010,"Per 100,000 inhabitants",,,,14526.391
2011,"Per 100,000 inhabitants",,,,15080.318
2012,"Per 100,000 inhabitants",,,,14891.663
2013,"Per 100,000 inhabitants",,,,14907.6
2014,"Per 100,000 inhabitants",,,,15873.3
2015,"Per 100,000 inhabitants",,,,16414.259
2016,"Per 100,000 inhabitants",,,,16160.653
2017,"Per 100,000 inhabitants",,,,14558.371
2018,"Per 100,000 inhabitants",,,,14160.169
2019,"Per 100,000 inhabitants",,,,14086.434
2020,"Per 100,000 inhabitants",,,,13738.745
2021,"Per 100,000 inhabitants",,,,13158.172
1993,"Per 100,000 inhabitants",,,,12918.761
1994,"Per 100,000 inhabitants",,,,12974.273
1995,"Per 100,000 inhabitants",,,,12097.324
1996,"Per 100,000 inhabitants",,,,11742.386
1997,"Per 100,000 inhabitants",,,,11311.745
1998,"Per 100,000 inhabitants",,,,10871.576
1999,"Per 100,000 inhabitants",,,,9785.906
2000,"Per 100,000 inhabitants",,,,9925.197
2001,"Per 100,000 inhabitants",,,,9556.005
2002,"Per 100,000 inhabitants",,,,9511.249
2003,"Per 100,000 inhabitants",,,,9613.121
2004,"Per 100,000 inhabitants",,,,9406.883
2005,"Per 100,000 inhabitants",,,,8974.969
2006,"Per 100,000 inhabitants",,,,8816.103
2007,"Per 100,000 inhabitants",,,,9010.441
2008,"Per 100,000 inhabitants",,,,8364.957
2009,"Per 100,000 inhabitants",,,,8069.819
2010,"Per 100,000 inhabitants",,,,8267.145
2011,"Per 100,000 inhabitants",,,,8031.067
2012,"Per 100,000 inhabitants",,,,7954.818
2013,"Per 100,000 inhabitants",,,,8051.7
2014,"Per 100,000 inhabitants",,,,8004.0
2015,"Per 100,000 inhabitants",,,,7659.634
2016,"Per 100,000 inhabitants",,,,7478.632
2017,"Per 100,000 inhabitants",,,,7015.138
2018,"Per 100,000 inhabitants",,,,6901.966
