Year,Units,display,Value
2006,Number,a) time series,8.0
2007,Number,a) time series,6.0
2008,Number,a) time series,8.0
2009,Number,a) time series,2.0
2010,Number,a) time series,3.0
2011,Number,a) time series,11.0
2012,Number,a) time series,15.0
2013,Number,a) time series,14.0
2014,Number,a) time series,15.0
2015,Number,a) time series,26.0
2016,Number,a) time series,26.0
2017,Number,a) time series,19.0
2018,Number,a) time series,36.0
2019,Number,a) time series,31.0
2006,Number,b) target (min),15.0
2007,Number,b) target (min),15.0
2008,Number,b) target (min),15.0
2009,Number,b) target (min),15.0
2010,Number,b) target (min),15.0
2011,Number,b) target (min),15.0
2012,Number,b) target (min),15.0
2013,Number,b) target (min),15.0
2014,Number,b) target (min),15.0
2015,Number,b) target (min),15.0
2016,Number,b) target (min),15.0
2017,Number,b) target (min),15.0
2018,Number,b) target (min),15.0
2019,Number,b) target (min),15.0
