Year,Units,Federal state,GeoCode,Time series,Value
2005,Number,,,,140519.0
2006,Number,,,,141289.0
2007,Number,,,,136087.0
2008,Number,,,,140832.0
2009,Number,,,,147152.0
2010,Number,,,,153690.0
2011,Number,,,,158557.0
2012,Number,,,,170618.0
2013,Number,,,,185787.0
2014,Number,,,,200349.0
2015,Number,,,,215258.0
2016,Number,,,,230688.0
2017,Number,,,,247435.0
2018,Number,,,,267250.0
2019,Number,,,,285449.0
2020,Number,,,,298149.0
2005,Number,Baden-Wuerttemberg,code08,,
2006,Number,,,,20133.0
2007,Number,,,,19383.0
2008,Number,,,,19840.0
2009,Number,,,,20914.0
2010,Number,,,,21886.0
2011,Number,,,,21857.0
2012,Number,,,,24175.0
2013,Number,,,,26218.0
2014,Number,,,,28199.0
2015,Number,,,,30019.0
2016,Number,,,,32126.0
2017,Number,,,,32564.0
2018,Number,,,,32221.0
2019,Number,,,,31590.0
2020,Number,,,,30143.0
2005,Number,,,,
2006,Number,,,,13978.0
2007,Number,,,,13633.0
2008,Number,,,,14130.0
2009,Number,,,,14747.0
2010,Number,,,,15618.0
2011,Number,,,,16297.0
2012,Number,,,,17742.0
2013,Number,,,,20459.0
2014,Number,,,,22184.0
2015,Number,,,,24310.0
2016,Number,,,,26347.0
2017,Number,,,,30357.0
2018,Number,,,,34357.0
2019,Number,,,,37939.0
2020,Number,,,,42253.0
2005,Number,,,,
2006,Number,,,,9715.0
2007,Number,,,,10005.0
2008,Number,,,,10531.0
2009,Number,,,,10914.0
2010,Number,,,,11647.0
2011,Number,,,,11931.0
2012,Number,,,,12536.0
2013,Number,,,,13498.0
2014,Number,,,,14509.0
2015,Number,,,,15767.0
2016,Number,,,,17179.0
2017,Number,,,,19899.0
2018,Number,,,,22086.0
2019,Number,,,,24341.0
2020,Number,,,,25828.0
2005,Number,,,,
2006,Number,,,,2568.0
2007,Number,,,,2630.0
2008,Number,,,,2675.0
2009,Number,,,,2808.0
2010,Number,,,,2862.0
2011,Number,,,,3045.0
2012,Number,,,,3374.0
2013,Number,,,,3522.0
2014,Number,,,,3754.0
2015,Number,,,,4022.0
2016,Number,,,,4418.0
2017,Number,,,,4947.0
2018,Number,,,,5378.0
2019,Number,,,,5905.0
2020,Number,,,,6244.0
2005,Number,,,,
2006,Number,,,,3789.0
2007,Number,,,,3644.0
2008,Number,,,,3552.0
2009,Number,,,,3467.0
2010,Number,,,,3350.0
2011,Number,,,,3378.0
2012,Number,,,,3430.0
2013,Number,,,,3583.0
2014,Number,,,,3741.0
2015,Number,,,,3855.0
2016,Number,,,,4047.0
2017,Number,,,,4533.0
2018,Number,,,,4716.0
2019,Number,,,,5144.0
2020,Number,,,,5349.0
2005,Number,,,,
2006,Number,,,,5311.0
2007,Number,,,,4970.0
2008,Number,,,,5028.0
2009,Number,,,,5202.0
2010,Number,,,,5384.0
2011,Number,,,,5611.0
2012,Number,,,,5981.0
2013,Number,,,,6189.0
2014,Number,,,,6366.0
2015,Number,,,,6741.0
2016,Number,,,,7205.0
2017,Number,,,,7685.0
2018,Number,,,,8619.0
2019,Number,,,,9058.0
2020,Number,,,,9345.0
2005,Number,,,,
2006,Number,,,,14955.0
2007,Number,,,,13532.0
2008,Number,,,,15441.0
2009,Number,,,,17026.0
2010,Number,,,,18427.0
2011,Number,,,,18524.0
2012,Number,,,,19593.0
2013,Number,,,,21041.0
2014,Number,,,,22324.0
2015,Number,,,,23542.0
2016,Number,,,,24605.0
2017,Number,,,,25754.0
2018,Number,,,,27467.0
2019,Number,,,,28777.0
2020,Number,,,,29788.0
2005,Number,,,,
2006,Number,,,,1194.0
2007,Number,,,,1207.0
2008,Number,,,,1195.0
2009,Number,,,,1291.0
2010,Number,,,,1390.0
2011,Number,,,,1405.0
2012,Number,,,,1442.0
2013,Number,,,,1618.0
2014,Number,,,,1759.0
2015,Number,,,,1972.0
2016,Number,,,,2303.0
2017,Number,,,,2775.0
2018,Number,,,,3115.0
2019,Number,,,,3247.0
2020,Number,,,,3352.0
2005,Number,,,,
2006,Number,,,,10759.0
2007,Number,,,,10237.0
2008,Number,,,,10357.0
2009,Number,,,,10402.0
2010,Number,,,,10444.0
2011,Number,,,,10452.0
2012,Number,,,,11133.0
2013,Number,,,,12109.0
2014,Number,,,,13195.0
2015,Number,,,,14657.0
2016,Number,,,,15932.0
2017,Number,,,,17702.0
2018,Number,,,,19333.0
2019,Number,,,,20687.0
2020,Number,,,,21354.0
2005,Number,,,,
2006,Number,,,,38324.0
2007,Number,,,,35303.0
2008,Number,,,,36388.0
2009,Number,,,,37820.0
2010,Number,,,,38968.0
2011,Number,,,,41572.0
2012,Number,,,,44860.0
2013,Number,,,,48945.0
2014,Number,,,,53164.0
2015,Number,,,,56422.0
2016,Number,,,,60688.0
2017,Number,,,,63089.0
2018,Number,,,,67424.0
2019,Number,,,,72166.0
2020,Number,,,,75112.0
2005,Number,,,,
2006,Number,,,,6488.0
2007,Number,,,,6993.0
2008,Number,,,,7166.0
2009,Number,,,,6992.0
2010,Number,,,,7023.0
2011,Number,,,,6748.0
2012,Number,,,,6820.0
2013,Number,,,,6951.0
2014,Number,,,,7214.0
2015,Number,,,,7575.0
2016,Number,,,,8177.0
2017,Number,,,,8928.0
2018,Number,,,,10194.0
2019,Number,,,,11069.0
2020,Number,,,,11896.0
2005,Number,,,,
2006,Number,,,,1572.0
2007,Number,,,,1573.0
2008,Number,,,,1597.0
2009,Number,,,,1708.0
2010,Number,,,,1959.0
2011,Number,,,,2085.0
2012,Number,,,,2164.0
2013,Number,,,,2246.0
2014,Number,,,,2331.0
2015,Number,,,,2413.0
2016,Number,,,,2419.0
2017,Number,,,,2481.0
2018,Number,,,,2725.0
2019,Number,,,,2961.0
2020,Number,,,,3114.0
2005,Number,,,,
2006,Number,,,,4963.0
2007,Number,,,,5139.0
2008,Number,,,,5053.0
2009,Number,,,,5332.0
2010,Number,,,,5542.0
2011,Number,,,,5966.0
2012,Number,,,,6748.0
2013,Number,,,,7873.0
2014,Number,,,,9023.0
2015,Number,,,,10278.0
2016,Number,,,,10829.0
2017,Number,,,,11340.0
2018,Number,,,,12575.0
2019,Number,,,,13267.0
2020,Number,,,,13507.0
2005,Number,,,,
2006,Number,,,,3198.0
2007,Number,,,,3247.0
2008,Number,,,,3251.0
2009,Number,,,,3463.0
2010,Number,,,,3712.0
2011,Number,,,,4041.0
2012,Number,,,,4444.0
2013,Number,,,,4705.0
2014,Number,,,,5080.0
2015,Number,,,,5582.0
2016,Number,,,,5650.0
2017,Number,,,,6091.0
2018,Number,,,,6641.0
2019,Number,,,,7321.0
2020,Number,,,,7679.0
2005,Number,,,,
2006,Number,,,,2406.0
2007,Number,,,,2416.0
2008,Number,,,,2436.0
2009,Number,,,,2523.0
2010,Number,,,,2569.0
2011,Number,,,,2633.0
2012,Number,,,,2764.0
2013,Number,,,,2830.0
2014,Number,,,,2998.0
2015,Number,,,,3155.0
2016,Number,,,,3586.0
2017,Number,,,,3667.0
2018,Number,,,,4002.0
2019,Number,,,,4276.0
2020,Number,,,,4402.0
2005,Number,,,,
2006,Number,,,,1937.0
2007,Number,,,,2176.0
2008,Number,,,,2192.0
2009,Number,,,,2543.0
2010,Number,,,,2909.0
2011,Number,,,,3012.0
