Year,Units,Time series,Federal state,GeoCode,Value
2003,Percentage,Smoking rate among adolescents,,,22.5
2004,Percentage,Smoking rate among adolescents,,,23.5
2005,Percentage,Smoking rate among adolescents,,,20.0
2007,Percentage,Smoking rate among adolescents,,,17.7
2008,Percentage,Smoking rate among adolescents,,,15.4
2009,Percentage,Smoking rate among adolescents,,,
2010,Percentage,Smoking rate among adolescents,,,12.9
2011,Percentage,Smoking rate among adolescents,,,11.7
2012,Percentage,Smoking rate among adolescents,,,12.0
2013,Percentage,Smoking rate among adolescents,,,
2014,Percentage,Smoking rate among adolescents,,,9.7
2015,Percentage,Smoking rate among adolescents,,,7.8
2016,Percentage,Smoking rate among adolescents,,,7.4
2017,Percentage,Smoking rate among adolescents,,,
2018,Percentage,Smoking rate among adolescents,,,6.6
2019,Percentage,Smoking rate among adolescents,,,5.6
2021,Percentage,Smoking rate among adolescents,,,6.1
2003,Percentage,Smoking rate among adolescents,,,22.5
2004,Percentage,Smoking rate among adolescents,,,23.5
2005,Percentage,Smoking rate among adolescents,,,20.0
2006,Percentage,Smoking rate among adolescents,,,
2007,Percentage,Smoking rate among adolescents,,,17.7
2008,Percentage,Smoking rate among adolescents,,,15.4
2009,Percentage,Smoking rate among adolescents,,,
2010,Percentage,Smoking rate among adolescents,,,12.9
2011,Percentage,Smoking rate among adolescents,,,11.7
2012,Percentage,Smoking rate among adolescents,,,12.0
2013,Percentage,Smoking rate among adolescents,,,
2014,Percentage,Smoking rate among adolescents,,,9.7
2015,Percentage,Smoking rate among adolescents,,,7.8
2016,Percentage,Smoking rate among adolescents,,,7.4
2017,Percentage,Smoking rate among adolescents,,,
2018,Percentage,Smoking rate among adolescents,,,6.6
2019,Percentage,Smoking rate among adolescents,,,5.6
2020,Percentage,Smoking rate among adolescents,,,
2003,Percentage,Smoking rate among adults,,,27.4
2004,Percentage,Smoking rate among adults,,,
2005,Percentage,Smoking rate among adults,,,27.2
2007,Percentage,Smoking rate among adults,,,
2008,Percentage,Smoking rate among adults,,,
2009,Percentage,Smoking rate among adults,,,25.7
2010,Percentage,Smoking rate among adults,,,
2011,Percentage,Smoking rate among adults,,,
2012,Percentage,Smoking rate among adults,,,
2013,Percentage,Smoking rate among adults,,,24.5
2014,Percentage,Smoking rate among adults,,,
2015,Percentage,Smoking rate among adults,,,
2016,Percentage,Smoking rate among adults,,,
2017,Percentage,Smoking rate among adults,,,22.0
2018,Percentage,Smoking rate among adults,,,
2019,Percentage,Smoking rate among adults,,,
2021,Percentage,Smoking rate among adults,,,18.9
2003,Percentage,Smoking rate among adults,,,27.4
2004,Percentage,Smoking rate among adults,,,
2005,Percentage,Smoking rate among adults,,,27.2
2006,Percentage,Smoking rate among adults,,,
2007,Percentage,Smoking rate among adults,,,
2008,Percentage,Smoking rate among adults,,,
2009,Percentage,Smoking rate among adults,,,25.7
2010,Percentage,Smoking rate among adults,,,
2011,Percentage,Smoking rate among adults,,,
2012,Percentage,Smoking rate among adults,,,
2013,Percentage,Smoking rate among adults,,,24.5
2014,Percentage,Smoking rate among adults,,,
2015,Percentage,Smoking rate among adults,,,
2016,Percentage,Smoking rate among adults,,,
2017,Percentage,Smoking rate among adults,,,22.0
2018,Percentage,Smoking rate among adults,,,
2019,Percentage,Smoking rate among adults,,,
2020,Percentage,Smoking rate among adults,,,
2003,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,25.53
2004,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2005,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,24.5
2007,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2008,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2009,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,22.8
2010,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2011,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2012,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2013,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,22.21
2014,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2015,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2016,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2017,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,21.23
2018,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2019,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2021,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,17.4
2003,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,25.53
2004,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2005,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,24.5
2006,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2007,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2008,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2009,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,22.8
2010,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2011,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2012,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2013,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,22.21
2014,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2015,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2016,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2017,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,21.23
2018,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2019,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2020,Percentage,Smoking rate among adults,Baden-Wuerttemberg,code08,
2003,Percentage,Smoking rate among adults,Bavaria,code09,25.12
2004,Percentage,Smoking rate among adults,Bavaria,code09,
2005,Percentage,Smoking rate among adults,Bavaria,code09,24.2
2007,Percentage,Smoking rate among adults,Bavaria,code09,
2008,Percentage,Smoking rate among adults,Bavaria,code09,
2009,Percentage,Smoking rate among adults,Bavaria,code09,23.5
2010,Percentage,Smoking rate among adults,Bavaria,code09,
2011,Percentage,Smoking rate among adults,Bavaria,code09,
2012,Percentage,Smoking rate among adults,Bavaria,code09,
2013,Percentage,Smoking rate among adults,Bavaria,code09,22.15
2014,Percentage,Smoking rate among adults,Bavaria,code09,
2015,Percentage,Smoking rate among adults,Bavaria,code09,
2016,Percentage,Smoking rate among adults,Bavaria,code09,
2017,Percentage,Smoking rate among adults,Bavaria,code09,20.51
2018,Percentage,Smoking rate among adults,Bavaria,code09,
2019,Percentage,Smoking rate among adults,Bavaria,code09,
2021,Percentage,Smoking rate among adults,Bavaria,code09,17.0
2003,Percentage,Smoking rate among adults,Bavaria,code09,25.12
2004,Percentage,Smoking rate among adults,Bavaria,code09,
2005,Percentage,Smoking rate among adults,Bavaria,code09,24.2
2006,Percentage,Smoking rate among adults,Bavaria,code09,
2007,Percentage,Smoking rate among adults,Bavaria,code09,
2008,Percentage,Smoking rate among adults,Bavaria,code09,
2009,Percentage,Smoking rate among adults,Bavaria,code09,23.5
2010,Percentage,Smoking rate among adults,Bavaria,code09,
2011,Percentage,Smoking rate among adults,Bavaria,code09,
2012,Percentage,Smoking rate among adults,Bavaria,code09,
2013,Percentage,Smoking rate among adults,Bavaria,code09,22.15
2014,Percentage,Smoking rate among adults,Bavaria,code09,
2015,Percentage,Smoking rate among adults,Bavaria,code09,
2016,Percentage,Smoking rate among adults,Bavaria,code09,
2017,Percentage,Smoking rate among adults,Bavaria,code09,20.51
2018,Percentage,Smoking rate among adults,Bavaria,code09,
2019,Percentage,Smoking rate among adults,Bavaria,code09,
2020,Percentage,Smoking rate among adults,Bavaria,code09,
2003,Percentage,Smoking rate among adults,Berlin,code11,34.12
2004,Percentage,Smoking rate among adults,Berlin,code11,
2005,Percentage,Smoking rate among adults,Berlin,code11,32.7
2007,Percentage,Smoking rate among adults,Berlin,code11,
2008,Percentage,Smoking rate among adults,Berlin,code11,
2009,Percentage,Smoking rate among adults,Berlin,code11,31.3
2010,Percentage,Smoking rate among adults,Berlin,code11,
2011,Percentage,Smoking rate among adults,Berlin,code11,
2012,Percentage,Smoking rate among adults,Berlin,code11,
2013,Percentage,Smoking rate among adults,Berlin,code11,28.85
2014,Percentage,Smoking rate among adults,Berlin,code11,
2015,Percentage,Smoking rate among adults,Berlin,code11,
2016,Percentage,Smoking rate among adults,Berlin,code11,
2017,Percentage,Smoking rate among adults,Berlin,code11,25.47
2018,Percentage,Smoking rate among adults,Berlin,code11,
2019,Percentage,Smoking rate among adults,Berlin,code11,
2021,Percentage,Smoking rate among adults,Berlin,code11,21.1
2003,Percentage,Smoking rate among adults,Berlin,code11,34.12
2004,Percentage,Smoking rate among adults,Berlin,code11,
2005,Percentage,Smoking rate among adults,Berlin,code11,32.7
2006,Percentage,Smoking rate among adults,Berlin,code11,
2007,Percentage,Smoking rate among adults,Berlin,code11,
2008,Percentage,Smoking rate among adults,Berlin,code11,
2009,Percentage,Smoking rate among adults,Berlin,code11,31.3
2010,Percentage,Smoking rate among adults,Berlin,code11,
2011,Percentage,Smoking rate among adults,Berlin,code11,
2012,Percentage,Smoking rate among adults,Berlin,code11,
2013,Percentage,Smoking rate among adults,Berlin,code11,28.85
2014,Percentage,Smoking rate among adults,Berlin,code11,
2015,Percentage,Smoking rate among adults,Berlin,code11,
2016,Percentage,Smoking rate among adults,Berlin,code11,
2017,Percentage,Smoking rate among adults,Berlin,code11,25.47
2018,Percentage,Smoking rate among adults,Berlin,code11,
2019,Percentage,Smoking rate among adults,Berlin,code11,
2020,Percentage,Smoking rate among adults,Berlin,code11,
2003,Percentage,Smoking rate among adults,Brandenburg,code12,30.35
2004,Percentage,Smoking rate among adults,Brandenburg,code12,
2005,Percentage,Smoking rate among adults,Brandenburg,code12,29.0
2007,Percentage,Smoking rate among adults,Brandenburg,code12,
2008,Percentage,Smoking rate among adults,Brandenburg,code12,
2009,Percentage,Smoking rate among adults,Brandenburg,code12,28.0
2010,Percentage,Smoking rate among adults,Brandenburg,code12,
2011,Percentage,Smoking rate among adults,Brandenburg,code12,
2012,Percentage,Smoking rate among adults,Brandenburg,code12,
2013,Percentage,Smoking rate among adults,Brandenburg,code12,25.77
2014,Percentage,Smoking rate among adults,Brandenburg,code12,
2015,Percentage,Smoking rate among adults,Brandenburg,code12,
2016,Percentage,Smoking rate among adults,Brandenburg,code12,
2017,Percentage,Smoking rate among adults,Brandenburg,code12,24.47
