Year,Units,Sex,Value
1999,Percentage,,10.7
2003,Percentage,,11.7
2005,Percentage,,12.5
2009,Percentage,,13.3
2013,Percentage,,14.1
2017,Percentage,,14.789
2021,Percentage,,15.431
2000,Percentage,,
2001,Percentage,,
2002,Percentage,,
2004,Percentage,,
2006,Percentage,,
2007,Percentage,,
2008,Percentage,,
2010,Percentage,,
2011,Percentage,,
2012,Percentage,,
2014,Percentage,,
2015,Percentage,,
2016,Percentage,,
2018,Percentage,,
2019,Percentage,,
2020,Percentage,,
1999,Percentage,Female,10.2
2003,Percentage,Female,11.2
2005,Percentage,Female,11.8
2009,Percentage,Female,12.4
2013,Percentage,Female,12.8
2017,Percentage,Female,13.047
2021,Percentage,Female,13.426
2000,Percentage,Female,
2001,Percentage,Female,
2002,Percentage,Female,
2004,Percentage,Female,
2006,Percentage,Female,
2007,Percentage,Female,
2008,Percentage,Female,
2010,Percentage,Female,
2011,Percentage,Female,
2012,Percentage,Female,
2014,Percentage,Female,
2015,Percentage,Female,
2016,Percentage,Female,
2018,Percentage,Female,
2019,Percentage,Female,
2020,Percentage,Female,
1999,Percentage,Male,11.1
2003,Percentage,Male,12.3
2005,Percentage,Male,13.0
2009,Percentage,Male,14.2
2013,Percentage,Male,15.4
2017,Percentage,Male,16.416
2021,Percentage,Male,17.298
2000,Percentage,Male,
2001,Percentage,Male,
2002,Percentage,Male,
2004,Percentage,Male,
2006,Percentage,Male,
2007,Percentage,Male,
2008,Percentage,Male,
2010,Percentage,Male,
2011,Percentage,Male,
2012,Percentage,Male,
2014,Percentage,Male,
2015,Percentage,Male,
2016,Percentage,Male,
2018,Percentage,Male,
2019,Percentage,Male,
2020,Percentage,Male,
