Year,Units,display,air pollutants,Value
2005,2005 = 100,a) time series,air pollutants overall,100.0
2006,2005 = 100,a) time series,air pollutants overall,99.7
2007,2005 = 100,a) time series,air pollutants overall,97.0
2008,2005 = 100,a) time series,air pollutants overall,94.8
2009,2005 = 100,a) time series,air pollutants overall,88.3
2010,2005 = 100,a) time series,air pollutants overall,90.7
2011,2005 = 100,a) time series,air pollutants overall,88.5
2012,2005 = 100,a) time series,air pollutants overall,87.1
2013,2005 = 100,a) time series,air pollutants overall,86.3
2014,2005 = 100,a) time series,air pollutants overall,83.3
2015,2005 = 100,a) time series,air pollutants overall,82.4
2016,2005 = 100,a) time series,air pollutants overall,79.8
2017,2005 = 100,a) time series,air pollutants overall,78.4
2018,2005 = 100,a) time series,air pollutants overall,75.3
2030,2005 = 100,b) target (max),air pollutants overall,55.0
2005,2005 = 100,a) time series,SO2,100.0
2006,2005 = 100,a) time series,SO2,99.7
2007,2005 = 100,a) time series,SO2,96.1
2008,2005 = 100,a) time series,SO2,95.1
2009,2005 = 100,a) time series,SO2,82.8
2010,2005 = 100,a) time series,SO2,84.9
2011,2005 = 100,a) time series,SO2,81.5
2012,2005 = 100,a) time series,SO2,77.9
2013,2005 = 100,a) time series,SO2,75.4
2014,2005 = 100,a) time series,SO2,71.1
2015,2005 = 100,a) time series,SO2,70.4
2016,2005 = 100,a) time series,SO2,65.2
2017,2005 = 100,a) time series,SO2,63.2
2018,2005 = 100,a) time series,SO2,60.5
2005,2005 = 100,a) time series,NOx,100.0
2006,2005 = 100,a) time series,NOx,100.7
2007,2005 = 100,a) time series,NOx,97.6
2008,2005 = 100,a) time series,NOx,94.6
2009,2005 = 100,a) time series,NOx,88.7
2010,2005 = 100,a) time series,NOx,89.8
2011,2005 = 100,a) time series,NOx,88.7
2012,2005 = 100,a) time series,NOx,87.7
2013,2005 = 100,a) time series,NOx,87.7
2014,2005 = 100,a) time series,NOx,84.9
2015,2005 = 100,a) time series,NOx,83.1
2016,2005 = 100,a) time series,NOx,81.3
2017,2005 = 100,a) time series,NOx,78.3
2018,2005 = 100,a) time series,NOx,73.0
2005,2005 = 100,a) time series,NH3,100.0
2006,2005 = 100,a) time series,NH3,100.2
2007,2005 = 100,a) time series,NH3,100.7
2008,2005 = 100,a) time series,NH3,101.1
2009,2005 = 100,a) time series,NH3,102.9
2010,2005 = 100,a) time series,NH3,99.9
2011,2005 = 100,a) time series,NH3,104.5
2012,2005 = 100,a) time series,NH3,102.6
2013,2005 = 100,a) time series,NH3,105.1
2014,2005 = 100,a) time series,NH3,105.3
2015,2005 = 100,a) time series,NH3,106.7
2016,2005 = 100,a) time series,NH3,105.3
2017,2005 = 100,a) time series,NH3,103.8
2018,2005 = 100,a) time series,NH3,99.2
2005,2005 = 100,a) time series,NMVOC,100.0
2006,2005 = 100,a) time series,NMVOC,99.6
2007,2005 = 100,a) time series,NMVOC,95.5
2008,2005 = 100,a) time series,NMVOC,91.4
2009,2005 = 100,a) time series,NMVOC,83.8
2010,2005 = 100,a) time series,NMVOC,91.5
2011,2005 = 100,a) time series,NMVOC,84.2
2012,2005 = 100,a) time series,NMVOC,84.6
2013,2005 = 100,a) time series,NMVOC,81.7
2014,2005 = 100,a) time series,NMVOC,79.1
2015,2005 = 100,a) time series,NMVOC,77.1
2016,2005 = 100,a) time series,NMVOC,76.7
2017,2005 = 100,a) time series,NMVOC,77.1
2018,2005 = 100,a) time series,NMVOC,75.4
2005,2005 = 100,a) time series,PM2.5,100.0
2006,2005 = 100,a) time series,PM2.5,98.4
2007,2005 = 100,a) time series,PM2.5,95.1
2008,2005 = 100,a) time series,PM2.5,91.8
2009,2005 = 100,a) time series,PM2.5,83.1
2010,2005 = 100,a) time series,PM2.5,87.2
2011,2005 = 100,a) time series,PM2.5,83.7
2012,2005 = 100,a) time series,PM2.5,82.9
2013,2005 = 100,a) time series,PM2.5,81.4
2014,2005 = 100,a) time series,PM2.5,76.1
2015,2005 = 100,a) time series,PM2.5,74.8
2016,2005 = 100,a) time series,PM2.5,70.5
2017,2005 = 100,a) time series,PM2.5,69.7
2018,2005 = 100,a) time series,PM2.5,68.5
