Year,Units,Sex,Federal state,GeoCode,Value
1999,Percentage,,,,14.9
2010,Percentage,,,,11.86
2011,Percentage,,,,11.56
2012,Percentage,,,,10.37
2013,Percentage,,,,9.81
2014,Percentage,,,,9.53
2015,Percentage,,,,9.82
2016,Percentage,,,,10.3
2017,Percentage,,,,10.11
2018,Percentage,,,,10.34
2019,Percentage,,,,10.34
2020,Percentage,,,,10.1
1999,Percentage,Female,,,15.6
2010,Percentage,Female,,,11.02
2011,Percentage,Female,,,10.62
2012,Percentage,Female,,,9.73
2013,Percentage,Female,,,9.28
2014,Percentage,Female,,,8.99
2015,Percentage,Female,,,9.49
2016,Percentage,Female,,,9.6
2017,Percentage,Female,,,9.04
2018,Percentage,Female,,,9.13
2019,Percentage,Female,,,8.73
2020,Percentage,Female,,,8.4
1999,Percentage,Male,,,14.2
2010,Percentage,Male,,,12.68
2011,Percentage,Male,,,12.47
2012,Percentage,Male,,,10.97
2013,Percentage,Male,,,10.3
2014,Percentage,Male,,,10.03
2015,Percentage,Male,,,10.12
2016,Percentage,Male,,,11.0
2017,Percentage,Male,,,11.09
2018,Percentage,Male,,,11.42
2019,Percentage,Male,,,11.8
2020,Percentage,Male,,,11.7
1999,Percentage,,Baden-Wuerttemberg,code08,
2010,Percentage,,Baden-Wuerttemberg,code08,9.8
2011,Percentage,,Baden-Wuerttemberg,code08,9.93
2012,Percentage,,Baden-Wuerttemberg,code08,8.26
2013,Percentage,,Baden-Wuerttemberg,code08,7.6
2014,Percentage,,Baden-Wuerttemberg,code08,7.9
2015,Percentage,,Baden-Wuerttemberg,code08,8.3
2016,Percentage,,Baden-Wuerttemberg,code08,9.35
2017,Percentage,,Baden-Wuerttemberg,code08,8.71
2018,Percentage,,Baden-Wuerttemberg,code08,9.71
2019,Percentage,,Baden-Wuerttemberg,code08,9.18
2020,Percentage,,Baden-Wuerttemberg,code08,9.1
1999,Percentage,Female,Baden-Wuerttemberg,code08,
2010,Percentage,Female,Baden-Wuerttemberg,code08,10.0
2011,Percentage,Female,Baden-Wuerttemberg,code08,9.92
2012,Percentage,Female,Baden-Wuerttemberg,code08,8.27
2013,Percentage,Female,Baden-Wuerttemberg,code08,7.3
2014,Percentage,Female,Baden-Wuerttemberg,code08,7.32
2015,Percentage,Female,Baden-Wuerttemberg,code08,8.48
2016,Percentage,Female,Baden-Wuerttemberg,code08,8.78
2017,Percentage,Female,Baden-Wuerttemberg,code08,7.76
2018,Percentage,Female,Baden-Wuerttemberg,code08,8.52
2019,Percentage,Female,Baden-Wuerttemberg,code08,7.55
2020,Percentage,Female,Baden-Wuerttemberg,code08,8.5
1999,Percentage,Male,Baden-Wuerttemberg,code08,
2010,Percentage,Male,Baden-Wuerttemberg,code08,9.7
2011,Percentage,Male,Baden-Wuerttemberg,code08,9.94
2012,Percentage,Male,Baden-Wuerttemberg,code08,8.26
2013,Percentage,Male,Baden-Wuerttemberg,code08,7.9
2014,Percentage,Male,Baden-Wuerttemberg,code08,8.45
2015,Percentage,Male,Baden-Wuerttemberg,code08,8.13
2016,Percentage,Male,Baden-Wuerttemberg,code08,9.87
2017,Percentage,Male,Baden-Wuerttemberg,code08,9.55
2018,Percentage,Male,Baden-Wuerttemberg,code08,10.75
2019,Percentage,Male,Baden-Wuerttemberg,code08,10.67
2020,Percentage,Male,Baden-Wuerttemberg,code08,9.6
1999,Percentage,,Bavaria,code09,
2010,Percentage,,Bavaria,code09,9.4
2011,Percentage,,Bavaria,code09,9.09
2012,Percentage,,Bavaria,code09,7.36
2013,Percentage,,Bavaria,code09,7.3
2014,Percentage,,Bavaria,code09,6.39
2015,Percentage,,Bavaria,code09,6.16
2016,Percentage,,Bavaria,code09,7.63
2017,Percentage,,Bavaria,code09,7.2
2018,Percentage,,Bavaria,code09,7.23
2019,Percentage,,Bavaria,code09,7.62
2020,Percentage,,Bavaria,code09,8.3
1999,Percentage,Female,Bavaria,code09,
2010,Percentage,Female,Bavaria,code09,9.1
2011,Percentage,Female,Bavaria,code09,7.96
2012,Percentage,Female,Bavaria,code09,6.84
2013,Percentage,Female,Bavaria,code09,7.0
2014,Percentage,Female,Bavaria,code09,6.18
2015,Percentage,Female,Bavaria,code09,5.62
2016,Percentage,Female,Bavaria,code09,6.83
2017,Percentage,Female,Bavaria,code09,6.5
2018,Percentage,Female,Bavaria,code09,6.43
2019,Percentage,Female,Bavaria,code09,6.52
2020,Percentage,Female,Bavaria,code09,7.2
1999,Percentage,Male,Bavaria,code09,
2010,Percentage,Male,Bavaria,code09,9.7
2011,Percentage,Male,Bavaria,code09,10.18
2012,Percentage,Male,Bavaria,code09,7.84
2013,Percentage,Male,Bavaria,code09,7.6
2014,Percentage,Male,Bavaria,code09,6.6
2015,Percentage,Male,Bavaria,code09,6.65
2016,Percentage,Male,Bavaria,code09,8.36
2017,Percentage,Male,Bavaria,code09,7.84
2018,Percentage,Male,Bavaria,code09,7.98
2019,Percentage,Male,Bavaria,code09,8.63
2020,Percentage,Male,Bavaria,code09,9.3
1999,Percentage,,Berlin,code11,
2010,Percentage,,Berlin,code11,14.6
2011,Percentage,,Berlin,code11,13.05
2012,Percentage,,Berlin,code11,12.98
2013,Percentage,,Berlin,code11,11.9
2014,Percentage,,Berlin,code11,13.52
2015,Percentage,,Berlin,code11,13.68
2016,Percentage,,Berlin,code11,11.7
2017,Percentage,,Berlin,code11,13.17
2018,Percentage,,Berlin,code11,13.55
2019,Percentage,,Berlin,code11,11.6
2020,Percentage,,Berlin,code11,9.8
1999,Percentage,Female,Berlin,code11,
2010,Percentage,Female,Berlin,code11,12.4
2011,Percentage,Female,Berlin,code11,11.25
2012,Percentage,Female,Berlin,code11,10.81
2013,Percentage,Female,Berlin,code11,9.1
2014,Percentage,Female,Berlin,code11,11.92
2015,Percentage,Female,Berlin,code11,10.67
2016,Percentage,Female,Berlin,code11,10.89
2017,Percentage,Female,Berlin,code11,10.99
2018,Percentage,Female,Berlin,code11,10.41
2019,Percentage,Female,Berlin,code11,7.99
2020,Percentage,Female,Berlin,code11,
1999,Percentage,Male,Berlin,code11,
2010,Percentage,Male,Berlin,code11,17.0
2011,Percentage,Male,Berlin,code11,15.04
2012,Percentage,Male,Berlin,code11,15.22
2013,Percentage,Male,Berlin,code11,14.8
2014,Percentage,Male,Berlin,code11,15.28
2015,Percentage,Male,Berlin,code11,16.96
2016,Percentage,Male,Berlin,code11,12.54
2017,Percentage,Male,Berlin,code11,15.47
2018,Percentage,Male,Berlin,code11,16.89
2019,Percentage,Male,Berlin,code11,15.05
2020,Percentage,Male,Berlin,code11,
1999,Percentage,,Brandenburg,code12,
2010,Percentage,,Brandenburg,code12,9.6
2011,Percentage,,Brandenburg,code12,10.18
2012,Percentage,,Brandenburg,code12,9.95
2013,Percentage,,Brandenburg,code12,10.6
2014,Percentage,,Brandenburg,code12,9.0
2015,Percentage,,Brandenburg,code12,11.56
2016,Percentage,,Brandenburg,code12,10.97
2017,Percentage,,Brandenburg,code12,12.32
2018,Percentage,,Brandenburg,code12,11.52
2019,Percentage,,Brandenburg,code12,10.78
2020,Percentage,,Brandenburg,code12,
1999,Percentage,Female,Brandenburg,code12,
2010,Percentage,Female,Brandenburg,code12,7.1
2011,Percentage,Female,Brandenburg,code12,8.37
2012,Percentage,Female,Brandenburg,code12,10.26
