Year,Units,Display,Time series,Sex,Region,GeoCode,Value
1999,Percentage,Time series,Total,Total,Germany,,33.4
2000,Percentage,Time series,Total,Total,Germany,,33.0
2001,Percentage,Time series,Total,Total,Germany,,33.2
2002,Percentage,Time series,Total,Total,Germany,,33.3
2003,Percentage,Time series,Total,Total,Germany,,33.9
2004,Percentage,Time series,Total,Total,Germany,,36.2
2005,Percentage,Time series,Total,Total,Germany,,36.0
2006,Percentage,Time series,Total,Total,Germany,,36.5
2007,Percentage,Time series,Total,Total,Germany,,37.6
2008,Percentage,Time series,Total,Total,Germany,,38.8
2009,Percentage,Time series,Total,Total,Germany,,40.7
2010,Percentage,Time series,Total,Total,Germany,,41.3
2011,Percentage,Time series,Total,Total,Germany,,42.2
2012,Percentage,Time series,Total,Total,Germany,,43.4
2013,Percentage,Time series,Total,Total,Germany,,44.5
2014,Percentage,Time series,Total,Total,Germany,,45.7
2015,Percentage,Time series,Total,Total,Germany,,46.8
2016,Percentage,Time series,Total,Total,Germany,,47.9
2017,Percentage,Time series,Total,Total,Germany,,48.8
2018,Percentage,Time series,Total,Total,Germany,,49.8
2019,Percentage,Time series,Total,Total,Germany,,50.5
2030,Percentage,Target,Total,Total,Germany,,55.0
1999,Percentage,Time series,Total,Female,Germany,,31.4
2000,Percentage,Time series,Total,Female,Germany,,30.9
2001,Percentage,Time series,Total,Female,Germany,,31.1
2002,Percentage,Time series,Total,Female,Germany,,31.3
2003,Percentage,Time series,Total,Female,Germany,,32.2
2004,Percentage,Time series,Total,Female,Germany,,34.7
2005,Percentage,Time series,Total,Female,Germany,,35.0
2006,Percentage,Time series,Total,Female,Germany,,36.5
2007,Percentage,Time series,Total,Female,Germany,,38.0
2008,Percentage,Time series,Total,Female,Germany,,39.7
2009,Percentage,Time series,Total,Female,Germany,,42.2
2010,Percentage,Time series,Total,Female,Germany,,42.7
2011,Percentage,Time series,Total,Female,Germany,,44.4
2012,Percentage,Time series,Total,Female,Germany,,46.0
2013,Percentage,Time series,Total,Female,Germany,,46.8
2014,Percentage,Time series,Total,Female,Germany,,48.4
2015,Percentage,Time series,Total,Female,Germany,,50.5
2016,Percentage,Time series,Total,Female,Germany,,51.3
2017,Percentage,Time series,Total,Female,Germany,,52.6
2018,Percentage,Time series,Total,Female,Germany,,53.8
2019,Percentage,Time series,Total,Female,Germany,,54.4
1999,Percentage,Time series,Total,Male,Germany,,35.2
2000,Percentage,Time series,Total,Male,Germany,,35.0
2001,Percentage,Time series,Total,Male,Germany,,35.2
2002,Percentage,Time series,Total,Male,Germany,,35.2
2003,Percentage,Time series,Total,Male,Germany,,35.5
2004,Percentage,Time series,Total,Male,Germany,,37.7
2005,Percentage,Time series,Total,Male,Germany,,37.0
2006,Percentage,Time series,Total,Male,Germany,,36.5
2007,Percentage,Time series,Total,Male,Germany,,37.3
2008,Percentage,Time series,Total,Male,Germany,,37.9
2009,Percentage,Time series,Total,Male,Germany,,39.2
2010,Percentage,Time series,Total,Male,Germany,,40.0
2011,Percentage,Time series,Total,Male,Germany,,40.1
2012,Percentage,Time series,Total,Male,Germany,,40.9
2013,Percentage,Time series,Total,Male,Germany,,42.2
2014,Percentage,Time series,Total,Male,Germany,,42.9
2015,Percentage,Time series,Total,Male,Germany,,43.1
2016,Percentage,Time series,Total,Male,Germany,,44.6
2017,Percentage,Time series,Total,Male,Germany,,45.2
2018,Percentage,Time series,Total,Male,Germany,,46.0
2019,Percentage,Time series,Total,Male,Germany,,46.8
2005,Percentage,Time series,Total,Total,Baden-Wuerttemberg,code08,36.9
2006,Percentage,Time series,Total,Total,Baden-Wuerttemberg,code08,36.9
2007,Percentage,Time series,Total,Total,Baden-Wuerttemberg,code08,37.6
2008,Percentage,Time series,Total,Total,Baden-Wuerttemberg,code08,37.8
2009,Percentage,Time series,Total,Total,Baden-Wuerttemberg,code08,41.9
2010,Percentage,Time series,Total,Total,Baden-Wuerttemberg,code08,42.3
2011,Percentage,Time series,Total,Total,Baden-Wuerttemberg,code08,43.4
2012,Percentage,Time series,Total,Total,Baden-Wuerttemberg,code08,44.9
2013,Percentage,Time series,Total,Total,Baden-Wuerttemberg,code08,47.3
2014,Percentage,Time series,Total,Total,Baden-Wuerttemberg,code08,47.3
2015,Percentage,Time series,Total,Total,Baden-Wuerttemberg,code08,48.4
2016,Percentage,Time series,Total,Total,Baden-Wuerttemberg,code08,50.2
2017,Percentage,Time series,Total,Total,Baden-Wuerttemberg,code08,50.7
2018,Percentage,Time series,Total,Total,Baden-Wuerttemberg,code08,51.4
2019,Percentage,Time series,Total,Total,Baden-Wuerttemberg,code08,53.9
2005,Percentage,Time series,Total,Female,Baden-Wuerttemberg,code08,33.1
2006,Percentage,Time series,Total,Female,Baden-Wuerttemberg,code08,34.2
2007,Percentage,Time series,Total,Female,Baden-Wuerttemberg,code08,35.7
2008,Percentage,Time series,Total,Female,Baden-Wuerttemberg,code08,36.0
2009,Percentage,Time series,Total,Female,Baden-Wuerttemberg,code08,41.0
2010,Percentage,Time series,Total,Female,Baden-Wuerttemberg,code08,40.7
2011,Percentage,Time series,Total,Female,Baden-Wuerttemberg,code08,41.9
2012,Percentage,Time series,Total,Female,Baden-Wuerttemberg,code08,44.4
