Year,Units,Series,XXXArt der Betreuung,Value
2006,Percentage,All-day care provision for 0 to 2-year-old children,,6.499
2007,Percentage,All-day care provision for 0 to 2-year-old children,,7.321
2008,Percentage,All-day care provision for 0 to 2-year-old children,,8.284
2009,Percentage,All-day care provision for 0 to 2-year-old children,,9.87
2010,Percentage,All-day care provision for 0 to 2-year-old children,,11.597
2011,Percentage,All-day care provision for 0 to 2-year-old children,,12.94
2012,Percentage,All-day care provision for 0 to 2-year-old children,,14.629
2013,Percentage,All-day care provision for 0 to 2-year-old children,,15.758
2014,Percentage,All-day care provision for 0 to 2-year-old children,,17.462
2015,Percentage,All-day care provision for 0 to 2-year-old children,,18.065
2016,Percentage,All-day care provision for 0 to 2-year-old children,,18.32
2017,Percentage,All-day care provision for 0 to 2-year-old children,,18.478
2018,Percentage,All-day care provision for 0 to 2-year-old children,,18.837
2019,Percentage,All-day care provision for 0 to 2-year-old children,,19.321
2020,Percentage,All-day care provision for 0 to 2-year-old children,,19.583
2021,Percentage,All-day care provision for 0 to 2-year-old children,,18.942
2022,Percentage,All-day care provision for 0 to 2-year-old children,,19.297
2023,Percentage,All-day care provision for 0 to 2-year-old children,,19.659
2024,Percentage,All-day care provision for 0 to 2-year-old children,,19.97
2030,Percentage,All-day care provision for 0 to 2-year-old children,,
2006,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,5.87
2007,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,6.521
2008,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,7.313
2009,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,8.669
2010,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,10.167
2011,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,11.344
2012,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,12.745
2013,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,13.718
2014,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,15.306
2015,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,15.919
2016,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,16.158
2017,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,16.231
2018,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,16.528
2019,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,16.914
2020,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,17.096
2021,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,16.461
2022,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,16.803
2023,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,17.079
2024,Percentage,All-day care provision for 0 to 2-year-old children,XXXKindertageseinrichtungen,17.344
2006,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,0.629
2007,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,0.8
2008,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,0.971
2009,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,1.201
2010,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,1.43
2011,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,1.596
2012,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,1.884
2013,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,2.04
2014,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,2.155
2015,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,2.146
2016,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,2.162
2017,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,2.247
2018,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,2.31
2019,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,2.407
2020,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,2.487
2021,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,2.481
2022,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,2.495
2023,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,2.58
2024,Percentage,All-day care provision for 0 to 2-year-old children,XXXTagespflege,2.626
2006,Percentage,All-day care provision for 3 to 5-year-old children,,22.091
2007,Percentage,All-day care provision for 3 to 5-year-old children,,24.329
2008,Percentage,All-day care provision for 3 to 5-year-old children,,27.067
2009,Percentage,All-day care provision for 3 to 5-year-old children,,29.87
2010,Percentage,All-day care provision for 3 to 5-year-old children,,32.321
2011,Percentage,All-day care provision for 3 to 5-year-old children,,34.879
2012,Percentage,All-day care provision for 3 to 5-year-old children,,37.245
2013,Percentage,All-day care provision for 3 to 5-year-old children,,39.485
2014,Percentage,All-day care provision for 3 to 5-year-old children,,41.945
2015,Percentage,All-day care provision for 3 to 5-year-old children,,43.935
2016,Percentage,All-day care provision for 3 to 5-year-old children,,44.756
2017,Percentage,All-day care provision for 3 to 5-year-old children,,45.509
2018,Percentage,All-day care provision for 3 to 5-year-old children,,46.132
2019,Percentage,All-day care provision for 3 to 5-year-old children,,47.178
2020,Percentage,All-day care provision for 3 to 5-year-old children,,47.913
2021,Percentage,All-day care provision for 3 to 5-year-old children,,47.324
2022,Percentage,All-day care provision for 3 to 5-year-old children,,47.353
2023,Percentage,All-day care provision for 3 to 5-year-old children,,47.003
2024,Percentage,All-day care provision for 3 to 5-year-old children,,46.976
