Year,Units,time series,Value
2015,percentage,women in management positions in business,21.3
2016,percentage,women in management positions in business,23.76
2017,percentage,women in management positions in business,28.1
2018,percentage,women in management positions in business,30.9
2019,percentage,women in management positions in business,33.9
2020,percentage,women in management positions in business,35.2
2021,percentage,women in management positions in business,35.9
2022,percentage,women in management positions in business,35.6
2000,percentage,women in management positions in the federal civil service,19.46
2001,percentage,women in management positions in the federal civil service,18.52
2002,percentage,women in management positions in the federal civil service,19.69
2003,percentage,women in management positions in the federal civil service,23.99
2004,percentage,women in management positions in the federal civil service,23.96
2005,percentage,women in management positions in the federal civil service,26.64
2006,percentage,women in management positions in the federal civil service,26.92
2007,percentage,women in management positions in the federal civil service,27.85
2008,percentage,women in management positions in the federal civil service,28.68
2009,percentage,women in management positions in the federal civil service,29.94
2010,percentage,women in management positions in the federal civil service,30.81
2011,percentage,women in management positions in the federal civil service,30.57
2012,percentage,women in management positions in the federal civil service,30.59
2013,percentage,women in management positions in the federal civil service,30.62
2014,percentage,women in management positions in the federal civil service,32.06
2015,percentage,women in management positions in the federal civil service,33.56
2017,percentage,women in management positions in the federal civil service,35.2
2019,percentage,women in management positions in the federal civil service,37.6
2021,percentage,women in management positions in the federal civil service,39.7
