Year,Units,Federal state,GeoCode,Value
2008,Percentage,,,81.8
2009,Percentage,,,82.5
2010,Percentage,,,81.7
2011,Percentage,,,82.0
2012,Percentage,,,81.0
2013,Percentage,,,81.4
2014,Percentage,,,81.8
2015,Percentage,,,81.0
2016,Percentage,,,81.8
2017,Percentage,,,83.1
2018,Percentage,,,82.7
2019,Percentage,,,84.2
2020,Percentage,,,84.1
2008,Percentage,Baden-Wuerttemberg,code08,89.2
2009,Percentage,,,88.3
2010,Percentage,,,89.2
2011,Percentage,,,89.9
2012,Percentage,,,90.8
2013,Percentage,,,90.8
2014,Percentage,,,91.7
2015,Percentage,,,90.8
2016,Percentage,,,91.7
2017,Percentage,,,92.5
2018,Percentage,,,93.3
2019,Percentage,,,91.7
2020,Percentage,,,
2008,Percentage,,,93.6
2009,Percentage,,,94.5
2010,Percentage,,,94.9
2011,Percentage,,,93.6
2012,Percentage,,,94.0
2013,Percentage,,,94.1
2014,Percentage,,,94.5
2015,Percentage,,,94.4
2016,Percentage,,,94.5
2017,Percentage,,,92.7
2018,Percentage,,,93.6
2019,Percentage,,,95.2
2020,Percentage,,,
2008,Percentage,,,
2009,Percentage,,,
2010,Percentage,,,
2011,Percentage,,,
2012,Percentage,,,
2013,Percentage,,,
2014,Percentage,,,
2015,Percentage,,,
2016,Percentage,,,
2017,Percentage,,,
2018,Percentage,,,
2019,Percentage,,,
2020,Percentage,,,
2008,Percentage,,,84.7
2009,Percentage,,,85.7
2010,Percentage,,,84.7
2011,Percentage,,,83.7
2012,Percentage,,,83.7
2013,Percentage,,,84.7
2014,Percentage,,,86.7
2015,Percentage,,,85.7
2016,Percentage,,,85.7
2017,Percentage,,,86.7
2018,Percentage,,,88.8
2019,Percentage,,,88.7
2020,Percentage,,,
2008,Percentage,,,
2009,Percentage,,,
2010,Percentage,,,
2011,Percentage,,,
2012,Percentage,,,
2013,Percentage,,,
2014,Percentage,,,
2015,Percentage,,,
2016,Percentage,,,
2017,Percentage,,,
2018,Percentage,,,
2019,Percentage,,,
2020,Percentage,,,
2008,Percentage,,,
2009,Percentage,,,
2010,Percentage,,,
2011,Percentage,,,
2012,Percentage,,,
2013,Percentage,,,
2014,Percentage,,,
2015,Percentage,,,
2016,Percentage,,,
2017,Percentage,,,
2018,Percentage,,,
2019,Percentage,,,
2020,Percentage,,,
2008,Percentage,,,87.9
2009,Percentage,,,86.4
2010,Percentage,,,83.6
2011,Percentage,,,87.0
2012,Percentage,,,82.3
2013,Percentage,,,80.9
2014,Percentage,,,87.1
2015,Percentage,,,84.6
2016,Percentage,,,84.7
2017,Percentage,,,87.3
2018,Percentage,,,80.9
2019,Percentage,,,85.9
2020,Percentage,,,
2008,Percentage,,,88.7
2009,Percentage,,,90.0
2010,Percentage,,,86.2
2011,Percentage,,,86.2
2012,Percentage,,,85.0
2013,Percentage,,,85.0
2014,Percentage,,,
2015,Percentage,,,
2016,Percentage,,,
2017,Percentage,,,
2018,Percentage,,,81.4
2019,Percentage,,,82.2
2020,Percentage,,,
2008,Percentage,,,69.9
2009,Percentage,,,73.0
2010,Percentage,,,70.4
2011,Percentage,,,69.7
2012,Percentage,,,69.1
2013,Percentage,,,69.3
2014,Percentage,,,69.6
2015,Percentage,,,68.7
2016,Percentage,,,71.5
2017,Percentage,,,70.7
2018,Percentage,,,69.7
2019,Percentage,,,72.1
2020,Percentage,,,
2008,Percentage,,,85.1
2009,Percentage,,,86.4
2010,Percentage,,,84.0
2011,Percentage,,,89.2
2012,Percentage,,,84.6
2013,Percentage,,,89.3
2014,Percentage,,,89.3
2015,Percentage,,,88.6
2016,Percentage,,,87.4
2017,Percentage,,,89.0
2018,Percentage,,,88.5
2019,Percentage,,,87.8
2020,Percentage,,,
2008,Percentage,,,78.3
2009,Percentage,,,78.3
2010,Percentage,,,76.8
2011,Percentage,,,75.4
2012,Percentage,,,71.0
2013,Percentage,,,72.5
2014,Percentage,,,75.4
2015,Percentage,,,73.9
2016,Percentage,,,76.8
2017,Percentage,,,76.8
2018,Percentage,,,72.1
2019,Percentage,,,73.4
2020,Percentage,,,
2008,Percentage,,,100.0
2009,Percentage,,,100.0
2010,Percentage,,,100.0
2011,Percentage,,,87.5
2012,Percentage,,,100.0
2013,Percentage,,,100.0
2014,Percentage,,,100.0
2015,Percentage,,,100.0
2016,Percentage,,,100.0
2017,Percentage,,,100.0
2018,Percentage,,,100.0
2019,Percentage,,,100.0
2020,Percentage,,,
2008,Percentage,,,63.0
2009,Percentage,,,64.8
2010,Percentage,,,64.4
2011,Percentage,,,70.5
2012,Percentage,,,64.5
2013,Percentage,,,66.7
2014,Percentage,,,66.7
2015,Percentage,,,68.3
2016,Percentage,,,65.1
2017,Percentage,,,71.0
2018,Percentage,,,70.7
2019,Percentage,,,74.1
2020,Percentage,,,
2008,Percentage,,,78.5
2009,Percentage,,,76.9
2010,Percentage,,,76.8
2011,Percentage,,,75.4
2012,Percentage,,,75.4
2013,Percentage,,,73.9
2014,Percentage,,,73.9
2015,Percentage,,,72.9
2016,Percentage,,,75.7
2017,Percentage,,,80.0
2018,Percentage,,,77.3
2019,Percentage,,,79.1
2020,Percentage,,,
2008,Percentage,,,66.0
2009,Percentage,,,64.2
2010,Percentage,,,64.2
2011,Percentage,,,69.8
2012,Percentage,,,66.0
2013,Percentage,,,66.0
2014,Percentage,,,66.0
2015,Percentage,,,69.8
2016,Percentage,,,71.7
2017,Percentage,,,66.7
2018,Percentage,,,69.8
2019,Percentage,,,75.5
2020,Percentage,,,
2008,Percentage,,,72.7
2009,Percentage,,,74.5
2010,Percentage,,,76.4
2011,Percentage,,,74.5
2012,Percentage,,,72.7
2013,Percentage,,,70.0
2014,Percentage,,,74.6
2015,Percentage,,,
2016,Percentage,,,77.1
2017,Percentage,,,72.2
2018,Percentage,,,76.9
2019,Percentage,,,78.4
2020,Percentage,,,
