Year,Units,Series,federal state,GeoCodes,Value
2008,2008 = 100,final energy productivity,,,100.0
2009,2008 = 100,final energy productivity,,,99.7
2010,2008 = 100,final energy productivity,,,96.7
2011,2008 = 100,final energy productivity,,,105.3
2012,2008 = 100,final energy productivity,,,105.3
2013,2008 = 100,final energy productivity,,,102.8
2014,2008 = 100,final energy productivity,,,110.8
2015,2008 = 100,final energy productivity,,,110.0
2016,2008 = 100,final energy productivity,,,110.3
2017,2008 = 100,final energy productivity,,,111.7
2018,2008 = 100,final energy productivity,,,116.3
2019,2008 = 100,final energy productivity,,,116.9
2020,2008 = 100,final energy productivity,,,120.0
2008,2008 = 100,final energy productivity,baden-wuerttemberg,code08,100.0
2009,2008 = 100,final energy productivity,baden-wuerttemberg,code08,95.6
2010,2008 = 100,final energy productivity,baden-wuerttemberg,code08,100.4
2011,2008 = 100,final energy productivity,baden-wuerttemberg,code08,109.6
2012,2008 = 100,final energy productivity,baden-wuerttemberg,code08,111.9
2013,2008 = 100,final energy productivity,baden-wuerttemberg,code08,107.7
2014,2008 = 100,final energy productivity,baden-wuerttemberg,code08,117.2
2015,2008 = 100,final energy productivity,baden-wuerttemberg,code08,116.7
2016,2008 = 100,final energy productivity,baden-wuerttemberg,code08,115.3
2017,2008 = 100,final energy productivity,baden-wuerttemberg,code08,125.2
2018,2008 = 100,final energy productivity,baden-wuerttemberg,code08,123.6
2019,2008 = 100,final energy productivity,baden-wuerttemberg,code08,109.7
2008,2008 = 100,final energy productivity,bavaria,code09,100.0
2009,2008 = 100,final energy productivity,bavaria,code09,98.7
2010,2008 = 100,final energy productivity,bavaria,code09,96.3
2011,2008 = 100,final energy productivity,bavaria,code09,103.2
2012,2008 = 100,final energy productivity,bavaria,code09,104.6
2013,2008 = 100,final energy productivity,bavaria,code09,105.0
2014,2008 = 100,final energy productivity,bavaria,code09,112.9
2015,2008 = 100,final energy productivity,bavaria,code09,112.1
2016,2008 = 100,final energy productivity,bavaria,code09,111.3
2017,2008 = 100,final energy productivity,bavaria,code09,115.7
2018,2008 = 100,final energy productivity,bavaria,code09,117.9
2008,2008 = 100,final energy productivity,berlin,code11,100.0
2009,2008 = 100,final energy productivity,berlin,code11,98.3
2010,2008 = 100,final energy productivity,berlin,code11,93.1
