Year,Units,Display,Time series,Value
2018 2.HJ,Percentage,Time series,All line-based technologies,27.3
2019 1.HJ,Percentage,Time series,All line-based technologies,34.1
2019 2.HJ,Percentage,Time series,All line-based technologies,43.22
2020 1.HJ,Percentage,Time series,All line-based technologies,55.9
2025,Percentage,Target,All line-based technologies,100.0
2015 2.HJ,Percentage,Time series,Pure fiber optic networks (FTTB/H),6.7
2016 1.HJ,Percentage,Time series,Pure fiber optic networks (FTTB/H),7.1
2016 2.HJ,Percentage,Time series,Pure fiber optic networks (FTTB/H),7.1
2017 1.HJ,Percentage,Time series,Pure fiber optic networks (FTTB/H),7.3
2017 2.HJ,Percentage,Time series,Pure fiber optic networks (FTTB/H),8.0
2018 1.HJ,Percentage,Time series,Pure fiber optic networks (FTTB/H),8.5
2018 2.HJ,Percentage,Time series,Pure fiber optic networks (FTTB/H),9.0
2019 1.HJ,Percentage,Time series,Pure fiber optic networks (FTTB/H),10.5
2019 2.HJ,Percentage,Time series,Pure fiber optic networks (FTTB/H),11.82
2020 1.HJ,Percentage,Time series,Pure fiber optic networks (FTTB/H),13.8
2018 2.HJ,Percentage,Time series,Cable television (CATV),23.7
2019 1.HJ,Percentage,Time series,Cable television (CATV),29.3
2019 2.HJ,Percentage,Time series,Cable television (CATV),37.83
2020 1.HJ,Percentage,Time series,Cable television (CATV),50.2
