Year,Value,Units,GeoCode
2000,100.0,2000 = 100,
2001,99.27,2000 = 100,
2002,98.453,2000 = 100,
2003,97.531,2000 = 100,
2004,96.596,2000 = 100,
2005,95.727,2000 = 100,
2006,94.803,2000 = 100,
2007,93.924,2000 = 100,
2008,92.924,2000 = 100,
2009,92.141,2000 = 100,
2010,91.543,2000 = 100,
2011,90.807,2000 = 100,
2012,90.585,2000 = 100,
2013,90.431,2000 = 100,
2014,90.361,2000 = 100,
2015,91.129,2000 = 100,
2016,91.121,2000 = 100,
2017,90.957,2000 = 100,
2018,90.631,2000 = 100,
2019,90.494,2000 = 100,
2020,90.112,2000 = 100,
