Year,Value,Units,Series
2010,100.0,2010 = 100,Use of raw materials
2011,101.382,2010 = 100,Use of raw materials
2012,99.693,2010 = 100,Use of raw materials
2013,98.464,2010 = 100,Use of raw materials
2014,99.386,2010 = 100,Use of raw materials
2015,97.696,2010 = 100,Use of raw materials
2016,101.229,2010 = 100,Use of raw materials
2017,100.0,2010 = 100,Use of raw materials
2018,100.0,2010 = 100,Use of raw materials
2010,100.0,2010 = 100,Energy consumption
2011,95.751,2010 = 100,Energy consumption
2012,95.038,2010 = 100,Energy consumption
2013,96.49,2010 = 100,Energy consumption
2014,90.044,2010 = 100,Energy consumption
2015,92.347,2010 = 100,Energy consumption
2016,95.038,2010 = 100,Energy consumption
2017,94.057,2010 = 100,Energy consumption
2010,100.0,2010 = 100,CO₂ emissions
2011,97.395,2010 = 100,CO₂ emissions
2012,97.977,2010 = 100,CO₂ emissions
2013,98.721,2010 = 100,CO₂ emissions
2014,91.772,2010 = 100,CO₂ emissions
2015,93.658,2010 = 100,CO₂ emissions
2016,93.839,2010 = 100,CO₂ emissions
2017,92.089,2010 = 100,CO₂ emissions
