Year,Value,Units,Series,GeoCode
1993,8354.095,"Per 100,000 inhabitants",Criminal offences,
1994,8062.642,"Per 100,000 inhabitants",Criminal offences,
1995,8211.891,"Per 100,000 inhabitants",Criminal offences,
1996,8165.843,"Per 100,000 inhabitants",Criminal offences,
1997,8078.662,"Per 100,000 inhabitants",Criminal offences,
1998,7923.243,"Per 100,000 inhabitants",Criminal offences,
1999,7742.636,"Per 100,000 inhabitants",Criminal offences,
2000,7691.754,"Per 100,000 inhabitants",Criminal offences,
2001,7811.684,"Per 100,000 inhabitants",Criminal offences,
2002,7977.821,"Per 100,000 inhabitants",Criminal offences,
2003,8055.254,"Per 100,000 inhabitants",Criminal offences,
2004,8137.919,"Per 100,000 inhabitants",Criminal offences,
2005,7851.874,"Per 100,000 inhabitants",Criminal offences,
2006,7757.168,"Per 100,000 inhabitants",Criminal offences,
2007,7751.507,"Per 100,000 inhabitants",Criminal offences,
2008,7556.892,"Per 100,000 inhabitants",Criminal offences,
2009,7509.802,"Per 100,000 inhabitants",Criminal offences,
2010,7384.652,"Per 100,000 inhabitants",Criminal offences,
2011,7467.62,"Per 100,000 inhabitants",Criminal offences,
2012,7465.7,"Per 100,000 inhabitants",Criminal offences,
2013,7403.6,"Per 100,000 inhabitants",Criminal offences,
2014,7530.3,"Per 100,000 inhabitants",Criminal offences,
2015,7796.6,"Per 100,000 inhabitants",Criminal offences,
2016,7754.759,"Per 100,000 inhabitants",Criminal offences,
2017,6982.4,"Per 100,000 inhabitants",Criminal offences,
2018,6710.185,"Per 100,000 inhabitants",Criminal offences,
2019,6548.365,"Per 100,000 inhabitants",Criminal offences,
2020,6385.513,"Per 100,000 inhabitants",Criminal offences,
2021,6070.42,"Per 100,000 inhabitants",Criminal offences,
