Year,Value,Units,Series
2000,108.3,Kilogram per hectare,Moving five-year average shown for each middle year
2001,107.8,Kilogram per hectare,Moving five-year average shown for each middle year
2002,105.1,Kilogram per hectare,Moving five-year average shown for each middle year
2003,102.5,Kilogram per hectare,Moving five-year average shown for each middle year
2004,103.3,Kilogram per hectare,Moving five-year average shown for each middle year
2005,102.2,Kilogram per hectare,Moving five-year average shown for each middle year
2006,101.8,Kilogram per hectare,Moving five-year average shown for each middle year
2007,99.1,Kilogram per hectare,Moving five-year average shown for each middle year
2008,96.6,Kilogram per hectare,Moving five-year average shown for each middle year
2009,96.8,Kilogram per hectare,Moving five-year average shown for each middle year
2010,94.9,Kilogram per hectare,Moving five-year average shown for each middle year
2011,93.0,Kilogram per hectare,Moving five-year average shown for each middle year
2012,93.2,Kilogram per hectare,Moving five-year average shown for each middle year
2013,95.6,Kilogram per hectare,Moving five-year average shown for each middle year
2014,94.0,Kilogram per hectare,Moving five-year average shown for each middle year
2015,93.8,Kilogram per hectare,Moving five-year average shown for each middle year
2016,92.7,Kilogram per hectare,Moving five-year average shown for each middle year
2017,91.5,Kilogram per hectare,Moving five-year average shown for each middle year
2018,87.0,Kilogram per hectare,Moving five-year average shown for each middle year
2000,115.3,Kilogram per hectare,Calculated annual values
2001,101.7,Kilogram per hectare,Calculated annual values
2002,105.8,Kilogram per hectare,Calculated annual values
2003,105.4,Kilogram per hectare,Calculated annual values
2004,97.3,Kilogram per hectare,Calculated annual values
2005,102.4,Kilogram per hectare,Calculated annual values
2006,105.7,Kilogram per hectare,Calculated annual values
2007,100.4,Kilogram per hectare,Calculated annual values
2008,103.2,Kilogram per hectare,Calculated annual values
2009,83.7,Kilogram per hectare,Calculated annual values
2010,90.3,Kilogram per hectare,Calculated annual values
2011,106.2,Kilogram per hectare,Calculated annual values
2012,91.0,Kilogram per hectare,Calculated annual values
2013,93.6,Kilogram per hectare,Calculated annual values
2014,84.8,Kilogram per hectare,Calculated annual values
2015,102.1,Kilogram per hectare,Calculated annual values
2016,98.5,Kilogram per hectare,Calculated annual values
2017,90.0,Kilogram per hectare,Calculated annual values
2018,87.9,Kilogram per hectare,Calculated annual values
2019,78.7,Kilogram per hectare,Calculated annual values
2020,79.7,Kilogram per hectare,Calculated annual values
