Year,Value,Units
2007.0,29.659,Millions
2008.0,21.016,Millions
2009.0,31.126,Millions
2010.0,34.611,Millions
2011.0,36.372,Millions
2012.0,12.507,Millions
2013.0,17.184,Millions
2014.0,11.904,Millions
2015.0,4.987,Millions
2016.0,3.842,Millions
2017.0,2.539,Millions
2018.0,2.9,Millions
2019.0,0.2,Millions
2020.0,0.04,Millions
2007.0,29.659,Millions
2008.0,21.016,Millions
2009.0,31.126,Millions
2010.0,34.611,Millions
2011.0,36.372,Millions
2012.0,12.507,Millions
2013.0,17.184,Millions
2014.0,11.904,Millions
2015.0,4.987,Millions
2016.0,3.842,Millions
2017.0,2.539,Millions
2018.0,2.9,Millions
2019.0,0.2,Millions
2030.0,,Millions
