Year,Value,Units,GeoCode
2008.0,21.2,Percentage,
2009.0,24.0,Percentage,
2010.0,25.9,Percentage,
2011.0,28.0,Percentage,
2012.0,30.0,Percentage,
2013.0,32.6,Percentage,
2014.0,34.8,Percentage,
2015.0,36.9,Percentage,
2016.0,38.8,Percentage,
2017.0,40.4,Percentage,
2018.0,42.1,Percentage,
2019.0,43.5,Percentage,
2008.0,21.2,Percentage,
2009.0,24.0,Percentage,
2010.0,25.9,Percentage,
2011.0,28.0,Percentage,
2012.0,30.0,Percentage,
2013.0,32.6,Percentage,
2014.0,34.8,Percentage,
2015.0,36.9,Percentage,
2016.0,38.8,Percentage,
2017.0,40.4,Percentage,
2018.0,42.1,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
2030.0,,Percentage,
