Year,Value,Units,Series
2012,10.6,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation owing to German support
2013,11.6,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation owing to German support
2014,31.0,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation owing to German support
2015,11.0,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation owing to German support
2016,14.3,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation owing to German support
2017,28.6,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation owing to German support
2018,60.3,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation owing to German support
2019,20.4,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation owing to German support
2020,12.7,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation owing to German support
2012,10.6,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation owing to German support
2013,11.6,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation owing to German support
2014,31.0,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation owing to German support
2015,11.0,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation owing to German support
2016,14.3,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation owing to German support
2017,28.6,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation owing to German support
2018,60.3,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation owing to German support
2019,20.4,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation owing to German support
2012,,Millions,Number of people gaining first-time or upgraded access to drinking water owing to German support
2013,,Millions,Number of people gaining first-time or upgraded access to drinking water owing to German support
2014,,Millions,Number of people gaining first-time or upgraded access to drinking water owing to German support
2015,,Millions,Number of people gaining first-time or upgraded access to drinking water owing to German support
2016,,Millions,Number of people gaining first-time or upgraded access to drinking water owing to German support
2017,,Millions,Number of people gaining first-time or upgraded access to drinking water owing to German support
2018,,Millions,Number of people gaining first-time or upgraded access to drinking water owing to German support
2019,14.3,Millions,Number of people gaining first-time or upgraded access to drinking water owing to German support
2020,10.9,Millions,Number of people gaining first-time or upgraded access to drinking water owing to German support
2012,,Millions,Number of people gaining first-time or upgraded access to drinking water owing to German support
2013,,Millions,Number of people gaining first-time or upgraded access to drinking water owing to German support
2014,,Millions,Number of people gaining first-time or upgraded access to drinking water owing to German support
2015,,Millions,Number of people gaining first-time or upgraded access to drinking water owing to German support
2016,,Millions,Number of people gaining first-time or upgraded access to drinking water owing to German support
2017,,Millions,Number of people gaining first-time or upgraded access to drinking water owing to German support
2018,,Millions,Number of people gaining first-time or upgraded access to drinking water owing to German support
2019,14.3,Millions,Number of people gaining first-time or upgraded access to drinking water owing to German support
2012,,Millions,Number of people gaining first-time or improved access to sanitation owing to German support
2013,,Millions,Number of people gaining first-time or improved access to sanitation owing to German support
2014,,Millions,Number of people gaining first-time or improved access to sanitation owing to German support
2015,,Millions,Number of people gaining first-time or improved access to sanitation owing to German support
2016,,Millions,Number of people gaining first-time or improved access to sanitation owing to German support
2017,,Millions,Number of people gaining first-time or improved access to sanitation owing to German support
2018,,Millions,Number of people gaining first-time or improved access to sanitation owing to German support
2019,6.1,Millions,Number of people gaining first-time or improved access to sanitation owing to German support
2020,1.8,Millions,Number of people gaining first-time or improved access to sanitation owing to German support
2012,,Millions,Number of people gaining first-time or improved access to sanitation owing to German support
2013,,Millions,Number of people gaining first-time or improved access to sanitation owing to German support
2014,,Millions,Number of people gaining first-time or improved access to sanitation owing to German support
2015,,Millions,Number of people gaining first-time or improved access to sanitation owing to German support
2016,,Millions,Number of people gaining first-time or improved access to sanitation owing to German support
2017,,Millions,Number of people gaining first-time or improved access to sanitation owing to German support
2018,,Millions,Number of people gaining first-time or improved access to sanitation owing to German support
2019,6.1,Millions,Number of people gaining first-time or improved access to sanitation owing to German support
