Year,Value,Units,Series,GeoCode
2008.0,100.0,2008 = 100,Final energy productivity,
2009.0,99.68,2008 = 100,Final energy productivity,
2010.0,96.66,2008 = 100,Final energy productivity,
2011.0,105.29,2008 = 100,Final energy productivity,
2012.0,105.29,2008 = 100,Final energy productivity,
2013.0,102.76,2008 = 100,Final energy productivity,
2014.0,110.82,2008 = 100,Final energy productivity,
2015.0,109.96,2008 = 100,Final energy productivity,
2016.0,110.26,2008 = 100,Final energy productivity,
2017.0,111.54,2008 = 100,Final energy productivity,
2018.0,116.22,2008 = 100,Final energy productivity,
2019.0,116.8,2008 = 100,Final energy productivity,
2020.0,120.16,2008 = 100,Final energy productivity,
2021.0,119.52,2008 = 100,Final energy productivity,
2008.0,100.0,2008 = 100,Final energy productivity,
2009.0,99.68,2008 = 100,Final energy productivity,
2010.0,96.66,2008 = 100,Final energy productivity,
2011.0,105.29,2008 = 100,Final energy productivity,
2012.0,105.29,2008 = 100,Final energy productivity,
2013.0,102.76,2008 = 100,Final energy productivity,
2014.0,110.82,2008 = 100,Final energy productivity,
2015.0,109.96,2008 = 100,Final energy productivity,
2016.0,110.26,2008 = 100,Final energy productivity,
2017.0,111.54,2008 = 100,Final energy productivity,
2018.0,116.22,2008 = 100,Final energy productivity,
2019.0,116.8,2008 = 100,Final energy productivity,
2020.0,120.16,2008 = 100,Final energy productivity,
2030.0,,2008 = 100,Final energy productivity,
2020.0,,2008 = 100,Final energy productivity,
2050.0,,2008 = 100,Final energy productivity,
2030.0,,2008 = 100,Final energy productivity,
2050.0,,2008 = 100,Final energy productivity,
2030.0,,2008 = 100,Final energy productivity,
2050.0,,2008 = 100,Final energy productivity,
2030.0,,2008 = 100,Final energy productivity,
2050.0,,2008 = 100,Final energy productivity,
2030.0,,2008 = 100,Final energy productivity,
2050.0,,2008 = 100,Final energy productivity,
2030.0,,2008 = 100,Final energy productivity,
2050.0,,2008 = 100,Final energy productivity,
2030.0,,2008 = 100,Final energy productivity,
2050.0,,2008 = 100,Final energy productivity,
2030.0,,2008 = 100,Final energy productivity,
2050.0,,2008 = 100,Final energy productivity,
2030.0,,2008 = 100,Final energy productivity,
2050.0,,2008 = 100,Final energy productivity,
2030.0,,2008 = 100,Final energy productivity,
2050.0,,2008 = 100,Final energy productivity,
2030.0,,2008 = 100,Final energy productivity,
2050.0,,2008 = 100,Final energy productivity,
2030.0,,2008 = 100,Final energy productivity,
2050.0,,2008 = 100,Final energy productivity,
2030.0,,2008 = 100,Final energy productivity,
2050.0,,2008 = 100,Final energy productivity,
2030.0,,2008 = 100,Final energy productivity,
2050.0,,2008 = 100,Final energy productivity,
2030.0,,2008 = 100,Final energy productivity,
2050.0,,2008 = 100,Final energy productivity,
2030.0,,2008 = 100,Final energy productivity,
2050.0,,2008 = 100,Final energy productivity,
2030.0,,2008 = 100,Final energy productivity,
2050.0,,2008 = 100,Final energy productivity,
2008.0,100.0,2008 = 100,Primary energy consumption,
2009.0,94.1,2008 = 100,Primary energy consumption,
2010.0,98.87,2008 = 100,Primary energy consumption,
2011.0,94.57,2008 = 100,Primary energy consumption,
2012.0,93.51,2008 = 100,Primary energy consumption,
2013.0,96.12,2008 = 100,Primary energy consumption,
2014.0,91.65,2008 = 100,Primary energy consumption,
2015.0,92.22,2008 = 100,Primary energy consumption,
2016.0,93.82,2008 = 100,Primary energy consumption,
2017.0,94.04,2008 = 100,Primary energy consumption,
2018.0,91.3,2008 = 100,Primary energy consumption,
2019.0,89.05,2008 = 100,Primary energy consumption,
2020.0,82.72,2008 = 100,Primary energy consumption,
2021.0,85.29,2008 = 100,Primary energy consumption,
2008.0,100.0,2008 = 100,Primary energy consumption,
2009.0,94.1,2008 = 100,Primary energy consumption,
2010.0,98.87,2008 = 100,Primary energy consumption,
2011.0,94.57,2008 = 100,Primary energy consumption,
2012.0,93.51,2008 = 100,Primary energy consumption,
2013.0,96.12,2008 = 100,Primary energy consumption,
2014.0,91.65,2008 = 100,Primary energy consumption,
2015.0,92.22,2008 = 100,Primary energy consumption,
2016.0,93.82,2008 = 100,Primary energy consumption,
2017.0,94.04,2008 = 100,Primary energy consumption,
2018.0,91.3,2008 = 100,Primary energy consumption,
2019.0,89.05,2008 = 100,Primary energy consumption,
2020.0,82.72,2008 = 100,Primary energy consumption,
2030.0,,2008 = 100,Primary energy consumption,
2020.0,,2008 = 100,Primary energy consumption,
2050.0,,2008 = 100,Primary energy consumption,
2030.0,,2008 = 100,Primary energy consumption,
2050.0,,2008 = 100,Primary energy consumption,
2030.0,,2008 = 100,Primary energy consumption,
2050.0,,2008 = 100,Primary energy consumption,
2030.0,,2008 = 100,Primary energy consumption,
2050.0,,2008 = 100,Primary energy consumption,
2030.0,,2008 = 100,Primary energy consumption,
2050.0,,2008 = 100,Primary energy consumption,
2030.0,,2008 = 100,Primary energy consumption,
2050.0,,2008 = 100,Primary energy consumption,
2030.0,,2008 = 100,Primary energy consumption,
2050.0,,2008 = 100,Primary energy consumption,
2030.0,,2008 = 100,Primary energy consumption,
2050.0,,2008 = 100,Primary energy consumption,
2030.0,,2008 = 100,Primary energy consumption,
2050.0,,2008 = 100,Primary energy consumption,
2030.0,,2008 = 100,Primary energy consumption,
2050.0,,2008 = 100,Primary energy consumption,
2030.0,,2008 = 100,Primary energy consumption,
2050.0,,2008 = 100,Primary energy consumption,
2030.0,,2008 = 100,Primary energy consumption,
2050.0,,2008 = 100,Primary energy consumption,
2030.0,,2008 = 100,Primary energy consumption,
2050.0,,2008 = 100,Primary energy consumption,
2030.0,,2008 = 100,Primary energy consumption,
2050.0,,2008 = 100,Primary energy consumption,
2030.0,,2008 = 100,Primary energy consumption,
2050.0,,2008 = 100,Primary energy consumption,
2030.0,,2008 = 100,Primary energy consumption,
2050.0,,2008 = 100,Primary energy consumption,
2030.0,,2008 = 100,Primary energy consumption,
2050.0,,2008 = 100,Primary energy consumption,
