Year,Value,Units,GeoCode
2005.0,10.3,Percentage,
2006.0,11.7,Percentage,
2007.0,14.3,Percentage,
2008.0,15.2,Percentage,
2009.0,16.5,Percentage,
2010.0,17.1,Percentage,
2011.0,20.4,Percentage,
2012.0,23.6,Percentage,
2013.0,25.1,Percentage,
2014.0,27.3,Percentage,
2015.0,31.4,Percentage,
2016.0,31.6,Percentage,
2017.0,36.0,Percentage,
2018.0,37.6,Percentage,
2019.0,41.9,Percentage,
2020.0,45.2,Percentage,
2021.0,41.1,Percentage,
2005.0,10.3,Percentage,
2006.0,11.7,Percentage,
2007.0,14.3,Percentage,
2008.0,15.2,Percentage,
2009.0,16.5,Percentage,
2010.0,17.1,Percentage,
2011.0,20.4,Percentage,
2012.0,23.6,Percentage,
2013.0,25.1,Percentage,
2014.0,27.3,Percentage,
2015.0,31.4,Percentage,
2016.0,31.6,Percentage,
2017.0,36.0,Percentage,
2018.0,37.6,Percentage,
2019.0,41.9,Percentage,
2020.0,45.2,Percentage,
2020.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
2030.0,,Percentage,
2040.0,,Percentage,
2050.0,,Percentage,
