Year,Value,Units
2000,-1.58,Percentage
2001,-3.03,Percentage
2002,-3.87,Percentage
2003,-3.7,Percentage
2004,-3.33,Percentage
2005,-3.32,Percentage
2006,-1.65,Percentage
2007,0.26,Percentage
2008,-0.12,Percentage
2009,-3.15,Percentage
2010,-4.38,Percentage
2011,-0.88,Percentage
2012,0.01,Percentage
2013,0.04,Percentage
2014,0.58,Percentage
2015,0.96,Percentage
2016,1.16,Percentage
2017,1.34,Percentage
2018,1.91,Percentage
2019,1.47,Percentage
2020,-4.31,Percentage
2021,-3.71,Percentage
2005,-2.2,Percentage
2006,-1.8,Percentage
2007,-0.7,Percentage
2008,-0.6,Percentage
2009,-0.5,Percentage
2010,-2.1,Percentage
2011,-1.2,Percentage
2012,0.1,Percentage
2013,0.6,Percentage
2014,0.9,Percentage
2015,1.1,Percentage
2016,1.0,Percentage
2017,0.7,Percentage
2018,1.3,Percentage
2019,0.8,Percentage
2020,-2.0,Percentage
2021,-2.1,Percentage
