Year,Value,Units,GeoCode
1991,39.0,Percentage,
1992,41.5,Percentage,
1993,45.1,Percentage,
1994,47.5,Percentage,
1995,54.9,Percentage,
1996,57.8,Percentage,
1997,58.9,Percentage,
1998,59.5,Percentage,
1999,60.4,Percentage,
2000,59.3,Percentage,
2001,58.2,Percentage,
2002,59.9,Percentage,
2003,63.5,Percentage,
2004,65.2,Percentage,
2005,67.5,Percentage,
2006,66.9,Percentage,
2007,64.2,Percentage,
2008,65.7,Percentage,
2009,73.2,Percentage,
2010,82.0,Percentage,
2011,79.4,Percentage,
2012,80.7,Percentage,
2013,78.3,Percentage,
2014,75.3,Percentage,
2015,71.9,Percentage,
2016,69.0,Percentage,
2017,64.6,Percentage,
2018,61.2,Percentage,
2019,58.9,Percentage,
2020,68.7,Percentage,
2021,69.3,Percentage,
1992,20.7,Percentage,
1993,20.3,Percentage,
1994,21.1,Percentage,
1995,22.1,Percentage,
1996,23.0,Percentage,
1997,23.5,Percentage,
1998,23.6,Percentage,
1999,23.5,Percentage,
2000,22.8,Percentage,
2001,22.6,Percentage,
2002,24.1,Percentage,
2003,25.6,Percentage,
2004,26.7,Percentage,
2005,27.7,Percentage,
2006,27.3,Percentage,
2007,26.4,Percentage,
2008,25.9,Percentage,
2009,27.8,Percentage,
2010,29.7,Percentage,
2011,29.0,Percentage,
2012,28.0,Percentage,
2013,27.8,Percentage,
2014,26.9,Percentage,
2015,28.0,Percentage,
2016,26.0,Percentage,
2017,25.3,Percentage,
2018,24.1,Percentage,
2019,22.9,Percentage,
2020,26.1,Percentage,
2021,24.9,Percentage,
1991,19.8,Percentage,
1992,19.4,Percentage,
1993,19.3,Percentage,
1994,19.8,Percentage,
1995,19.6,Percentage,
1996,20.8,Percentage,
1997,21.1,Percentage,
1998,21.6,Percentage,
1999,22.1,Percentage,
2000,22.2,Percentage,
2001,22.1,Percentage,
2002,23.1,Percentage,
2003,24.1,Percentage,
2004,25.0,Percentage,
2005,26.1,Percentage,
2006,26.4,Percentage,
2007,25.0,Percentage,
2008,24.3,Percentage,
2009,26.9,Percentage,
2010,39.6,Percentage,
2011,39.5,Percentage,
2012,44.3,Percentage,
2013,40.4,Percentage,
2014,38.6,Percentage,
2015,37.7,Percentage,
2016,36.3,Percentage,
2017,33.5,Percentage,
2018,31.2,Percentage,
2019,31.0,Percentage,
2020,33.1,Percentage,
2021,31.6,Percentage,
1991,19.6,Percentage,
1992,19.8,Percentage,
1993,19.8,Percentage,
1994,20.0,Percentage,
1995,20.3,Percentage,
1996,20.9,Percentage,
1997,21.6,Percentage,
1998,22.7,Percentage,
1999,23.2,Percentage,
2000,23.6,Percentage,
2001,24.1,Percentage,
2002,25.0,Percentage,
2003,26.3,Percentage,
2004,27.0,Percentage,
2005,28.1,Percentage,
2006,30.1,Percentage,
2007,29.4,Percentage,
2008,29.2,Percentage,
2009,31.5,Percentage,
2010,36.7,Percentage,
2011,36.9,Percentage,
2012,37.0,Percentage,
2013,36.4,Percentage,
2014,35.5,Percentage,
2015,34.3,Percentage,
2016,33.7,Percentage,
2017,32.2,Percentage,
2018,30.2,Percentage,
2019,29.2,Percentage,
2020,30.6,Percentage,
2021,25.2,Percentage,
1991,36.5,Percentage,
1992,38.0,Percentage,
1993,38.5,Percentage,
1994,39.6,Percentage,
1995,36.9,Percentage,
1996,37.4,Percentage,
1997,36.0,Percentage,
1998,34.3,Percentage,
1999,32.9,Percentage,
2000,31.9,Percentage,
2001,30.8,Percentage,
2002,27.5,Percentage,
2003,28.6,Percentage,
2004,28.9,Percentage,
2005,29.0,Percentage,
2006,32.6,Percentage,
2007,32.4,Percentage,
2008,33.4,Percentage,
2009,40.6,Percentage,
2010,48.4,Percentage,
2011,47.7,Percentage,
2012,50.0,Percentage,
2013,52.7,Percentage,
2014,52.5,Percentage,
2015,52.4,Percentage,
2016,52.1,Percentage,
2017,50.1,Percentage,
2018,48.6,Percentage,
2019,48.6,Percentage,
2020,51.6,Percentage,
2021,48.9,Percentage,
1991,5.0,Percentage,
1992,10.4,Percentage,
1993,8.5,Percentage,
1994,13.2,Percentage,
1995,14.9,Percentage,
1996,17.6,Percentage,
1997,19.6,Percentage,
1998,20.9,Percentage,
1999,21.2,Percentage,
2000,21.1,Percentage,
2001,20.8,Percentage,
2002,20.1,Percentage,
2003,20.1,Percentage,
2004,20.1,Percentage,
2005,20.6,Percentage,
2006,18.1,Percentage,
2007,16.0,Percentage,
2008,13.3,Percentage,
2009,11.7,Percentage,
2010,10.7,Percentage,
2011,9.1,Percentage,
2012,9.2,Percentage,
2013,8.1,Percentage,
2014,6.8,Percentage,
2015,5.8,Percentage,
2016,4.5,Percentage,
2017,3.8,Percentage,
2018,3.4,Percentage,
2019,2.9,Percentage,
2020,5.8,Percentage,
2021,6.3,Percentage,
1991,5.4,Percentage,
1992,15.9,Percentage,
1993,13.0,Percentage,
1994,19.1,Percentage,
1995,23.1,Percentage,
1996,27.2,Percentage,
1997,32.8,Percentage,
1998,36.1,Percentage,
1999,39.4,Percentage,
2000,41.8,Percentage,
2001,39.1,Percentage,
2002,39.9,Percentage,
2003,42.5,Percentage,
2004,43.9,Percentage,
2005,46.9,Percentage,
2006,47.1,Percentage,
2007,46.4,Percentage,
2008,44.9,Percentage,
2009,46.8,Percentage,
2010,47.4,Percentage,
2011,46.4,Percentage,
2012,44.2,Percentage,
2013,42.4,Percentage,
2014,41.6,Percentage,
2015,41.5,Percentage,
2016,39.5,Percentage,
2017,38.7,Percentage,
2018,36.4,Percentage,
2019,36.3,Percentage,
2020,37.4,Percentage,
2021,36.6,Percentage,
1991,23.7,Percentage,
1992,23.6,Percentage,
1993,23.1,Percentage,
1994,24.2,Percentage,
1995,24.3,Percentage,
1996,25.4,Percentage,
1997,26.1,Percentage,
1998,27.0,Percentage,
1999,27.3,Percentage,
2000,27.5,Percentage,
2001,27.1,Percentage,
2002,28.6,Percentage,
2003,29.9,Percentage,
2004,31.3,Percentage,
2005,32.7,Percentage,
2006,35.0,Percentage,
2007,34.3,Percentage,
2008,33.6,Percentage,
2009,38.9,Percentage,
2010,42.1,Percentage,
2011,41.6,Percentage,
2012,40.7,Percentage,
2013,39.6,Percentage,
2014,38.7,Percentage,
2015,37.6,Percentage,
2016,38.5,Percentage,
2017,36.2,Percentage,
2018,37.0,Percentage,
2019,35.2,Percentage,
2020,37.0,Percentage,
2021,36.2,Percentage,
1991,6.7,Percentage,
1992,12.7,Percentage,
1993,10.3,Percentage,
1994,16.9,Percentage,
1995,24.9,Percentage,
1996,28.5,Percentage,
1997,31.5,Percentage,
1998,30.1,Percentage,
1999,31.8,Percentage,
2000,33.6,Percentage,
2001,34.5,Percentage,
2002,35.6,Percentage,
2003,36.3,Percentage,
2004,37.4,Percentage,
2005,39.7,Percentage,
2006,41.5,Percentage,
2007,39.3,Percentage,
2008,37.8,Percentage,
2009,39.9,Percentage,
2010,39.4,Percentage,
2011,37.1,Percentage,
2012,36.0,Percentage,
2013,35.7,Percentage,
2014,33.3,Percentage,
2015,32.2,Percentage,
2016,30.7,Percentage,
2017,30.2,Percentage,
2018,27.4,Percentage,
2019,26.4,Percentage,
2020,28.6,Percentage,
2021,28.1,Percentage,
1991,11.5,Percentage,
1992,11.6,Percentage,
1993,11.6,Percentage,
1994,11.7,Percentage,
1995,12.0,Percentage,
1996,11.8,Percentage,
1997,12.2,Percentage,
1998,12.1,Percentage,
1999,11.9,Percentage,
2000,11.7,Percentage,
2001,11.4,Percentage,
2002,12.1,Percentage,
2003,12.3,Percentage,
2004,12.8,Percentage,
2005,13.3,Percentage,
2006,13.5,Percentage,
2007,12.8,Percentage,
2008,12.5,Percentage,
2009,17.7,Percentage,
2010,17.0,Percentage,
2011,16.9,Percentage,
2012,16.6,Percentage,
2013,16.6,Percentage,
2014,13.5,Percentage,
2015,13.3,Percentage,
2016,13.0,Percentage,
2017,11.0,Percentage,
2018,10.2,Percentage,
2019,10.1,Percentage,
2020,11.3,Percentage,
2021,10.7,Percentage,
1991,9.3,Percentage,
1992,9.1,Percentage,
1993,8.9,Percentage,
1994,8.9,Percentage,
1995,8.6,Percentage,
1996,8.6,Percentage,
1997,9.2,Percentage,
1998,9.4,Percentage,
1999,9.4,Percentage,
2000,9.0,Percentage,
2001,8.5,Percentage,
2002,8.4,Percentage,
2003,8.9,Percentage,
2004,9.2,Percentage,
2005,9.4,Percentage,
2006,9.3,Percentage,
2007,8.6,Percentage,
2008,8.2,Percentage,
2009,9.7,Percentage,
2010,9.6,Percentage,
2011,8.8,Percentage,
2012,8.5,Percentage,
2013,7.8,Percentage,
2014,7.1,Percentage,
2015,6.4,Percentage,
2016,5.7,Percentage,
2017,5.0,Percentage,
2018,4.4,Percentage,
2019,4.0,Percentage,
2020,5.1,Percentage,
2021,5.2,Percentage,
1991,11.9,Percentage,
1992,14.0,Percentage,
1993,16.9,Percentage,
1994,19.4,Percentage,
1995,25.1,Percentage,
1996,29.3,Percentage,
1997,32.4,Percentage,
1998,35.0,Percentage,
1999,37.2,Percentage,
2000,39.1,Percentage,
2001,44.4,Percentage,
2002,51.9,Percentage,
2003,57.1,Percentage,
2004,63.1,Percentage,
2005,65.8,Percentage,
2006,65.1,Percentage,
2007,59.9,Percentage,
2008,56.5,Percentage,
2009,59.3,Percentage,
2010,58.5,Percentage,
2011,56.8,Percentage,
