Year,Value,Units,GeoCode
1991,27.744,1.000 EUR,
1992,28.092,1.000 EUR,
1993,27.665,1.000 EUR,
1994,28.256,1.000 EUR,
1995,28.636,1.000 EUR,
1996,28.81,1.000 EUR,
1997,29.311,1.000 EUR,
1998,29.925,1.000 EUR,
1999,30.498,1.000 EUR,
2000,31.373,1.000 EUR,
2001,31.877,1.000 EUR,
2002,31.79,1.000 EUR,
2003,31.579,1.000 EUR,
2004,31.987,1.000 EUR,
2005,32.268,1.000 EUR,
2006,33.567,1.000 EUR,
2007,34.643,1.000 EUR,
2008,35.075,1.000 EUR,
2009,33.193,1.000 EUR,
2010,34.666,1.000 EUR,
2011,36.031,1.000 EUR,
2012,36.114,1.000 EUR,
2013,36.173,1.000 EUR,
2014,36.818,1.000 EUR,
2015,37.046,1.000 EUR,
2016,37.567,1.000 EUR,
2017,38.43,1.000 EUR,
2018,38.691,1.000 EUR,
2019,39.012,1.000 EUR,
2020,37.539,1.000 EUR,
2021,38.509,1.000 EUR,
1992,33.554,1.000 EUR,
1993,31.872,1.000 EUR,
1994,32.318,1.000 EUR,
1995,32.757,1.000 EUR,
1996,32.955,1.000 EUR,
1997,33.452,1.000 EUR,
1998,34.207,1.000 EUR,
1999,34.985,1.000 EUR,
2000,36.094,1.000 EUR,
2001,37.097,1.000 EUR,
2002,36.577,1.000 EUR,
2003,36.39,1.000 EUR,
2004,36.447,1.000 EUR,
2005,36.6,1.000 EUR,
2006,38.932,1.000 EUR,
2007,40.377,1.000 EUR,
2008,40.575,1.000 EUR,
2009,36.636,1.000 EUR,
2010,39.525,1.000 EUR,
2011,41.526,1.000 EUR,
2012,41.641,1.000 EUR,
2013,41.71,1.000 EUR,
2014,42.338,1.000 EUR,
2015,42.91,1.000 EUR,
2016,42.896,1.000 EUR,
2017,44.159,1.000 EUR,
2018,44.898,1.000 EUR,
2019,44.65,1.000 EUR,
2020,42.175,1.000 EUR,
2021,43.57,1.000 EUR,
1991,31.338,1.000 EUR,
1992,31.795,1.000 EUR,
1993,30.919,1.000 EUR,
1994,31.245,1.000 EUR,
1995,31.369,1.000 EUR,
1996,31.57,1.000 EUR,
1997,32.147,1.000 EUR,
1998,33.269,1.000 EUR,
1999,34.087,1.000 EUR,
2000,35.464,1.000 EUR,
2001,36.25,1.000 EUR,
2002,36.334,1.000 EUR,
2003,35.688,1.000 EUR,
2004,36.386,1.000 EUR,
2005,36.808,1.000 EUR,
2006,38.194,1.000 EUR,
2007,39.34,1.000 EUR,
2008,39.361,1.000 EUR,
2009,37.736,1.000 EUR,
2010,39.633,1.000 EUR,
2011,41.905,1.000 EUR,
2012,42.1,1.000 EUR,
2013,42.357,1.000 EUR,
2014,43.1,1.000 EUR,
2015,43.445,1.000 EUR,
2016,44.126,1.000 EUR,
2017,45.475,1.000 EUR,
2018,45.417,1.000 EUR,
2019,45.985,1.000 EUR,
2020,43.892,1.000 EUR,
2021,45.126,1.000 EUR,
1991,28.004,1.000 EUR,
1992,28.982,1.000 EUR,
1993,29.759,1.000 EUR,
1994,30.274,1.000 EUR,
1995,30.812,1.000 EUR,
1996,30.599,1.000 EUR,
1997,30.3,1.000 EUR,
1998,30.804,1.000 EUR,
1999,31.053,1.000 EUR,
2000,31.686,1.000 EUR,
2001,31.698,1.000 EUR,
2002,31.077,1.000 EUR,
2003,30.414,1.000 EUR,
2004,30.182,1.000 EUR,
2005,30.79,1.000 EUR,
2006,31.83,1.000 EUR,
2007,32.765,1.000 EUR,
2008,33.955,1.000 EUR,
2009,33.534,1.000 EUR,
2010,34.467,1.000 EUR,
2011,35.491,1.000 EUR,
2012,34.914,1.000 EUR,
2013,34.539,1.000 EUR,
2014,34.988,1.000 EUR,
2015,35.741,1.000 EUR,
2016,37.023,1.000 EUR,
2017,38.097,1.000 EUR,
2018,39.209,1.000 EUR,
2019,40.051,1.000 EUR,
2020,38.446,1.000 EUR,
2021,39.743,1.000 EUR,
1991,12.819,1.000 EUR,
1992,14.076,1.000 EUR,
1993,15.751,1.000 EUR,
1994,17.497,1.000 EUR,
1995,18.886,1.000 EUR,
1996,19.631,1.000 EUR,
1997,19.974,1.000 EUR,
1998,20.105,1.000 EUR,
1999,20.84,1.000 EUR,
2000,21.432,1.000 EUR,
2001,21.538,1.000 EUR,
2002,21.649,1.000 EUR,
2003,21.741,1.000 EUR,
2004,22.175,1.000 EUR,
2005,22.431,1.000 EUR,
2006,23.325,1.000 EUR,
2007,23.799,1.000 EUR,
2008,24.407,1.000 EUR,
2009,23.85,1.000 EUR,
2010,24.659,1.000 EUR,
2011,24.989,1.000 EUR,
2012,25.347,1.000 EUR,
2013,25.485,1.000 EUR,
2014,26.406,1.000 EUR,
2015,26.442,1.000 EUR,
2016,26.793,1.000 EUR,
2017,27.375,1.000 EUR,
2018,27.473,1.000 EUR,
2019,27.886,1.000 EUR,
2020,26.898,1.000 EUR,
2021,27.068,1.000 EUR,
1991,38.67,1.000 EUR,
1992,38.047,1.000 EUR,
1993,36.524,1.000 EUR,
1994,37.235,1.000 EUR,
1995,37.35,1.000 EUR,
1996,37.41,1.000 EUR,
1997,38.586,1.000 EUR,
1998,39.119,1.000 EUR,
1999,39.291,1.000 EUR,
2000,41.345,1.000 EUR,
2001,42.255,1.000 EUR,
2002,42.851,1.000 EUR,
2003,43.167,1.000 EUR,
2004,43.124,1.000 EUR,
2005,43.616,1.000 EUR,
2006,45.582,1.000 EUR,
2007,46.219,1.000 EUR,
2008,46.338,1.000 EUR,
2009,42.022,1.000 EUR,
2010,44.196,1.000 EUR,
2011,45.128,1.000 EUR,
2012,46.384,1.000 EUR,
2013,45.75,1.000 EUR,
2014,46.054,1.000 EUR,
2015,45.739,1.000 EUR,
2016,46.006,1.000 EUR,
2017,46.316,1.000 EUR,
2018,46.089,1.000 EUR,
2019,45.388,1.000 EUR,
2020,43.608,1.000 EUR,
2021,45.152,1.000 EUR,
1991,49.864,1.000 EUR,
1992,49.115,1.000 EUR,
1993,48.739,1.000 EUR,
1994,49.086,1.000 EUR,
1995,49.354,1.000 EUR,
1996,50.454,1.000 EUR,
1997,52.442,1.000 EUR,
1998,53.352,1.000 EUR,
1999,54.321,1.000 EUR,
2000,55.52,1.000 EUR,
2001,58.292,1.000 EUR,
2002,58.448,1.000 EUR,
2003,57.124,1.000 EUR,
2004,57.556,1.000 EUR,
2005,58.414,1.000 EUR,
2006,59.218,1.000 EUR,
2007,60.184,1.000 EUR,
2008,62.367,1.000 EUR,
2009,59.867,1.000 EUR,
2010,60.112,1.000 EUR,
2011,60.08,1.000 EUR,
2012,59.854,1.000 EUR,
2013,61.152,1.000 EUR,
2014,60.434,1.000 EUR,
2015,60.935,1.000 EUR,
2016,61.417,1.000 EUR,
2017,61.783,1.000 EUR,
2018,61.305,1.000 EUR,
2019,62.854,1.000 EUR,
2020,58.479,1.000 EUR,
2021,59.652,1.000 EUR,
1991,36.137,1.000 EUR,
1992,36.103,1.000 EUR,
1993,35.143,1.000 EUR,
1994,35.31,1.000 EUR,
1995,35.528,1.000 EUR,
1996,36.121,1.000 EUR,
1997,36.685,1.000 EUR,
1998,37.404,1.000 EUR,
1999,38.465,1.000 EUR,
2000,39.73,1.000 EUR,
2001,40.619,1.000 EUR,
2002,39.922,1.000 EUR,
2003,40.092,1.000 EUR,
2004,40.119,1.000 EUR,
2005,40.271,1.000 EUR,
2006,41.661,1.000 EUR,
2007,42.795,1.000 EUR,
2008,43.136,1.000 EUR,
2009,40.089,1.000 EUR,
2010,41.327,1.000 EUR,
2011,42.722,1.000 EUR,
2012,42.19,1.000 EUR,
2013,42.22,1.000 EUR,
2014,42.658,1.000 EUR,
2015,42.422,1.000 EUR,
2016,43.154,1.000 EUR,
2017,43.863,1.000 EUR,
2018,43.955,1.000 EUR,
2019,44.359,1.000 EUR,
2020,42.173,1.000 EUR,
2021,43.552,1.000 EUR,
1991,12.444,1.000 EUR,
1992,13.635,1.000 EUR,
1993,15.171,1.000 EUR,
1994,17.006,1.000 EUR,
