Year,Units,degree of urbanisation,federal state,GeoCode,Value
2004,m² per inhabitant and year,,,,-5.1
2005,m² per inhabitant and year,,,,-5.0
2006,m² per inhabitant and year,,,,-4.8
2007,m² per inhabitant and year,,,,-4.7
2008,m² per inhabitant and year,,,,-4.6
2009,m² per inhabitant and year,,,,-4.3
2010,m² per inhabitant and year,,,,-4.0
2011,m² per inhabitant and year,,,,-4.2
2012,m² per inhabitant and year,,,,-3.8
2013,m² per inhabitant and year,,,,-3.6
2014,m² per inhabitant and year,,,,-3.7
2015,m² per inhabitant and year,,,,-2.9
2016,m² per inhabitant and year,,,,-2.7
2017,m² per inhabitant and year,,,,-2.8
2018,m² per inhabitant and year,,,,-2.8
2019,m² per inhabitant and year,,,,-2.8
2020,m² per inhabitant and year,,,,-2.8
2004,m² per inhabitant and year,non-rural areas,,,-1.8
2005,m² per inhabitant and year,,,,-1.8
2006,m² per inhabitant and year,,,,-1.7
2007,m² per inhabitant and year,,,,-1.7
2008,m² per inhabitant and year,,,,-1.7
2009,m² per inhabitant and year,,,,-1.5
2010,m² per inhabitant and year,,,,-1.5
2011,m² per inhabitant and year,,,,-1.4
2012,m² per inhabitant and year,,,,-1.2
2013,m² per inhabitant and year,,,,-1.2
2014,m² per inhabitant and year,,,,-1.1
2015,m² per inhabitant and year,,,,-1.0
2016,m² per inhabitant and year,,,,-0.6
2017,m² per inhabitant and year,,,,-0.6
2018,m² per inhabitant and year,,,,-0.6
2019,m² per inhabitant and year,,,,-0.5
2020,m² per inhabitant and year,,,,-0.7
2004,m² per inhabitant and year,,,,-7.4
2005,m² per inhabitant and year,,,,-7.3
2006,m² per inhabitant and year,,,,-7.1
2007,m² per inhabitant and year,,,,-6.9
2008,m² per inhabitant and year,,,,-6.7
2009,m² per inhabitant and year,,,,-6.4
2010,m² per inhabitant and year,,,,-5.9
2011,m² per inhabitant and year,,,,-6.3
2012,m² per inhabitant and year,,,,-5.7
2013,m² per inhabitant and year,,,,-5.5
2014,m² per inhabitant and year,,,,-5.7
2015,m² per inhabitant and year,,,,-4.3
2016,m² per inhabitant and year,,,,-4.3
2017,m² per inhabitant and year,,,,-4.4
2018,m² per inhabitant and year,,,,-4.5
