Year,Units,time series,federal state,GeoCode,Value
2012,minutes,for the medium-sized and major cities of the year in question,,,23.49
2016,minutes,for the medium-sized and major cities of the year in question,,,22.41
2018,minutes,for the medium-sized and major cities of the year in question,,,21.86
2020,minutes,for the medium-sized and major cities of the year in question,,,20.59
2012,minutes,for the medium-sized and major cities of the year in question,,,23.49
2013,minutes,for the medium-sized and major cities of the year in question,,,
2014,minutes,for the medium-sized and major cities of the year in question,,,
2015,minutes,for the medium-sized and major cities of the year in question,,,
2016,minutes,for the medium-sized and major cities of the year in question,,,22.41
2017,minutes,for the medium-sized and major cities of the year in question,,,
2018,minutes,for the medium-sized and major cities of the year in question,,,21.86
2019,minutes,for the medium-sized and major cities of the year in question,,,
2012,minutes,for the medium-sized and major cities of 2012,,,23.5
2016,minutes,for the medium-sized and major cities of 2012,,,22.75
2018,minutes,for the medium-sized and major cities of 2012,,,22.5
2020,minutes,for the medium-sized and major cities of 2012,,,21.3
2012,minutes,for the medium-sized and major cities of 2012,,,23.5
2013,minutes,for the medium-sized and major cities of 2012,,,
2014,minutes,for the medium-sized and major cities of 2012,,,
2015,minutes,for the medium-sized and major cities of 2012,,,
2016,minutes,for the medium-sized and major cities of 2012,,,22.75
2017,minutes,for the medium-sized and major cities of 2012,,,
2018,minutes,for the medium-sized and major cities of 2012,,,22.5
2019,minutes,for the medium-sized and major cities of 2012,,,
2012,minutes,for the medium-sized and major cities of the year in question,baden-wuerttemberg,code08,22.8
2016,minutes,for the medium-sized and major cities of the year in question,baden-wuerttemberg,code08,21.85
2018,minutes,for the medium-sized and major cities of the year in question,baden-wuerttemberg,code08,21.61
2020,minutes,for the medium-sized and major cities of the year in question,baden-wuerttemberg,code08,20.47
2012,minutes,for the medium-sized and major cities of the year in question,baden-wuerttemberg,code08,22.8
2013,minutes,for the medium-sized and major cities of the year in question,baden-wuerttemberg,code08,
2014,minutes,for the medium-sized and major cities of the year in question,baden-wuerttemberg,code08,
2015,minutes,for the medium-sized and major cities of the year in question,baden-wuerttemberg,code08,
2016,minutes,for the medium-sized and major cities of the year in question,baden-wuerttemberg,code08,21.85
2017,minutes,for the medium-sized and major cities of the year in question,baden-wuerttemberg,code08,
2018,minutes,for the medium-sized and major cities of the year in question,baden-wuerttemberg,code08,21.61
2019,minutes,for the medium-sized and major cities of the year in question,baden-wuerttemberg,code08,
2012,minutes,for the medium-sized and major cities of the year in question,bavaria,code09,23.67
2016,minutes,for the medium-sized and major cities of the year in question,bavaria,code09,22.42
2018,minutes,for the medium-sized and major cities of the year in question,bavaria,code09,20.86
2020,minutes,for the medium-sized and major cities of the year in question,bavaria,code09,19.24
2012,minutes,for the medium-sized and major cities of the year in question,bavaria,code09,23.67
2013,minutes,for the medium-sized and major cities of the year in question,bavaria,code09,
2014,minutes,for the medium-sized and major cities of the year in question,bavaria,code09,
2015,minutes,for the medium-sized and major cities of the year in question,bavaria,code09,
2016,minutes,for the medium-sized and major cities of the year in question,bavaria,code09,22.42
2017,minutes,for the medium-sized and major cities of the year in question,bavaria,code09,
2018,minutes,for the medium-sized and major cities of the year in question,bavaria,code09,20.86
2019,minutes,for the medium-sized and major cities of the year in question,bavaria,code09,
2012,minutes,for the medium-sized and major cities of the year in question,berlin,code11,27.19
2016,minutes,for the medium-sized and major cities of the year in question,berlin,code11,24.87
2018,minutes,for the medium-sized and major cities of the year in question,berlin,code11,24.4
2020,minutes,for the medium-sized and major cities of the year in question,berlin,code11,23.39
2012,minutes,for the medium-sized and major cities of the year in question,berlin,code11,27.19
2013,minutes,for the medium-sized and major cities of the year in question,berlin,code11,
2014,minutes,for the medium-sized and major cities of the year in question,berlin,code11,
2015,minutes,for the medium-sized and major cities of the year in question,berlin,code11,
2016,minutes,for the medium-sized and major cities of the year in question,berlin,code11,24.87
2017,minutes,for the medium-sized and major cities of the year in question,berlin,code11,
2018,minutes,for the medium-sized and major cities of the year in question,berlin,code11,24.4
2019,minutes,for the medium-sized and major cities of the year in question,berlin,code11,
2012,minutes,for the medium-sized and major cities of the year in question,brandenburg,code12,24.59
2016,minutes,for the medium-sized and major cities of the year in question,brandenburg,code12,22.27
2018,minutes,for the medium-sized and major cities of the year in question,brandenburg,code12,21.48
2020,minutes,for the medium-sized and major cities of the year in question,brandenburg,code12,19.25
2012,minutes,for the medium-sized and major cities of the year in question,brandenburg,code12,24.59
2013,minutes,for the medium-sized and major cities of the year in question,brandenburg,code12,
2014,minutes,for the medium-sized and major cities of the year in question,brandenburg,code12,
2015,minutes,for the medium-sized and major cities of the year in question,brandenburg,code12,
2016,minutes,for the medium-sized and major cities of the year in question,brandenburg,code12,22.27
2017,minutes,for the medium-sized and major cities of the year in question,brandenburg,code12,
2018,minutes,for the medium-sized and major cities of the year in question,brandenburg,code12,21.48
2019,minutes,for the medium-sized and major cities of the year in question,brandenburg,code12,
2012,minutes,for the medium-sized and major cities of the year in question,bremen,code04,24.54
2016,minutes,for the medium-sized and major cities of the year in question,bremen,code04,22.52
2018,minutes,for the medium-sized and major cities of the year in question,bremen,code04,21.83
2020,minutes,for the medium-sized and major cities of the year in question,bremen,code04,20.65
2012,minutes,for the medium-sized and major cities of the year in question,bremen,code04,24.54
2013,minutes,for the medium-sized and major cities of the year in question,bremen,code04,
2014,minutes,for the medium-sized and major cities of the year in question,bremen,code04,
2015,minutes,for the medium-sized and major cities of the year in question,bremen,code04,
2016,minutes,for the medium-sized and major cities of the year in question,bremen,code04,22.52
2017,minutes,for the medium-sized and major cities of the year in question,bremen,code04,
2018,minutes,for the medium-sized and major cities of the year in question,bremen,code04,21.83
2019,minutes,for the medium-sized and major cities of the year in question,bremen,code04,
2012,minutes,for the medium-sized and major cities of the year in question,hamburg,code02,23.55
2016,minutes,for the medium-sized and major cities of the year in question,hamburg,code02,25.81
2018,minutes,for the medium-sized and major cities of the year in question,hamburg,code02,25.87
2020,minutes,for the medium-sized and major cities of the year in question,hamburg,code02,25.91
2012,minutes,for the medium-sized and major cities of the year in question,hamburg,code02,23.55
2013,minutes,for the medium-sized and major cities of the year in question,hamburg,code02,
2014,minutes,for the medium-sized and major cities of the year in question,hamburg,code02,
2015,minutes,for the medium-sized and major cities of the year in question,hamburg,code02,
2016,minutes,for the medium-sized and major cities of the year in question,hamburg,code02,25.81
2017,minutes,for the medium-sized and major cities of the year in question,hamburg,code02,
2018,minutes,for the medium-sized and major cities of the year in question,hamburg,code02,25.87
2019,minutes,for the medium-sized and major cities of the year in question,hamburg,code02,
2012,minutes,for the medium-sized and major cities of the year in question,hesse,code06,20.2
2016,minutes,for the medium-sized and major cities of the year in question,hesse,code06,19.26
2018,minutes,for the medium-sized and major cities of the year in question,hesse,code06,18.93
2020,minutes,for the medium-sized and major cities of the year in question,hesse,code06,17.53
2012,minutes,for the medium-sized and major cities of the year in question,hesse,code06,20.2
2013,minutes,for the medium-sized and major cities of the year in question,hesse,code06,
2014,minutes,for the medium-sized and major cities of the year in question,hesse,code06,
2015,minutes,for the medium-sized and major cities of the year in question,hesse,code06,
2016,minutes,for the medium-sized and major cities of the year in question,hesse,code06,19.26
2017,minutes,for the medium-sized and major cities of the year in question,hesse,code06,
2018,minutes,for the medium-sized and major cities of the year in question,hesse,code06,18.93
2019,minutes,for the medium-sized and major cities of the year in question,hesse,code06,
2012,minutes,for the medium-sized and major cities of the year in question,mecklenburg western pomerania,code13,32.31
2016,minutes,for the medium-sized and major cities of the year in question,mecklenburg western pomerania,code13,30.67
2018,minutes,for the medium-sized and major cities of the year in question,mecklenburg western pomerania,code13,30.6
2020,minutes,for the medium-sized and major cities of the year in question,mecklenburg western pomerania,code13,28.34
2012,minutes,for the medium-sized and major cities of the year in question,mecklenburg western pomerania,code13,32.31
2013,minutes,for the medium-sized and major cities of the year in question,mecklenburg western pomerania,code13,
2014,minutes,for the medium-sized and major cities of the year in question,mecklenburg western pomerania,code13,
2015,minutes,for the medium-sized and major cities of the year in question,mecklenburg western pomerania,code13,
2016,minutes,for the medium-sized and major cities of the year in question,mecklenburg western pomerania,code13,30.67
2017,minutes,for the medium-sized and major cities of the year in question,mecklenburg western pomerania,code13,
2018,minutes,for the medium-sized and major cities of the year in question,mecklenburg western pomerania,code13,30.6
2019,minutes,for the medium-sized and major cities of the year in question,mecklenburg western pomerania,code13,
2012,minutes,for the medium-sized and major cities of the year in question,lower saxony,code03,27.44
2016,minutes,for the medium-sized and major cities of the year in question,lower saxony,code03,25.6
