Year,Units,Series,federal state,GeoCode,Value
2005,1 000,employees in emas organisations,,,961.0
2006,1 000,employees in emas organisations,,,926.0
2007,1 000,employees in emas organisations,,,860.0
2008,1 000,employees in emas organisations,,,840.0
2009,1 000,employees in emas organisations,,,803.0
2010,1 000,employees in emas organisations,,,781.0
2011,1 000,employees in emas organisations,,,765.0
2012,1 000,employees in emas organisations,,,773.0
2013,1 000,employees in emas organisations,,,788.0
2014,1 000,employees in emas organisations,,,785.0
2015,1 000,employees in emas organisations,,,801.0
2016,1 000,employees in emas organisations,,,842.0
2017,1 000,employees in emas organisations,,,985.0
2018,1 000,employees in emas organisations,,,929.0
2019,1 000,employees in emas organisations,,,988.0
2020,1 000,employees in emas organisations,,,860.0
2021,1 000,employees in emas organisations,,,911.0
2005,number,locations of organisation registered with emas,,,1958.0
2006,number,locations of organisation registered with emas,,,1985.0
2007,number,locations of organisation registered with emas,,,1956.0
2008,number,locations of organisation registered with emas,,,1917.0
2009,number,locations of organisation registered with emas,,,1906.0
2010,number,locations of organisation registered with emas,,,1913.0
2011,number,locations of organisation registered with emas,,,1909.0
2012,number,locations of organisation registered with emas,,,1828.0
2013,number,locations of organisation registered with emas,,,1862.0
2014,number,locations of organisation registered with emas,,,1906.0
2015,number,locations of organisation registered with emas,,,2004.0
2016,number,locations of organisation registered with emas,,,2073.0
2017,number,locations of organisation registered with emas,,,2182.0
2018,number,locations of organisation registered with emas,,,2167.0
2019,number,locations of organisation registered with emas,,,2176.0
2020,number,locations of organisation registered with emas,,,2184.0
2021,number,locations of organisation registered with emas,,,2290.0
2005,number,locations of organisation registered with emas,baden-wuerttemberg,code08,
2006,number,locations of organisation registered with emas,,,
2007,number,locations of organisation registered with emas,,,
2008,number,locations of organisation registered with emas,,,
2009,number,locations of organisation registered with emas,,,
2010,number,locations of organisation registered with emas,,,493.0
2011,number,locations of organisation registered with emas,,,498.0
2012,number,locations of organisation registered with emas,,,508.0
2013,number,locations of organisation registered with emas,,,522.0
2014,number,locations of organisation registered with emas,,,538.0
2015,number,locations of organisation registered with emas,,,578.0
2016,number,locations of organisation registered with emas,,,582.0
2017,number,locations of organisation registered with emas,,,574.0
2018,number,locations of organisation registered with emas,,,591.0
2019,number,locations of organisation registered with emas,,,594.0
2020,number,locations of organisation registered with emas,,,597.0
2021,number,locations of organisation registered with emas,,,667.0
2005,number,locations of organisation registered with emas,,,
2006,number,locations of organisation registered with emas,,,
2007,number,locations of organisation registered with emas,,,
2008,number,locations of organisation registered with emas,,,
2009,number,locations of organisation registered with emas,,,
2010,number,locations of organisation registered with emas,,,385.0
2011,number,locations of organisation registered with emas,,,391.0
2012,number,locations of organisation registered with emas,,,388.0
2013,number,locations of organisation registered with emas,,,391.0
2014,number,locations of organisation registered with emas,,,421.0
2015,number,locations of organisation registered with emas,,,466.0
2016,number,locations of organisation registered with emas,,,475.0
2017,number,locations of organisation registered with emas,,,524.0
2018,number,locations of organisation registered with emas,,,502.0
2019,number,locations of organisation registered with emas,,,478.0
2020,number,locations of organisation registered with emas,,,502.0
2021,number,locations of organisation registered with emas,,,638.0
2005,number,locations of organisation registered with emas,,,
2006,number,locations of organisation registered with emas,,,
2007,number,locations of organisation registered with emas,,,
2008,number,locations of organisation registered with emas,,,
2009,number,locations of organisation registered with emas,,,
2010,number,locations of organisation registered with emas,,,53.0
2011,number,locations of organisation registered with emas,,,53.0
2012,number,locations of organisation registered with emas,,,48.0
2013,number,locations of organisation registered with emas,,,56.0
2014,number,locations of organisation registered with emas,,,50.0
2015,number,locations of organisation registered with emas,,,52.0
2016,number,locations of organisation registered with emas,,,57.0
2017,number,locations of organisation registered with emas,,,61.0
2018,number,locations of organisation registered with emas,,,63.0
2019,number,locations of organisation registered with emas,,,65.0
2020,number,locations of organisation registered with emas,,,68.0
2021,number,locations of organisation registered with emas,,,66.0
2005,number,locations of organisation registered with emas,,,
2006,number,locations of organisation registered with emas,,,
2007,number,locations of organisation registered with emas,,,
2008,number,locations of organisation registered with emas,,,
2009,number,locations of organisation registered with emas,,,
2010,number,locations of organisation registered with emas,,,52.0
2011,number,locations of organisation registered with emas,,,47.0
2012,number,locations of organisation registered with emas,,,36.0
2013,number,locations of organisation registered with emas,,,40.0
2014,number,locations of organisation registered with emas,,,39.0
2015,number,locations of organisation registered with emas,,,39.0
2016,number,locations of organisation registered with emas,,,47.0
2017,number,locations of organisation registered with emas,,,60.0
2018,number,locations of organisation registered with emas,,,61.0
2019,number,locations of organisation registered with emas,,,64.0
2020,number,locations of organisation registered with emas,,,64.0
2021,number,locations of organisation registered with emas,,,57.0
2005,number,locations of organisation registered with emas,,,
2006,number,locations of organisation registered with emas,,,
2007,number,locations of organisation registered with emas,,,
2008,number,locations of organisation registered with emas,,,
2009,number,locations of organisation registered with emas,,,
2010,number,locations of organisation registered with emas,,,26.0
2011,number,locations of organisation registered with emas,,,26.0
2012,number,locations of organisation registered with emas,,,28.0
2013,number,locations of organisation registered with emas,,,29.0
2014,number,locations of organisation registered with emas,,,28.0
2015,number,locations of organisation registered with emas,,,30.0
2016,number,locations of organisation registered with emas,,,29.0
2017,number,locations of organisation registered with emas,,,30.0
2018,number,locations of organisation registered with emas,,,31.0
2019,number,locations of organisation registered with emas,,,31.0
2020,number,locations of organisation registered with emas,,,30.0
2021,number,locations of organisation registered with emas,,,25.0
2005,number,locations of organisation registered with emas,,,
2006,number,locations of organisation registered with emas,,,
