Year,time series,Units,Value
2012,corruption perceptions index in germany,,79.0
2013,corruption perceptions index in germany,,78.0
2014,corruption perceptions index in germany,,79.0
2015,corruption perceptions index in germany,,81.0
2016,corruption perceptions index in germany,,81.0
2017,corruption perceptions index in germany,,81.0
2018,corruption perceptions index in germany,,80.0
2019,corruption perceptions index in germany,,80.0
2020,corruption perceptions index in germany,,80.0
2021,corruption perceptions index in germany,,80.0
2013,corruption perceptions index in partner countries of german development cooperation,number,20.0
2014,corruption perceptions index in partner countries of german development cooperation,number,40.0
2015,corruption perceptions index in partner countries of german development cooperation,number,43.0
2016,corruption perceptions index in partner countries of german development cooperation,number,45.0
2017,corruption perceptions index in partner countries of german development cooperation,number,45.0
2018,corruption perceptions index in partner countries of german development cooperation,number,44.0
2019,corruption perceptions index in partner countries of german development cooperation,number,45.0
2020,corruption perceptions index in partner countries of german development cooperation,number,47.0
2021,corruption perceptions index in partner countries of german development cooperation,number,48.0
