Year,Units,federal state,GeoCode,age group,sex,Value
1999,percentage,,,,,10.7
2003,percentage,,,,,11.7
2005,percentage,,,,,12.5
2009,percentage,,,,,13.3
2013,percentage,,,,,14.1
2017,percentage,,,,,14.789
1999,percentage,baden-wuerttemberg,code08,,,9.78
2003,percentage,baden-wuerttemberg,code08,,,10.913
2005,percentage,baden-wuerttemberg,code08,,,11.371
2009,percentage,baden-wuerttemberg,code08,,,12.259
2013,percentage,baden-wuerttemberg,code08,,,12.923
2017,percentage,baden-wuerttemberg,code08,,,13.774
1999,percentage,bavaria,code09,,,10.73
2003,percentage,bavaria,code09,,,11.668
2005,percentage,bavaria,code09,,,11.83
2009,percentage,bavaria,code09,,,12.784
2013,percentage,bavaria,code09,,,13.255
2017,percentage,bavaria,code09,,,13.728
1999,percentage,berlin,code11,,,9.206
2003,percentage,berlin,code11,,,10.185
2005,percentage,berlin,code11,,,11.228
2009,percentage,berlin,code11,,,11.187
2013,percentage,berlin,code11,,,11.727
2017,percentage,berlin,code11,,,11.913
1999,percentage,brandenburg,code12,,,13.054
2003,percentage,brandenburg,code12,,,13.122
2005,percentage,brandenburg,code12,,,13.811
2009,percentage,brandenburg,code12,,,14.843
2013,percentage,brandenburg,code12,,,14.925
2017,percentage,brandenburg,code12,,,15.47
1999,percentage,bremen,code04,,,8.863
2003,percentage,bremen,code04,,,10.82
2005,percentage,bremen,code04,,,10.152
2009,percentage,bremen,code04,,,11.745
2013,percentage,bremen,code04,,,13.546
2017,percentage,bremen,code04,,,16.937
1999,percentage,hamburg,code02,,,8.318
2003,percentage,hamburg,code02,,,9.04
2005,percentage,hamburg,code02,,,9.702
2009,percentage,hamburg,code02,,,9.909
2013,percentage,hamburg,code02,,,10.515
2017,percentage,hamburg,code02,,,11.483
1999,percentage,hesse,code06,,,10.812
2003,percentage,hesse,code06,,,11.599
2005,percentage,hesse,code06,,,11.943
2009,percentage,hesse,code06,,,13.288
2013,percentage,hesse,code06,,,14.233
2017,percentage,hesse,code06,,,14.898
1999,percentage,mecklenburg western pomerania,code13,,,13.848
2003,percentage,mecklenburg western pomerania,code13,,,16.326
2005,percentage,mecklenburg western pomerania,code13,,,17.169
2009,percentage,mecklenburg western pomerania,code13,,,17.262
