Year,Units,Value
2007.0,millions,29.659
2008.0,millions,21.016
2009.0,millions,31.126
2010.0,millions,34.611
2011.0,millions,36.372
2012.0,millions,12.507
2013.0,millions,17.184
2014.0,millions,11.904
2015.0,millions,4.987
2016.0,millions,3.842
2017.0,millions,2.539
2018.0,millions,2.9
2019.0,millions,0.2
2020.0,millions,0.04
2007.0,millions,29.659
2008.0,millions,21.016
2009.0,millions,31.126
2010.0,millions,34.611
2011.0,millions,36.372
2012.0,millions,12.507
2013.0,millions,17.184
2014.0,millions,11.904
2015.0,millions,4.987
2016.0,millions,3.842
2017.0,millions,2.539
2018.0,millions,2.9
2019.0,millions,0.2
2030.0,millions,
