Year,Units,sex,federal state,GeoCode,Value
1999,percentage,,,,14.9
2010,percentage,,,,11.86
2011,percentage,,,,11.56
2012,percentage,,,,10.37
2013,percentage,,,,9.81
2014,percentage,,,,9.53
2015,percentage,,,,9.82
2016,percentage,,,,10.3
2017,percentage,,,,10.11
2018,percentage,,,,10.34
2019,percentage,,,,10.34
2020,percentage,,,,10.1
1999,percentage,female,,,15.6
2010,percentage,female,,,11.02
2011,percentage,female,,,10.62
2012,percentage,female,,,9.73
2013,percentage,female,,,9.28
2014,percentage,female,,,8.99
2015,percentage,female,,,9.49
2016,percentage,female,,,9.6
2017,percentage,female,,,9.04
2018,percentage,female,,,9.13
2019,percentage,female,,,8.73
2020,percentage,female,,,8.4
1999,percentage,male,,,14.2
2010,percentage,male,,,12.68
2011,percentage,male,,,12.47
2012,percentage,male,,,10.97
2013,percentage,male,,,10.3
2014,percentage,male,,,10.03
2015,percentage,male,,,10.12
2016,percentage,male,,,11.0
2017,percentage,male,,,11.09
2018,percentage,male,,,11.42
2019,percentage,male,,,11.8
2020,percentage,male,,,11.7
1999,percentage,,baden-wuerttemberg,code08,
2010,percentage,,baden-wuerttemberg,code08,9.8
2011,percentage,,baden-wuerttemberg,code08,9.93
2012,percentage,,baden-wuerttemberg,code08,8.26
2013,percentage,,baden-wuerttemberg,code08,7.6
2014,percentage,,baden-wuerttemberg,code08,7.9
2015,percentage,,baden-wuerttemberg,code08,8.3
2016,percentage,,baden-wuerttemberg,code08,9.35
2017,percentage,,baden-wuerttemberg,code08,8.71
2018,percentage,,baden-wuerttemberg,code08,9.71
2019,percentage,,baden-wuerttemberg,code08,9.18
2020,percentage,,baden-wuerttemberg,code08,9.1
1999,percentage,female,baden-wuerttemberg,code08,
2010,percentage,female,baden-wuerttemberg,code08,10.0
2011,percentage,female,baden-wuerttemberg,code08,9.92
2012,percentage,female,baden-wuerttemberg,code08,8.27
2013,percentage,female,baden-wuerttemberg,code08,7.3
2014,percentage,female,baden-wuerttemberg,code08,7.32
2015,percentage,female,baden-wuerttemberg,code08,8.48
2016,percentage,female,baden-wuerttemberg,code08,8.78
2017,percentage,female,baden-wuerttemberg,code08,7.76
2018,percentage,female,baden-wuerttemberg,code08,8.52
2019,percentage,female,baden-wuerttemberg,code08,7.55
2020,percentage,female,baden-wuerttemberg,code08,8.5
1999,percentage,male,baden-wuerttemberg,code08,
2010,percentage,male,baden-wuerttemberg,code08,9.7
2011,percentage,male,baden-wuerttemberg,code08,9.94
2012,percentage,male,baden-wuerttemberg,code08,8.26
2013,percentage,male,baden-wuerttemberg,code08,7.9
2014,percentage,male,baden-wuerttemberg,code08,8.45
2015,percentage,male,baden-wuerttemberg,code08,8.13
2016,percentage,male,baden-wuerttemberg,code08,9.87
2017,percentage,male,baden-wuerttemberg,code08,9.55
2018,percentage,male,baden-wuerttemberg,code08,10.75
2019,percentage,male,baden-wuerttemberg,code08,10.67
2020,percentage,male,baden-wuerttemberg,code08,9.6
1999,percentage,,bavaria,code09,
2010,percentage,,bavaria,code09,9.4
2011,percentage,,bavaria,code09,9.09
2012,percentage,,bavaria,code09,7.36
2013,percentage,,bavaria,code09,7.3
2014,percentage,,bavaria,code09,6.39
2015,percentage,,bavaria,code09,6.16
2016,percentage,,bavaria,code09,7.63
2017,percentage,,bavaria,code09,7.2
2018,percentage,,bavaria,code09,7.23
2019,percentage,,bavaria,code09,7.62
2020,percentage,,bavaria,code09,8.3
1999,percentage,female,bavaria,code09,
2010,percentage,female,bavaria,code09,9.1
2011,percentage,female,bavaria,code09,7.96
2012,percentage,female,bavaria,code09,6.84
2013,percentage,female,bavaria,code09,7.0
2014,percentage,female,bavaria,code09,6.18
2015,percentage,female,bavaria,code09,5.62
2016,percentage,female,bavaria,code09,6.83
2017,percentage,female,bavaria,code09,6.5
2018,percentage,female,bavaria,code09,6.43
2019,percentage,female,bavaria,code09,6.52
2020,percentage,female,bavaria,code09,7.2
1999,percentage,male,bavaria,code09,
2010,percentage,male,bavaria,code09,9.7
2011,percentage,male,bavaria,code09,10.18
2012,percentage,male,bavaria,code09,7.84
2013,percentage,male,bavaria,code09,7.6
2014,percentage,male,bavaria,code09,6.6
2015,percentage,male,bavaria,code09,6.65
2016,percentage,male,bavaria,code09,8.36
2017,percentage,male,bavaria,code09,7.84
2018,percentage,male,bavaria,code09,7.98
2019,percentage,male,bavaria,code09,8.63
2020,percentage,male,bavaria,code09,9.3
1999,percentage,,berlin,code11,
2010,percentage,,berlin,code11,14.6
2011,percentage,,berlin,code11,13.05
2012,percentage,,berlin,code11,12.98
2013,percentage,,berlin,code11,11.9
2014,percentage,,berlin,code11,13.52
2015,percentage,,berlin,code11,13.68
2016,percentage,,berlin,code11,11.7
2017,percentage,,berlin,code11,13.17
2018,percentage,,berlin,code11,13.55
2019,percentage,,berlin,code11,11.6
2020,percentage,,berlin,code11,9.8
1999,percentage,female,berlin,code11,
2010,percentage,female,berlin,code11,12.4
2011,percentage,female,berlin,code11,11.25
2012,percentage,female,berlin,code11,10.81
2013,percentage,female,berlin,code11,9.1
2014,percentage,female,berlin,code11,11.92
2015,percentage,female,berlin,code11,10.67
2016,percentage,female,berlin,code11,10.89
2017,percentage,female,berlin,code11,10.99
2018,percentage,female,berlin,code11,10.41
2019,percentage,female,berlin,code11,7.99
2020,percentage,female,berlin,code11,
1999,percentage,male,berlin,code11,
2010,percentage,male,berlin,code11,17.0
2011,percentage,male,berlin,code11,15.04
2012,percentage,male,berlin,code11,15.22
2013,percentage,male,berlin,code11,14.8
2014,percentage,male,berlin,code11,15.28
2015,percentage,male,berlin,code11,16.96
2016,percentage,male,berlin,code11,12.54
2017,percentage,male,berlin,code11,15.47
2018,percentage,male,berlin,code11,16.89
2019,percentage,male,berlin,code11,15.05
2020,percentage,male,berlin,code11,
1999,percentage,,brandenburg,code12,
2010,percentage,,brandenburg,code12,9.6
2011,percentage,,brandenburg,code12,10.18
2012,percentage,,brandenburg,code12,9.95
2013,percentage,,brandenburg,code12,10.6
2014,percentage,,brandenburg,code12,9.0
2015,percentage,,brandenburg,code12,11.56
2016,percentage,,brandenburg,code12,10.97
2017,percentage,,brandenburg,code12,12.32
2018,percentage,,brandenburg,code12,11.52
2019,percentage,,brandenburg,code12,10.78
2020,percentage,,brandenburg,code12,
1999,percentage,female,brandenburg,code12,
2010,percentage,female,brandenburg,code12,7.1
2011,percentage,female,brandenburg,code12,8.37
2012,percentage,female,brandenburg,code12,10.26
2013,percentage,female,brandenburg,code12,10.1
2014,percentage,female,brandenburg,code12,
2015,percentage,female,brandenburg,code12,11.1
2016,percentage,female,brandenburg,code12,
2017,percentage,female,brandenburg,code12,
2018,percentage,female,brandenburg,code12,10.41
2019,percentage,female,brandenburg,code12,
2020,percentage,female,brandenburg,code12,
1999,percentage,male,brandenburg,code12,
2010,percentage,male,brandenburg,code12,11.7
2011,percentage,male,brandenburg,code12,11.84
2012,percentage,male,brandenburg,code12,9.69
2013,percentage,male,brandenburg,code12,11.0
2014,percentage,male,brandenburg,code12,9.17
2015,percentage,male,brandenburg,code12,11.9
2016,percentage,male,brandenburg,code12,12.61
2017,percentage,male,brandenburg,code12,15.0
2018,percentage,male,brandenburg,code12,12.43
2019,percentage,male,brandenburg,code12,13.55
2020,percentage,male,brandenburg,code12,
