Year,Units,Series,Value
2006,percentage,all-day care provision for 0 to 2-year-old children,6.499
2007,percentage,all-day care provision for 0 to 2-year-old children,7.321
2008,percentage,all-day care provision for 0 to 2-year-old children,8.284
2009,percentage,all-day care provision for 0 to 2-year-old children,9.87
2010,percentage,all-day care provision for 0 to 2-year-old children,11.597
2011,percentage,all-day care provision for 0 to 2-year-old children,12.94
2012,percentage,all-day care provision for 0 to 2-year-old children,14.629
2013,percentage,all-day care provision for 0 to 2-year-old children,15.758
2014,percentage,all-day care provision for 0 to 2-year-old children,17.462
2015,percentage,all-day care provision for 0 to 2-year-old children,18.065
2016,percentage,all-day care provision for 0 to 2-year-old children,18.32
2017,percentage,all-day care provision for 0 to 2-year-old children,18.478
2018,percentage,all-day care provision for 0 to 2-year-old children,18.837
2019,percentage,all-day care provision for 0 to 2-year-old children,19.321
2020,percentage,all-day care provision for 0 to 2-year-old children,19.583
2021,percentage,all-day care provision for 0 to 2-year-old children,18.942
2022,percentage,all-day care provision for 0 to 2-year-old children,19.297
2023,percentage,all-day care provision for 0 to 2-year-old children,19.659
2024,percentage,all-day care provision for 0 to 2-year-old children,19.97
2030,percentage,all-day care provision for 0 to 2-year-old children,
2006,percentage,all-day care provision for 3 to 5-year-old children,22.091
2007,percentage,all-day care provision for 3 to 5-year-old children,24.329
2008,percentage,all-day care provision for 3 to 5-year-old children,27.067
2009,percentage,all-day care provision for 3 to 5-year-old children,29.87
2010,percentage,all-day care provision for 3 to 5-year-old children,32.321
2011,percentage,all-day care provision for 3 to 5-year-old children,34.879
2012,percentage,all-day care provision for 3 to 5-year-old children,37.245
2013,percentage,all-day care provision for 3 to 5-year-old children,39.485
2014,percentage,all-day care provision for 3 to 5-year-old children,41.945
2015,percentage,all-day care provision for 3 to 5-year-old children,43.935
2016,percentage,all-day care provision for 3 to 5-year-old children,44.756
2017,percentage,all-day care provision for 3 to 5-year-old children,45.509
2018,percentage,all-day care provision for 3 to 5-year-old children,46.132
2019,percentage,all-day care provision for 3 to 5-year-old children,47.178
2020,percentage,all-day care provision for 3 to 5-year-old children,47.913
2021,percentage,all-day care provision for 3 to 5-year-old children,47.324
2022,percentage,all-day care provision for 3 to 5-year-old children,47.353
2023,percentage,all-day care provision for 3 to 5-year-old children,47.003
2024,percentage,all-day care provision for 3 to 5-year-old children,46.976
2030,percentage,all-day care provision for 3 to 5-year-old children,
