Year,Units,federal state,GeoCode,Value
2006.0,percentage,,,23.0
2007.0,percentage,,,23.0
2008.0,percentage,,,23.0
2009.0,percentage,,,23.0
2010.0,percentage,,,22.0
2011.0,percentage,,,22.0
2012.0,percentage,,,23.0
2013.0,percentage,,,22.0
2014.0,percentage,,,22.0
2015.0,percentage,,,22.0
2016.0,percentage,,,21.0
2017.0,percentage,,,20.0
2018.0,percentage,,,20.0
2019.0,percentage,,,19.0
2020.0,percentage,,,18.0
2021.0,percentage,,,18.0
2006.0,percentage,,,23.0
2007.0,percentage,,,23.0
2008.0,percentage,,,23.0
2009.0,percentage,,,23.0
2010.0,percentage,,,22.0
2011.0,percentage,,,22.0
2012.0,percentage,,,23.0
2013.0,percentage,,,22.0
2014.0,percentage,,,22.0
2015.0,percentage,,,22.0
2016.0,percentage,,,21.0
2017.0,percentage,,,20.0
2018.0,percentage,,,20.0
2019.0,percentage,,,19.0
2020.0,percentage,,,18.0
2020.0,percentage,,,
2006.0,percentage,baden-wuerttemberg,code08,28.0
2007.0,percentage,baden-wuerttemberg,code08,28.0
2008.0,percentage,baden-wuerttemberg,code08,28.0
2009.0,percentage,baden-wuerttemberg,code08,27.0
2010.0,percentage,baden-wuerttemberg,code08,27.0
2011.0,percentage,baden-wuerttemberg,code08,27.0
2012.0,percentage,baden-wuerttemberg,code08,27.0
2013.0,percentage,baden-wuerttemberg,code08,27.0
2014.0,percentage,baden-wuerttemberg,code08,27.0
2015.0,percentage,baden-wuerttemberg,code08,26.0
2016.0,percentage,baden-wuerttemberg,code08,26.0
2017.0,percentage,baden-wuerttemberg,code08,25.0
2018.0,percentage,baden-wuerttemberg,code08,24.0
2019.0,percentage,baden-wuerttemberg,code08,23.0
2020.0,percentage,baden-wuerttemberg,code08,23.0
2021.0,percentage,baden-wuerttemberg,code08,22.0
2006.0,percentage,baden-wuerttemberg,code08,28.0
2007.0,percentage,baden-wuerttemberg,code08,28.0
2008.0,percentage,baden-wuerttemberg,code08,28.0
2009.0,percentage,baden-wuerttemberg,code08,27.0
2010.0,percentage,baden-wuerttemberg,code08,27.0
2011.0,percentage,baden-wuerttemberg,code08,27.0
2012.0,percentage,baden-wuerttemberg,code08,27.0
2013.0,percentage,baden-wuerttemberg,code08,27.0
2014.0,percentage,baden-wuerttemberg,code08,27.0
2015.0,percentage,baden-wuerttemberg,code08,26.0
2016.0,percentage,baden-wuerttemberg,code08,26.0
2017.0,percentage,baden-wuerttemberg,code08,25.0
2018.0,percentage,baden-wuerttemberg,code08,24.0
2019.0,percentage,baden-wuerttemberg,code08,23.0
2020.0,percentage,baden-wuerttemberg,code08,23.0
2020.0,percentage,baden-wuerttemberg,code08,
2006.0,percentage,bavaria,code09,23.0
2007.0,percentage,bavaria,code09,24.0
2008.0,percentage,bavaria,code09,25.0
2009.0,percentage,bavaria,code09,25.0
2010.0,percentage,bavaria,code09,26.0
2011.0,percentage,bavaria,code09,25.0
2012.0,percentage,bavaria,code09,25.0
2013.0,percentage,bavaria,code09,25.0
2014.0,percentage,bavaria,code09,25.0
2015.0,percentage,bavaria,code09,24.0
2016.0,percentage,bavaria,code09,24.0
2017.0,percentage,bavaria,code09,24.0
2018.0,percentage,bavaria,code09,24.0
2019.0,percentage,bavaria,code09,23.0
2020.0,percentage,bavaria,code09,22.0
2021.0,percentage,bavaria,code09,21.0
2006.0,percentage,bavaria,code09,23.0
2007.0,percentage,bavaria,code09,24.0
2008.0,percentage,bavaria,code09,25.0
2009.0,percentage,bavaria,code09,25.0
2010.0,percentage,bavaria,code09,26.0
2011.0,percentage,bavaria,code09,25.0
2012.0,percentage,bavaria,code09,25.0
2013.0,percentage,bavaria,code09,25.0
2014.0,percentage,bavaria,code09,25.0
2015.0,percentage,bavaria,code09,24.0
2016.0,percentage,bavaria,code09,24.0
2017.0,percentage,bavaria,code09,24.0
2018.0,percentage,bavaria,code09,24.0
2019.0,percentage,bavaria,code09,23.0
2020.0,percentage,bavaria,code09,22.0
2020.0,percentage,bavaria,code09,
2006.0,percentage,berlin,code11,14.0
2007.0,percentage,berlin,code11,14.0
2008.0,percentage,berlin,code11,16.0
2009.0,percentage,berlin,code11,15.0
2010.0,percentage,berlin,code11,14.0
2011.0,percentage,berlin,code11,15.0
2012.0,percentage,berlin,code11,15.0
2013.0,percentage,berlin,code11,14.0
2014.0,percentage,berlin,code11,14.0
2015.0,percentage,berlin,code11,14.0
2016.0,percentage,berlin,code11,12.0
2017.0,percentage,berlin,code11,10.0
2018.0,percentage,berlin,code11,10.0
2019.0,percentage,berlin,code11,10.0
2020.0,percentage,berlin,code11,10.0
