Year,Units,time series,sex,Value
2006,hours,difference,,21.18
2007,hours,difference,,21.307
2008,hours,difference,,22.583
2009,hours,difference,,21.992
2010,hours,difference,,21.806
2011,hours,difference,,21.959
2012,hours,difference,,21.758
2013,hours,difference,,21.236
2014,hours,difference,,20.808
2015,hours,difference,,20.472
2016,hours,difference,,20.004
2017,hours,difference,,19.586
2018,hours,difference,,19.22
2019,hours,difference,,18.883
2020,hours,difference,,18.085
2021,hours,difference,,17.789
2022,hours,difference,,17.917
2006,hours,,female,14.747
2007,hours,,female,14.947
2008,hours,,female,15.51
2009,hours,,female,15.848
2010,hours,,female,16.244
2011,hours,,female,16.689
2012,hours,,female,17.008
2013,hours,,female,17.23
2014,hours,,female,17.393
2015,hours,,female,17.576
2016,hours,,female,17.894
2017,hours,,female,18.037
2018,hours,,female,18.361
2019,hours,,female,18.704
2020,hours,,female,18.443
2021,hours,,female,18.726
2022,hours,,female,19.107
2006,hours,,male,35.927
2007,hours,,male,36.254
2008,hours,,male,38.093
2009,hours,,male,37.84
2010,hours,,male,38.05
2011,hours,,male,38.648
2012,hours,,male,38.766
2013,hours,,male,38.466
2014,hours,,male,38.201
2015,hours,,male,38.048
2016,hours,,male,37.898
2017,hours,,male,37.623
2018,hours,,male,37.581
2019,hours,,male,37.587
2020,hours,,male,36.528
2021,hours,,male,36.515
2022,hours,,male,37.024
