Year,Units,federal state,GeoCode,Value
2008,percentage,,,81.8
2009,percentage,,,82.5
2010,percentage,,,81.7
2011,percentage,,,82.0
2012,percentage,,,81.0
2013,percentage,,,81.4
2014,percentage,,,81.8
2015,percentage,,,81.0
2016,percentage,,,81.8
2017,percentage,,,83.1
2018,percentage,,,82.7
2019,percentage,,,84.2
2020,percentage,,,84.1
2008,percentage,baden-wuerttemberg,code08,89.2
2009,percentage,,,88.3
2010,percentage,,,89.2
2011,percentage,,,89.9
2012,percentage,,,90.8
2013,percentage,,,90.8
2014,percentage,,,91.7
2015,percentage,,,90.8
2016,percentage,,,91.7
2017,percentage,,,92.5
2018,percentage,,,93.3
2019,percentage,,,91.7
2020,percentage,,,
2008,percentage,,,93.6
2009,percentage,,,94.5
2010,percentage,,,94.9
2011,percentage,,,93.6
2012,percentage,,,94.0
2013,percentage,,,94.1
2014,percentage,,,94.5
2015,percentage,,,94.4
2016,percentage,,,94.5
2017,percentage,,,92.7
2018,percentage,,,93.6
2019,percentage,,,95.2
2020,percentage,,,
2008,percentage,,,
2009,percentage,,,
2010,percentage,,,
2011,percentage,,,
2012,percentage,,,
2013,percentage,,,
2014,percentage,,,
2015,percentage,,,
2016,percentage,,,
2017,percentage,,,
2018,percentage,,,
2019,percentage,,,
2020,percentage,,,
2008,percentage,,,84.7
2009,percentage,,,85.7
2010,percentage,,,84.7
2011,percentage,,,83.7
2012,percentage,,,83.7
2013,percentage,,,84.7
2014,percentage,,,86.7
2015,percentage,,,85.7
2016,percentage,,,85.7
2017,percentage,,,86.7
2018,percentage,,,88.8
2019,percentage,,,88.7
2020,percentage,,,
2008,percentage,,,
2009,percentage,,,
2010,percentage,,,
2011,percentage,,,
2012,percentage,,,
2013,percentage,,,
2014,percentage,,,
2015,percentage,,,
2016,percentage,,,
2017,percentage,,,
2018,percentage,,,
2019,percentage,,,
2020,percentage,,,
2008,percentage,,,
2009,percentage,,,
2010,percentage,,,
2011,percentage,,,
2012,percentage,,,
2013,percentage,,,
2014,percentage,,,
2015,percentage,,,
2016,percentage,,,
2017,percentage,,,
2018,percentage,,,
2019,percentage,,,
2020,percentage,,,
2008,percentage,,,87.9
2009,percentage,,,86.4
2010,percentage,,,83.6
2011,percentage,,,87.0
2012,percentage,,,82.3
2013,percentage,,,80.9
2014,percentage,,,87.1
2015,percentage,,,84.6
2016,percentage,,,84.7
2017,percentage,,,87.3
2018,percentage,,,80.9
2019,percentage,,,85.9
2020,percentage,,,
2008,percentage,,,88.7
2009,percentage,,,90.0
2010,percentage,,,86.2
2011,percentage,,,86.2
2012,percentage,,,85.0
2013,percentage,,,85.0
2014,percentage,,,
2015,percentage,,,
2016,percentage,,,
2017,percentage,,,
2018,percentage,,,81.4
2019,percentage,,,82.2
2020,percentage,,,
2008,percentage,,,69.9
2009,percentage,,,73.0
2010,percentage,,,70.4
2011,percentage,,,69.7
2012,percentage,,,69.1
2013,percentage,,,69.3
2014,percentage,,,69.6
2015,percentage,,,68.7
2016,percentage,,,71.5
2017,percentage,,,70.7
2018,percentage,,,69.7
2019,percentage,,,72.1
2020,percentage,,,
2008,percentage,,,85.1
2009,percentage,,,86.4
2010,percentage,,,84.0
2011,percentage,,,89.2
2012,percentage,,,84.6
2013,percentage,,,89.3
2014,percentage,,,89.3
2015,percentage,,,88.6
2016,percentage,,,87.4
2017,percentage,,,89.0
2018,percentage,,,88.5
2019,percentage,,,87.8
2020,percentage,,,
2008,percentage,,,78.3
2009,percentage,,,78.3
2010,percentage,,,76.8
2011,percentage,,,75.4
2012,percentage,,,71.0
2013,percentage,,,72.5
2014,percentage,,,75.4
2015,percentage,,,73.9
2016,percentage,,,76.8
2017,percentage,,,76.8
2018,percentage,,,72.1
2019,percentage,,,73.4
2020,percentage,,,
2008,percentage,,,100.0
2009,percentage,,,100.0
2010,percentage,,,100.0
2011,percentage,,,87.5
2012,percentage,,,100.0
2013,percentage,,,100.0
2014,percentage,,,100.0
2015,percentage,,,100.0
2016,percentage,,,100.0
2017,percentage,,,100.0
2018,percentage,,,100.0
2019,percentage,,,100.0
2020,percentage,,,
2008,percentage,,,63.0
2009,percentage,,,64.8
2010,percentage,,,64.4
2011,percentage,,,70.5
2012,percentage,,,64.5
2013,percentage,,,66.7
2014,percentage,,,66.7
2015,percentage,,,68.3
2016,percentage,,,65.1
2017,percentage,,,71.0
2018,percentage,,,70.7
2019,percentage,,,74.1
2020,percentage,,,
2008,percentage,,,78.5
2009,percentage,,,76.9
2010,percentage,,,76.8
2011,percentage,,,75.4
2012,percentage,,,75.4
2013,percentage,,,73.9
2014,percentage,,,73.9
2015,percentage,,,72.9
2016,percentage,,,75.7
2017,percentage,,,80.0
2018,percentage,,,77.3
2019,percentage,,,79.1
2020,percentage,,,
2008,percentage,,,66.0
2009,percentage,,,64.2
2010,percentage,,,64.2
2011,percentage,,,69.8
2012,percentage,,,66.0
2013,percentage,,,66.0
2014,percentage,,,66.0
2015,percentage,,,69.8
2016,percentage,,,71.7
2017,percentage,,,66.7
2018,percentage,,,69.8
2019,percentage,,,75.5
2020,percentage,,,
2008,percentage,,,72.7
2009,percentage,,,74.5
2010,percentage,,,76.4
2011,percentage,,,74.5
2012,percentage,,,72.7
2013,percentage,,,70.0
2014,percentage,,,74.6
2015,percentage,,,
2016,percentage,,,77.1
2017,percentage,,,72.2
2018,percentage,,,76.9
2019,percentage,,,78.4
2020,percentage,,,
